index,白鹿
2023-01-23,350094
2023-01-24,327021
2023-01-25,344108
2023-01-26,2038751
2023-01-27,637081
2023-01-28,452060
2023-01-29,470415
2023-01-30,548296
2023-01-31,719524
2023-02-01,1085714
2023-02-02,447875
2023-02-03,1184087
2023-02-04,1209587
2023-02-05,800606
2023-02-06,863590
2023-02-07,747470
2023-02-08,444445
2023-02-09,576855
2023-02-10,542412
2023-02-11,426310
2023-02-12,620784
2023-02-13,537645
2023-02-14,1158802
2023-02-15,398848
2023-02-16,392438
2023-02-17,326957
2023-02-18,513897
2023-02-19,304269
2023-02-20,574053
2023-02-21,486754
2023-02-22,616649
2023-02-23,540534
2023-02-24,382412
2023-02-25,550996
2023-02-26,295770
2023-02-27,649044
2023-02-28,454968
2023-03-01,1232729
2023-03-02,561348
2023-03-03,458547
2023-03-04,483346
2023-03-05,661713
2023-03-06,406557
2023-03-07,273221
2023-03-08,377451
2023-03-09,244127
2023-03-10,270069
2023-03-11,695185
2023-03-12,251442
2023-03-13,335843
2023-03-14,320293
2023-03-15,502511
2023-03-16,349009
2023-03-17,368331
2023-03-18,8619305
2023-03-19,1204618
2023-03-20,976603
2023-03-21,982269
2023-03-22,2893733
2023-03-23,1593746
2023-03-24,1256636
2023-03-25,3597570
2023-03-26,1414435
2023-03-27,663408
2023-03-28,1138881
2023-03-29,611147
2023-03-30,1860180
2023-03-31,1381830
2023-04-01,615573
2023-04-02,1333389
2023-04-03,2221740
2023-04-04,2718734
2023-04-05,975624
2023-04-06,2778732
2023-04-07,2536374
2023-04-08,1798367
2023-04-09,1560628
2023-04-10,1869158
2023-04-11,2021033
2023-04-12,4372553
2023-04-13,2859381
2023-04-14,2680483
2023-04-15,1412764
2023-04-16,1454694
2023-04-17,2895669
2023-04-18,1896373
2023-04-19,6766297
2023-04-20,1521592
2023-04-21,2389292
2023-04-22,3279174
2023-04-23,3282124
