index,虞书欣
2023-01-23,1516007
2023-01-24,1344458
2023-01-25,1211224
2023-01-26,782534
2023-01-27,750637
2023-01-28,1118376
2023-01-29,1729642
2023-01-30,790361
2023-01-31,1973077
2023-02-01,1015054
2023-02-02,1019752
2023-02-03,829414
2023-02-04,515307
2023-02-05,847471
2023-02-06,804754
2023-02-07,969313
2023-02-08,858794
2023-02-09,847197
2023-02-10,849170
2023-02-11,592922
2023-02-12,688079
2023-02-13,1563754
2023-02-14,1543900
2023-02-15,647733
2023-02-16,825383
2023-02-17,1308358
2023-02-18,692544
2023-02-19,621097
2023-02-20,1301181
2023-02-21,582096
2023-02-22,1061006
2023-02-23,746176
2023-02-24,818888
2023-02-25,637296
2023-02-26,520214
2023-02-27,3897883
2023-02-28,2346976
2023-03-01,3637789
2023-03-02,874709
2023-03-03,799814
2023-03-04,1058248
2023-03-05,818423
2023-03-06,1035506
2023-03-07,774324
2023-03-08,983032
2023-03-09,699945
2023-03-10,690786
2023-03-11,784442
2023-03-12,616528
2023-03-13,803253
2023-03-14,1204239
2023-03-15,755454
2023-03-16,416796
2023-03-17,1102779
2023-03-18,8677384
2023-03-19,1244886
2023-03-20,1041826
2023-03-21,2045118
2023-03-22,1662174
2023-03-23,1457235
2023-03-24,859538
2023-03-25,6098684
2023-03-26,2342219
2023-03-27,1585850
2023-03-28,465926
2023-03-29,449005
2023-03-30,419954
2023-03-31,337460
2023-04-01,1316918
2023-04-02,544365
2023-04-03,629317
2023-04-04,315652
2023-04-05,751385
2023-04-06,493234
2023-04-07,581106
2023-04-08,918377
2023-04-09,718732
2023-04-10,642921
2023-04-11,1288379
2023-04-12,572973
2023-04-13,587289
2023-04-14,373787
2023-04-15,601111
2023-04-16,771680
2023-04-17,1295820
2023-04-18,495869
2023-04-19,512073
2023-04-20,387215
2023-04-21,797783
2023-04-22,855020
2023-04-23,590648
