index,赵丽颖
2023-01-23,1761331
2023-01-24,1510575
2023-01-25,738227
2023-01-26,1042527
2023-01-27,850360
2023-01-28,1939584
2023-01-29,894266
2023-01-30,1670533
2023-01-31,1121405
2023-02-01,2302044
2023-02-02,853612
2023-02-03,1496269
2023-02-04,1058462
2023-02-05,987976
2023-02-06,612425
2023-02-07,602832
2023-02-08,938092
2023-02-09,828220
2023-02-10,656319
2023-02-11,808123
2023-02-12,756047
2023-02-13,715991
2023-02-14,2502470
2023-02-15,692207
2023-02-16,877204
2023-02-17,497659
2023-02-18,488605
2023-02-19,490170
2023-02-20,553903
2023-02-21,570420
2023-02-22,1231853
2023-02-23,475835
2023-02-24,771765
2023-02-25,540614
2023-02-26,463425
2023-02-27,641296
2023-02-28,713926
2023-03-01,985873
2023-03-02,483170
2023-03-03,524514
2023-03-04,803797
2023-03-05,801666
2023-03-06,1006107
2023-03-07,847516
2023-03-08,604916
2023-03-09,868065
2023-03-10,467910
2023-03-11,621159
2023-03-12,597879
2023-03-13,571426
2023-03-14,493501
2023-03-15,560844
2023-03-16,675379
2023-03-17,823943
2023-03-18,722068
2023-03-19,468879
2023-03-20,564094
2023-03-21,497681
2023-03-22,469972
2023-03-23,524256
2023-03-24,434709
2023-03-25,884008
2023-03-26,652118
2023-03-27,442577
2023-03-28,786073
2023-03-29,438756
2023-03-30,1163141
2023-03-31,814560
2023-04-01,1954085
2023-04-02,814727
2023-04-03,487304
2023-04-04,488363
2023-04-05,427694
2023-04-06,487081
2023-04-07,522980
2023-04-08,654141
2023-04-09,536821
2023-04-10,810287
2023-04-11,1071117
2023-04-12,799663
2023-04-13,792884
2023-04-14,594299
2023-04-15,737530
2023-04-16,1640533
2023-04-17,1048789
2023-04-18,1293566
2023-04-19,966073
2023-04-20,664093
2023-04-21,1065642
2023-04-22,642195
2023-04-23,1884851
