index,赵今麦
2023-01-23,232657
2023-01-24,592032
2023-01-25,172914
2023-01-26,165183
2023-01-27,114089
2023-01-28,88642
2023-01-29,597096
2023-01-30,101169
2023-01-31,117170
2023-02-01,87697
2023-02-02,63727
2023-02-03,433924
2023-02-04,90834
2023-02-05,387416
2023-02-06,52541
2023-02-07,142092
2023-02-08,136514
2023-02-09,412338
2023-02-10,212253
2023-02-11,82204
2023-02-12,580722
2023-02-13,191555
2023-02-14,81806
2023-02-15,43606
2023-02-16,504379
2023-02-17,220050
2023-02-18,454386
2023-02-19,487836
2023-02-20,183769
2023-02-21,68614
2023-02-22,185541
2023-02-23,2317282
2023-02-24,106549
2023-02-25,96048
2023-02-26,97626
2023-02-27,210822
2023-02-28,95998
2023-03-01,49938
2023-03-02,55372
2023-03-03,307573
2023-03-04,92722
2023-03-05,45986
2023-03-06,31964
2023-03-07,336030
2023-03-08,154468
2023-03-09,238893
2023-03-10,39348
2023-03-11,43634
2023-03-12,170413
2023-03-13,55687
2023-03-14,28598
2023-03-15,325089
2023-03-16,314857
2023-03-17,297080
2023-03-18,140855
2023-03-19,53773
2023-03-20,133598
2023-03-21,84413
2023-03-22,29047
2023-03-23,22653
2023-03-24,67056
2023-03-25,23661
2023-03-26,23000
2023-03-27,32145
2023-03-28,40568
2023-03-29,26266
2023-03-30,470519
2023-03-31,142991
2023-04-01,32699
2023-04-02,87022
2023-04-03,94126
2023-04-04,19785
2023-04-05,174759
2023-04-06,32506
2023-04-07,63914
2023-04-08,92895
2023-04-09,41712
2023-04-10,30707
2023-04-11,22662
2023-04-12,82426
2023-04-13,27739
2023-04-14,797361
2023-04-15,364616
2023-04-16,38374
2023-04-17,96487
2023-04-18,192625
2023-04-19,23462
2023-04-20,25857
2023-04-21,91925
2023-04-22,29461
2023-04-23,145277
