star,0-19,20-29,30-39,40-49,50+
白鹿,10.51,33.1,37.73,14.25,4.41
迪丽热巴,12.59,38.08,34.45,11.49,3.39
高露,4.46,27.05,34.96,18.45,15.08
高圆圆,5.89,28.17,33.21,17.89,14.83
巩俐,10.57,32.63,29.87,16.75,10.17
古力娜扎,10.25,37.95,35.49,12.04,4.27
关晓彤,11.95,33.23,32.77,14.52,7.52
郭采洁,12.16,40.31,32.34,11.03,4.16
韩雪,5.24,26.53,37.71,17.75,12.77
贾静雯,5.2,35.99,39.17,14.24,5.41
江疏影,7.18,32.77,36.07,14.63,9.36
金晨,7.27,31.6,39.33,15.61,6.19
鞠婧祎,16.37,32.56,35.39,12.1,3.58
李嘉欣,7.11,33.39,37.19,15.87,6.44
李沁,4.78,20.45,29.96,20.06,24.75
李一桐,8.97,30.92,35.53,16.27,8.31
林青霞,8.02,28.75,32.71,20.65,9.87
林志玲,8.27,30.19,38.66,16.44,6.44
刘浩存,11.94,38.02,30.34,13.14,6.56
刘诗诗,9.3,37.73,33.02,13.42,6.53
刘涛,4.56,20.21,31.79,23.59,19.84
刘亦菲,8.71,38.61,34.26,12.79,5.62
倪妮,8.64,29.97,35.44,17.12,8.82
宁静,6.33,26.79,32.08,18.3,16.51
欧阳娜娜,13.39,35.77,31.58,13.85,5.41
邱淑贞,6.9,31.5,39.73,17.52,4.36
舒淇,7.64,33,39.17,16,4.2
宋祖儿,12.1,38.84,30,11.96,7.1
汤唯,12.83,38.19,28.59,13.91,6.48
佟丽娅,5.53,30.78,36.58,16,11.12
王祖贤,10.69,37.26,34.65,13.44,3.96
文淇,16.77,43.16,25.85,9.79,4.44
杨幂,9.81,35.13,32.45,14.01,8.6
杨颖,11.79,31.69,37.76,13.47,5.29
杨紫,6.42,24.59,43.52,19.1,6.38
杨紫琼,7.35,38.96,35.24,12.47,5.97
姚晨,8.59,34.55,32.04,15.99,8.82
虞书欣,11.63,33.98,37.85,13,3.54
张曼玉,11.66,39.75,29.03,14.19,5.38
张小斐,6.04,29,40.18,17.91,6.88
张雨绮,7.17,30.65,35.62,16.2,10.36
张子枫,14.58,35.36,28.9,14.69,6.46
章子怡,9.8,31.21,32.03,16.5,10.45
赵今麦,14.29,35.99,30.98,14.12,4.62
赵丽颖,10.05,30.97,35.8,14.99,8.18
赵露思,11.26,31.11,38.4,15.04,4.19
周冬雨,11.21,33.81,32.04,16.01,6.93
周迅,9.77,29.42,31.6,18.08,11.13
周雨彤,9.59,39.05,31.23,11.73,8.39
