star,女,男
白鹿,67.53,32.47
迪丽热巴,66.04,33.96
高露,38.03,61.97
高圆圆,42.68,57.32
巩俐,50.16,49.84
古力娜扎,45.96,54.04
关晓彤,60.15,39.85
郭采洁,48.81,51.19
韩雪,39.9,60.1
贾静雯,43.74,56.26
江疏影,40.44,59.56
金晨,54.91,45.09
鞠婧祎,58.78,41.22
李嘉欣,48.78,51.22
李沁,52.24,47.76
李一桐,50.7,49.3
林青霞,49.11,50.89
林志玲,51.04,48.96
刘浩存,44.58,55.42
刘诗诗,63.75,36.25
刘涛,43.01,56.99
刘亦菲,60.14,39.86
倪妮,63.43,36.57
宁静,48.67,51.33
欧阳娜娜,48.18,51.82
邱淑贞,39.68,60.32
舒淇,58.66,41.34
宋祖儿,57.25,42.75
汤唯,49.44,50.56
佟丽娅,50.43,49.57
王祖贤,39.87,60.13
文淇,72.11,27.89
杨幂,56.15,43.85
杨颖,60.35,39.65
杨紫,78.31,21.69
杨紫琼,49.87,50.13
姚晨,59.89,40.11
虞书欣,65.55,34.45
张曼玉,54.13,45.87
张小斐,42.91,57.09
张雨绮,47.01,52.99
张子枫,56.44,43.56
章子怡,54.82,45.18
赵今麦,54.06,45.94
赵丽颖,67.9,32.1
赵露思,63.56,36.44
周冬雨,64.21,35.79
周迅,62.59,37.41
周雨彤,71.02,28.98
