Time,all,pc,wise
2022-10-01,6917,816,6101
2022-10-02,6869,849,6020
2022-10-03,7067,857,6210
2022-10-04,7486,854,6632
2022-10-05,7045,841,6204
2022-10-06,6209,797,5412
2022-10-07,5657,774,4883
2022-10-08,4627,877,3750
2022-10-09,4334,865,3469
2022-10-10,3887,814,3073
2022-10-11,4075,844,3231
2022-10-12,5030,868,4162
2022-10-13,4487,834,3653
2022-10-14,4708,860,3848
2022-10-15,4794,715,4079
2022-10-16,4583,633,3950
2022-10-17,3981,794,3187
2022-10-18,3933,729,3204
2022-10-19,3950,785,3165
2022-10-20,3466,695,2771
2022-10-21,4081,852,3229
2022-10-22,4256,701,3555
2022-10-23,4037,569,3468
2022-10-24,3342,644,2698
2022-10-25,4279,738,3541
2022-10-26,3632,706,2926
2022-10-27,3385,633,2752
2022-10-28,3177,620,2557
2022-10-29,3209,487,2722
2022-10-30,4044,177,3867
2022-10-31,2963,583,2380
2022-11-01,3169,608,2561
2022-11-02,3113,698,2415
2022-11-03,3199,665,2534
2022-11-04,3428,622,2806
2022-11-05,3165,442,2723
2022-11-06,3271,442,2829
2022-11-07,4670,858,3812
2022-11-08,3925,847,3078
2022-11-09,4318,890,3428
2022-11-10,3989,852,3137
2022-11-11,3708,650,3058
2022-11-12,4197,658,3539
2022-11-13,3782,529,3253
2022-11-14,3371,720,2651
2022-11-15,3251,670,2581
2022-11-16,3112,613,2499
2022-11-17,3113,613,2500
2022-11-18,3779,658,3121
2022-11-19,4372,580,3792
2022-11-20,4134,568,3566
2022-11-21,3232,644,2588
2022-11-22,3130,605,2525
2022-11-23,3031,627,2404
2022-11-24,2889,591,2298
2022-11-25,3197,537,2660
2022-11-26,3587,543,3044
2022-11-27,3786,493,3293
2022-11-28,3166,558,2608
2022-11-29,3032,552,2480
2022-11-30,2730,521,2209
2022-12-01,2656,527,2129
2022-12-02,2684,561,2123
2022-12-03,2735,462,2273
2022-12-04,2887,389,2498
2022-12-05,2633,530,2103
2022-12-06,2995,561,2434
2022-12-07,2581,560,2021
2022-12-08,2589,488,2101
2022-12-09,2853,482,2371
2022-12-10,4636,501,4135
2022-12-11,4624,509,4115
2022-12-12,3716,594,3122
2022-12-13,3368,535,2833
2022-12-14,3002,507,2495
2022-12-15,2825,456,2369
2022-12-16,2991,457,2534
2022-12-17,5482,518,4964
2022-12-18,4369,475,3894
2022-12-19,3511,523,2988
2022-12-20,3456,515,2941
2022-12-21,3366,547,2819
2022-12-22,3410,540,2870
2022-12-23,3689,532,3157
2022-12-24,3668,439,3229
2022-12-25,7255,577,6678
2022-12-26,5676,710,4966
2022-12-27,5445,743,4702
2022-12-28,5885,860,5025
2022-12-29,5489,869,4620
2022-12-30,4796,662,4134
2022-12-31,14708,873,13835
2023-01-01,10873,851,10022
2023-01-02,7488,752,6736
2023-01-03,6085,871,5214
2023-01-04,5209,816,4393
2023-01-05,4943,792,4151
2023-01-06,4944,718,4226
2023-01-07,5392,687,4705
2023-01-08,4932,698,4234
2023-01-09,4861,853,4008
2023-01-10,4453,758,3695
2023-01-11,4971,741,4230
2023-01-12,4916,855,4061
2023-01-13,4901,757,4144
2023-01-14,7497,803,6694
2023-01-15,6173,699,5474
2023-01-16,3937,678,3259
2023-01-17,3787,664,3123
2023-01-18,3523,586,2937
2023-01-19,8186,737,7449
2023-01-20,6991,623,6368
2023-01-21,5001,394,4607
2023-01-22,5057,419,4638
2023-01-23,4626,436,4190
2023-01-24,4269,471,3798
2023-01-25,3735,414,3321
2023-01-26,3265,360,2905
2023-01-27,3175,361,2814
2023-01-28,3335,507,2828
2023-01-29,2982,529,2453
2023-01-30,2958,541,2417
2023-01-31,3198,558,2640
2023-02-01,3539,616,2923
