Time,all,pc,wise
2022-10-01,2166,332,1834
2022-10-02,2407,327,2080
2022-10-03,2307,357,1950
2022-10-04,2272,326,1946
2022-10-05,2189,354,1835
2022-10-06,2029,363,1666
2022-10-07,8193,951,7242
2022-10-08,4326,855,3471
2022-10-09,2394,513,1881
2022-10-10,2403,488,1915
2022-10-11,2220,495,1725
2022-10-12,2120,476,1644
2022-10-13,2019,437,1582
2022-10-14,2125,509,1616
2022-10-15,2159,394,1765
2022-10-16,2128,375,1753
2022-10-17,1995,465,1530
2022-10-18,2164,507,1657
2022-10-19,2156,422,1734
2022-10-20,2073,437,1636
2022-10-21,2116,465,1651
2022-10-22,2263,423,1840
2022-10-23,2069,313,1756
2022-10-24,1898,465,1433
2022-10-25,1959,445,1514
2022-10-26,1972,453,1519
2022-10-27,2068,450,1618
2022-10-28,2127,406,1721
2022-10-29,2200,355,1845
2022-10-30,2026,163,1863
2022-10-31,1996,434,1562
2022-11-01,1889,360,1529
2022-11-02,2060,447,1613
2022-11-03,2387,490,1897
2022-11-04,2206,419,1787
2022-11-05,2162,383,1779
2022-11-06,2017,347,1670
2022-11-07,1879,358,1521
2022-11-08,2116,426,1690
2022-11-09,2139,457,1682
2022-11-10,1961,402,1559
2022-11-11,2327,482,1845
2022-11-12,2240,340,1900
2022-11-13,2063,315,1748
2022-11-14,1826,371,1455
2022-11-15,1983,423,1560
2022-11-16,2137,461,1676
2022-11-17,2274,403,1871
2022-11-18,2451,450,2001
2022-11-19,2707,352,2355
2022-11-20,2979,541,2438
2022-11-21,2457,540,1917
2022-11-22,2155,479,1676
2022-11-23,2095,476,1619
2022-11-24,1945,451,1494
2022-11-25,2584,526,2058
2022-11-26,2163,336,1827
2022-11-27,2328,405,1923
2022-11-28,2090,447,1643
2022-11-29,2103,381,1722
2022-11-30,2270,425,1845
2022-12-01,2215,490,1725
2022-12-02,2021,403,1618
2022-12-03,2047,391,1656
2022-12-04,2034,338,1696
2022-12-05,1875,423,1452
2022-12-06,2033,442,1591
2022-12-07,1828,488,1340
2022-12-08,1819,422,1397
2022-12-09,1744,357,1387
2022-12-10,1789,313,1476
2022-12-11,1756,298,1458
2022-12-12,1689,391,1298
2022-12-13,1547,330,1217
2022-12-14,1612,324,1288
2022-12-15,1702,423,1279
2022-12-16,1735,358,1377
2022-12-17,1826,340,1486
2022-12-18,1672,298,1374
2022-12-19,1456,318,1138
2022-12-20,1639,332,1307
2022-12-21,1661,326,1335
2022-12-22,1816,364,1452
