Time,all,pc,wise
2022-10-01,1834,208,1626
2022-10-02,2051,236,1815
2022-10-03,2116,273,1843
2022-10-04,2082,278,1804
2022-10-05,2104,301,1803
2022-10-06,1997,296,1701
2022-10-07,1919,288,1631
2022-10-08,1760,282,1478
2022-10-09,2096,355,1741
2022-10-10,2154,408,1746
2022-10-11,1906,344,1562
2022-10-12,2002,377,1625
2022-10-13,2184,405,1779
2022-10-14,2125,377,1748
2022-10-15,2145,304,1841
2022-10-16,2121,312,1809
2022-10-17,1945,354,1591
2022-10-18,1992,360,1632
2022-10-19,1964,332,1632
2022-10-20,2106,397,1709
2022-10-21,2466,451,2015
2022-10-22,2949,408,2541
2022-10-23,2512,323,2189
2022-10-24,2261,450,1811
2022-10-25,2549,523,2026
2022-10-26,2217,400,1817
2022-10-27,2101,366,1735
2022-10-28,2140,329,1811
2022-10-29,2156,347,1809
2022-10-30,1866,120,1746
2022-10-31,1926,341,1585
2022-11-01,1915,385,1530
2022-11-02,1968,381,1587
2022-11-03,1930,389,1541
2022-11-04,2024,406,1618
2022-11-05,2056,335,1721
2022-11-06,2352,310,2042
2022-11-07,1981,366,1615
2022-11-08,2002,349,1653
2022-11-09,2207,386,1821
2022-11-10,2328,388,1940
2022-11-11,2267,364,1903
2022-11-12,2325,290,2035
2022-11-13,2459,285,2174
2022-11-14,2061,327,1734
2022-11-15,2133,408,1725
2022-11-16,2096,335,1761
2022-11-17,2127,394,1733
2022-11-18,2199,363,1836
2022-11-19,2205,298,1907
2022-11-20,2050,257,1793
2022-11-21,2140,358,1782
2022-11-22,1902,335,1567
2022-11-23,1914,315,1599
2022-11-24,3145,490,2655
2022-11-25,3707,457,3250
2022-11-26,3213,433,2780
2022-11-27,3896,434,3462
2022-11-28,3496,552,2944
2022-11-29,3056,473,2583
2022-11-30,2348,369,1979
2022-12-01,2268,378,1890
2022-12-02,2344,372,1972
2022-12-03,2312,333,1979
2022-12-04,2626,388,2238
2022-12-05,2300,375,1925
2022-12-06,2505,400,2105
2022-12-07,2286,369,1917
2022-12-08,2420,412,2008
2022-12-09,2081,367,1714
2022-12-10,2010,273,1737
2022-12-11,1845,254,1591
2022-12-12,1779,355,1424
2022-12-13,2114,315,1799
2022-12-14,2072,358,1714
2022-12-15,1761,381,1380
2022-12-16,1748,284,1464
2022-12-17,1881,251,1630
2022-12-18,1701,256,1445
2022-12-19,1534,316,1218
2022-12-20,1629,304,1325
2022-12-21,1890,316,1574
2022-12-22,2195,344,1851
2022-12-23,2078,316,1762
2022-12-24,3741,403,3338
2022-12-25,5606,563,5043
2022-12-26,3418,487,2931
2022-12-27,2863,405,2458
2022-12-28,2746,395,2351
2022-12-29,2637,416,2221
2022-12-30,2444,358,2086
2022-12-31,2742,341,2401
2023-01-01,2691,338,2353
2023-01-02,2509,355,2154
2023-01-03,2137,434,1703
2023-01-04,2675,845,1830
2023-01-05,2248,367,1881
2023-01-06,2116,360,1756
2023-01-07,2290,333,1957
2023-01-08,2227,284,1943
2023-01-09,2225,468,1757
2023-01-10,2050,366,1684
2023-01-11,2116,343,1773
2023-01-12,2132,360,1772
2023-01-13,2182,330,1852
2023-01-14,2425,278,2147
2023-01-15,2043,268,1775
2023-01-16,1917,299,1618
2023-01-17,2093,358,1735
2023-01-18,2010,324,1686
2023-01-19,1888,281,1607
2023-01-20,1893,245,1648
2023-01-21,1899,169,1730
2023-01-22,2081,193,1888
2023-01-23,2222,197,2025
2023-01-24,2141,193,1948
2023-01-25,2046,222,1824
2023-01-26,2128,251,1877
2023-01-27,2054,270,1784
2023-01-28,1968,302,1666
2023-01-29,1825,250,1575
2023-01-30,1940,323,1617
2023-01-31,2109,381,1728
2023-02-01,4005,367,3638
2023-02-02,2295,355,1940
2023-02-03,2187,336,1851
2023-02-04,2512,278,2234
2023-02-05,2553,271,2282
2023-02-06,2120,364,1756
2023-02-07,1983,357,1626
2023-02-08,2032,346,1686
2023-02-09,2243,411,1832
2023-02-10,2264,388,1876
2023-02-11,2317,282,2035
2023-02-12,2426,276,2150
2023-02-13,2087,363,1724
2023-02-14,2178,422,1756
2023-02-15,2080,344,1736
2023-02-16,2194,391,1803
2023-02-17,2383,397,1986
2023-02-18,2305,298,2007
2023-02-19,2345,259,2086
2023-02-20,2372,467,1905
2023-02-21,2404,467,1937
2023-02-22,2253,397,1856
2023-02-23,2297,426,1871
2023-02-24,2253,366,1887
2023-02-25,2339,291,2048
2023-02-26,2113,279,1834
2023-02-27,1894,326,1568
2023-02-28,1958,343,1615
2023-03-01,2108,332,1776
2023-03-02,2130,383,1747
2023-03-03,2309,378,1931
2023-03-04,2211,274,1937
2023-03-05,2027,243,1784
2023-03-06,1892,332,1560
2023-03-07,2001,389,1612
2023-03-08,2744,430,2314
2023-03-09,2650,461,2189
2023-03-10,3354,537,2817
2023-03-11,3409,422,2987
2023-03-12,2803,318,2485
2023-03-13,3490,811,2679
2023-03-14,2544,461,2083
2023-03-15,2796,482,2314
2023-03-16,3424,554,2870
2023-03-17,2904,496,2408
2023-03-18,2668,366,2302
2023-03-19,2442,279,2163
2023-03-20,2430,450,1980
2023-03-21,2551,448,2103
2023-03-22,2694,502,2192
2023-03-23,2893,589,2304
2023-03-24,2893,538,2355
2023-03-25,2794,364,2430
2023-03-26,2865,332,2533
2023-03-27,3622,796,2826
2023-03-28,3347,685,2662
2023-03-29,3240,639,2601
2023-03-30,3833,743,3090
2023-03-31,3709,589,3120
2023-04-01,3252,358,2894
2023-04-02,3465,385,3080
2023-04-03,3241,530,2711
2023-04-04,4201,575,3626
2023-04-05,4148,366,3782
2023-04-06,4278,608,3670
2023-04-07,4415,670,3745
2023-04-08,7244,563,6681
2023-04-09,9910,544,9366
2023-04-10,9358,874,8484
2023-04-11,8171,865,7306
2023-04-12,6067,751,5316
2023-04-13,6284,777,5507
2023-04-14,5621,678,4943
2023-04-15,9315,495,8820
2023-04-16,7982,448,7534
2023-04-17,5106,617,4489
2023-04-18,4200,549,3651
2023-04-19,4288,602,3686
2023-04-20,4435,611,3824
2023-04-21,7314,841,6473
2023-04-22,10469,605,9864
