Time,all,pc,wise
2022-10-01,3026,299,2727
2022-10-02,3220,281,2939
2022-10-03,3045,298,2747
2022-10-04,3194,332,2862
2022-10-05,3454,377,3077
2022-10-06,3061,329,2732
2022-10-07,2714,318,2396
2022-10-08,2737,360,2377
2022-10-09,2904,417,2487
2022-10-10,2493,346,2147
2022-10-11,2489,372,2117
2022-10-12,2432,388,2044
2022-10-13,2418,355,2063
2022-10-14,2507,313,2194
2022-10-15,2625,298,2327
2022-10-16,2790,278,2512
2022-10-17,2403,383,2020
2022-10-18,2267,377,1890
2022-10-19,2341,395,1946
2022-10-20,2368,369,1999
2022-10-21,2231,343,1888
2022-10-22,2463,287,2176
2022-10-23,2453,282,2171
2022-10-24,2069,332,1737
2022-10-25,2074,318,1756
2022-10-26,2080,326,1754
2022-10-27,2133,369,1764
2022-10-28,2183,381,1802
2022-10-29,2639,333,2306
2022-10-30,2523,144,2379
2022-10-31,2525,420,2105
2022-11-01,2610,416,2194
2022-11-02,2099,333,1766
2022-11-03,2217,374,1843
2022-11-04,2199,350,1849
2022-11-05,2364,299,2065
2022-11-06,2396,309,2087
2022-11-07,2212,321,1891
2022-11-08,2410,394,2016
2022-11-09,2321,335,1986
2022-11-10,2234,361,1873
2022-11-11,2293,374,1919
2022-11-12,2559,281,2278
2022-11-13,2737,271,2466
2022-11-14,2591,426,2165
2022-11-15,2286,371,1915
2022-11-16,2246,385,1861
2022-11-17,2250,367,1883
2022-11-18,2502,364,2138
2022-11-19,2697,278,2419
2022-11-20,2965,309,2656
2022-11-21,2347,333,2014
2022-11-22,2284,349,1935
2022-11-23,2126,321,1805
2022-11-24,2192,363,1829
2022-11-25,2337,312,2025
2022-11-26,2549,326,2223
2022-11-27,2498,309,2189
2022-11-28,2213,360,1853
2022-11-29,2470,386,2084
2022-11-30,2227,319,1908
2022-12-01,2077,276,1801
2022-12-02,2125,316,1809
2022-12-03,2395,287,2108
2022-12-04,2382,299,2083
2022-12-05,2167,279,1888
2022-12-06,2475,349,2126
2022-12-07,2472,343,2129
2022-12-08,2760,358,2402
2022-12-09,2737,369,2368
2022-12-10,2698,323,2375
2022-12-11,2690,268,2422
2022-12-12,2550,340,2210
2022-12-13,2407,316,2091
2022-12-14,2223,302,1921
2022-12-15,3178,439,2739
2022-12-16,3717,443,3274
2022-12-17,3191,343,2848
2022-12-18,2772,274,2498
2022-12-19,2622,333,2289
2022-12-20,2605,344,2261
2022-12-21,2822,350,2472
2022-12-22,2826,363,2463
2022-12-23,2840,395,2445
2022-12-24,2762,264,2498
2022-12-25,2646,270,2376
2022-12-26,2971,411,2560
2022-12-27,3190,389,2801
2022-12-28,2835,358,2477
2022-12-29,2885,456,2429
2022-12-30,3739,555,3184
2022-12-31,3442,414,3028
2023-01-01,4800,380,4420
2023-01-02,6204,568,5636
2023-01-03,4447,620,3827
2023-01-04,3640,530,3110
2023-01-05,3646,487,3159
2023-01-06,3987,605,3382
2023-01-07,3294,360,2934
2023-01-08,3206,329,2877
2023-01-09,3461,797,2664
2023-01-10,3125,585,2540
2023-01-11,3127,456,2671
2023-01-12,3234,423,2811
2023-01-13,3614,417,3197
2023-01-14,3009,347,2662
2023-01-15,2845,309,2536
2023-01-16,2658,363,2295
2023-01-17,2464,336,2128
2023-01-18,2355,313,2042
2023-01-19,3075,354,2721
2023-01-20,2562,270,2292
2023-01-21,2225,240,1985
2023-01-22,2934,309,2625
2023-01-23,3518,357,3161
2023-01-24,3941,443,3498
2023-01-25,3750,482,3268
2023-01-26,4033,366,3667
2023-01-27,3069,335,2734
2023-01-28,3611,569,3042
2023-01-29,3506,467,3039
2023-01-30,2912,487,2425
2023-01-31,2641,409,2232
2023-02-01,2621,445,2176
2023-02-02,2696,375,2321
2023-02-03,2973,470,2503
2023-02-04,2713,380,2333
2023-02-05,2703,340,2363
2023-02-06,2462,422,2040
2023-02-07,2284,409,1875
2023-02-08,2277,392,1885
2023-02-09,2379,476,1903
2023-02-10,2363,436,1927
2023-02-11,3360,397,2963
2023-02-12,3165,330,2835
2023-02-13,2453,430,2023
2023-02-14,2213,394,1819
2023-02-15,2178,416,1762
2023-02-16,2120,366,1754
2023-02-17,2189,436,1753
2023-02-18,2583,323,2260
2023-02-19,2381,279,2102
2023-02-20,2056,381,1675
2023-02-21,2411,386,2025
2023-02-22,1957,419,1538
2023-02-23,1981,361,1620
2023-02-24,2031,409,1622
2023-02-25,2039,268,1771
2023-02-26,2026,250,1776
2023-02-27,2141,340,1801
2023-02-28,2161,406,1755
2023-03-01,1780,326,1454
2023-03-02,1806,395,1411
2023-03-03,2267,471,1796
2023-03-04,2338,471,1867
2023-03-05,2081,310,1771
2023-03-06,1768,361,1407
2023-03-07,1758,355,1403
2023-03-08,1694,298,1396
2023-03-09,1874,304,1570
2023-03-10,1908,354,1554
2023-03-11,1995,271,1724
2023-03-12,1922,234,1688
2023-03-13,1863,293,1570
2023-03-14,2001,352,1649
2023-03-15,1780,301,1479
2023-03-16,1777,296,1481
2023-03-17,1804,309,1495
2023-03-18,2272,257,2015
2023-03-19,2052,228,1824
2023-03-20,1796,369,1427
2023-03-21,1794,364,1430
2023-03-22,2133,385,1748
2023-03-23,2675,426,2249
2023-03-24,2688,405,2283
2023-03-25,3564,448,3116
2023-03-26,3017,329,2688
2023-03-27,2489,470,2019
2023-03-28,2215,422,1793
2023-03-29,2125,374,1751
2023-03-30,2077,409,1668
2023-03-31,2009,347,1662
2023-04-01,2401,276,2125
2023-04-02,2430,290,2140
2023-04-03,2250,381,1869
2023-04-04,2233,369,1864
2023-04-05,2373,316,2057
2023-04-06,1900,366,1534
2023-04-07,1749,310,1439
2023-04-08,1981,285,1696
2023-04-09,2105,267,1838
2023-04-10,2001,374,1627
2023-04-11,1887,367,1520
2023-04-12,1953,315,1638
2023-04-13,1849,304,1545
2023-04-14,1855,346,1509
2023-04-15,2045,288,1757
2023-04-16,1928,257,1671
2023-04-17,1759,301,1458
2023-04-18,1834,347,1487
2023-04-19,2008,301,1707
2023-04-20,2262,338,1924
2023-04-21,2332,332,2000
2023-04-22,2377,304,2073
