Time,all,pc,wise
2022-10-01,5151,344,4807
2022-10-02,3991,352,3639
2022-10-03,3690,321,3369
2022-10-04,3378,381,2997
2022-10-05,3018,336,2682
2022-10-06,3832,326,3506
2022-10-07,3373,316,3057
2022-10-08,2718,304,2414
2022-10-09,2426,293,2133
2022-10-10,2200,352,1848
2022-10-11,2163,380,1783
2022-10-12,2348,417,1931
2022-10-13,3213,836,2377
2022-10-14,2501,450,2051
2022-10-15,2591,290,2301
2022-10-16,2488,285,2203
2022-10-17,2251,378,1873
2022-10-18,2209,374,1835
2022-10-19,2061,343,1718
2022-10-20,1909,327,1582
2022-10-21,1917,360,1557
2022-10-22,2241,259,1982
2022-10-23,2736,264,2472
2022-10-24,2799,414,2385
2022-10-25,2790,349,2441
2022-10-26,2609,374,2235
2022-10-27,2541,397,2144
2022-10-28,2245,327,1918
2022-10-29,2366,295,2071
2022-10-30,2130,146,1984
2022-10-31,1951,354,1597
2022-11-01,1793,343,1450
2022-11-02,1580,273,1307
2022-11-03,1565,265,1300
2022-11-04,1763,301,1462
2022-11-05,1765,220,1545
2022-11-06,1807,220,1587
2022-11-07,1573,264,1309
2022-11-08,1579,273,1306
2022-11-09,1545,324,1221
2022-11-10,1555,284,1271
2022-11-11,1627,281,1346
2022-11-12,1771,228,1543
2022-11-13,1709,202,1507
2022-11-14,1485,279,1206
2022-11-15,1461,291,1170
2022-11-16,1497,264,1233
2022-11-17,1507,254,1253
2022-11-18,1546,310,1236
2022-11-19,1755,231,1524
2022-11-20,1789,209,1580
2022-11-21,1509,243,1266
2022-11-22,1572,349,1223
2022-11-23,1379,260,1119
2022-11-24,1525,366,1159
2022-11-25,1828,366,1462
2022-11-26,1674,207,1467
2022-11-27,1640,212,1428
2022-11-28,1470,264,1206
2022-11-29,1555,276,1279
2022-11-30,1582,265,1317
2022-12-01,1570,256,1314
2022-12-02,1527,287,1240
2022-12-03,1520,229,1291
2022-12-04,1830,240,1590
2022-12-05,1617,419,1198
2022-12-06,1583,296,1287
2022-12-07,1384,309,1075
2022-12-08,1573,354,1219
2022-12-09,1428,250,1178
2022-12-10,1650,236,1414
2022-12-11,1943,201,1742
2022-12-12,1559,278,1281
2022-12-13,1557,352,1205
2022-12-14,1437,267,1170
2022-12-15,1621,250,1371
2022-12-16,1542,324,1218
2022-12-17,1807,250,1557
2022-12-18,2053,247,1806
2022-12-19,1682,281,1401
2022-12-20,1659,271,1388
2022-12-21,1642,229,1413
2022-12-22,1607,270,1337
2022-12-23,1644,228,1416
2022-12-24,1676,205,1471
2022-12-25,1917,200,1717
2022-12-26,1934,296,1638
2022-12-27,1840,262,1578
2022-12-28,1880,298,1582
2022-12-29,2024,323,1701
2022-12-30,2032,287,1745
2022-12-31,18164,613,17551
2023-01-01,5044,338,4706
2023-01-02,3086,256,2830
2023-01-03,2538,369,2169
2023-01-04,2308,358,1950
2023-01-05,2125,341,1784
2023-01-06,3388,381,3007
2023-01-07,4592,453,4139
2023-01-08,2629,287,2342
2023-01-09,2401,364,2037
2023-01-10,2020,385,1635
2023-01-11,1952,298,1654
2023-01-12,1866,265,1601
2023-01-13,1857,321,1536
2023-01-14,1983,223,1760
2023-01-15,1880,198,1682
2023-01-16,1765,305,1460
2023-01-17,1799,273,1526
2023-01-18,2049,256,1793
2023-01-19,1884,229,1655
2023-01-20,1688,245,1443
2023-01-21,2104,177,1927
2023-01-22,1868,184,1684
2023-01-23,1994,163,1831
2023-01-24,2036,200,1836
2023-01-25,1749,186,1563
2023-01-26,1719,162,1557
2023-01-27,1597,198,1399
2023-01-28,1702,260,1442
