Time,all,pc,wise
2022-10-01,2063,333,1730
2022-10-02,1977,302,1675
2022-10-03,2044,330,1714
2022-10-04,2156,347,1809
2022-10-05,2135,335,1800
2022-10-06,2028,347,1681
2022-10-07,1973,361,1612
2022-10-08,1924,399,1525
2022-10-09,1893,406,1487
2022-10-10,2312,450,1862
2022-10-11,2536,360,2176
2022-10-12,2442,425,2017
2022-10-13,2366,490,1876
2022-10-14,2215,467,1748
2022-10-15,2097,301,1796
2022-10-16,2022,336,1686
2022-10-17,2489,437,2052
2022-10-18,2040,481,1559
2022-10-19,2161,487,1674
2022-10-20,2051,515,1536
2022-10-21,2014,436,1578
2022-10-22,2649,366,2283
2022-10-23,2457,394,2063
2022-10-24,2618,619,1999
2022-10-25,2392,533,1859
2022-10-26,2454,547,1907
2022-10-27,2450,609,1841
2022-10-28,2350,495,1855
2022-10-29,2220,340,1880
2022-10-30,1839,144,1695
2022-10-31,1781,397,1384
2022-11-01,1788,422,1366
2022-11-02,1825,454,1371
2022-11-03,1960,453,1507
2022-11-04,1994,476,1518
2022-11-05,2093,355,1738
2022-11-06,2301,327,1974
2022-11-07,2061,422,1639
2022-11-08,1898,428,1470
2022-11-09,2073,544,1529
2022-11-10,1946,442,1504
2022-11-11,1915,360,1555
2022-11-12,2082,341,1741
2022-11-13,2012,335,1677
2022-11-14,1918,484,1434
2022-11-15,1860,442,1418
2022-11-16,1885,433,1452
2022-11-17,2109,471,1638
2022-11-18,2092,436,1656
2022-11-19,2413,412,2001
2022-11-20,2529,369,2160
2022-11-21,2763,447,2316
2022-11-22,2235,400,1835
2022-11-23,1980,394,1586
2022-11-24,1880,416,1464
2022-11-25,2081,434,1647
2022-11-26,2282,392,1890
2022-11-27,2143,364,1779
2022-11-28,1824,389,1435
2022-11-29,1948,436,1512
2022-11-30,1929,456,1473
2022-12-01,1966,386,1580
2022-12-02,1949,409,1540
2022-12-03,1881,338,1543
2022-12-04,1970,371,1599
2022-12-05,1907,425,1482
2022-12-06,1993,461,1532
2022-12-07,2362,440,1922
2022-12-08,2570,468,2102
2022-12-09,2311,487,1824
2022-12-10,2231,388,1843
2022-12-11,2343,367,1976
2022-12-12,1941,447,1494
2022-12-13,1871,422,1449
2022-12-14,1960,400,1560
2022-12-15,2150,372,1778
2022-12-16,2331,412,1919
2022-12-17,2020,352,1668
2022-12-18,1840,350,1490
2022-12-19,1590,385,1205
2022-12-20,1687,355,1332
2022-12-21,1763,369,1394
2022-12-22,1919,363,1556
2022-12-23,2068,385,1683
2022-12-24,2114,332,1782
2022-12-25,2204,332,1872
2022-12-26,2251,442,1809
2022-12-27,2073,431,1642
2022-12-28,2127,367,1760
2022-12-29,2367,422,1945
2022-12-30,2435,465,1970
2022-12-31,3533,447,3086
2023-01-01,2778,399,2379
2023-01-02,2499,399,2100
2023-01-03,2168,431,1737
2023-01-04,2132,428,1704
2023-01-05,2145,437,1708
2023-01-06,2383,448,1935
2023-01-07,2461,479,1982
2023-01-08,2351,383,1968
2023-01-09,2241,476,1765
2023-01-10,2118,461,1657
2023-01-11,2014,457,1557
2023-01-12,2134,434,1700
2023-01-13,2281,479,1802
2023-01-14,2253,392,1861
2023-01-15,2171,332,1839
2023-01-16,1952,364,1588
2023-01-17,2010,409,1601
2023-01-18,1990,332,1658
2023-01-19,1767,288,1479
2023-01-20,1999,295,1704
2023-01-21,1702,211,1491
2023-01-22,1796,236,1560
2023-01-23,1996,248,1748
2023-01-24,1985,264,1721
2023-01-25,1977,242,1735
2023-01-26,1895,245,1650
2023-01-27,1844,237,1607
2023-01-28,1764,278,1486
2023-01-29,1861,367,1494
2023-01-30,1820,394,1426
2023-01-31,1961,448,1513
2023-02-01,1887,367,1520
2023-02-02,2154,445,1709
2023-02-03,2054,459,1595
2023-02-04,2135,316,1819
2023-02-05,1909,319,1590
2023-02-06,1738,412,1326
2023-02-07,1735,440,1295
2023-02-08,1811,434,1377
2023-02-09,1847,425,1422
2023-02-10,1912,409,1503
2023-02-11,2021,360,1661
2023-02-12,1991,349,1642
2023-02-13,1815,386,1429
2023-02-14,1760,428,1332
2023-02-15,1796,423,1373
2023-02-16,1875,430,1445
2023-02-17,1966,400,1566
2023-02-18,2051,335,1716
2023-02-19,2038,332,1706
2023-02-20,1847,439,1408
2023-02-21,1791,439,1352
2023-02-22,1800,442,1358
2023-02-23,2025,493,1532
2023-02-24,2430,467,1963
2023-02-25,3008,414,2594
2023-02-26,2496,361,2135
2023-02-27,2718,642,2076
2023-02-28,2283,540,1743
2023-03-01,2202,518,1684
2023-03-02,2153,488,1665
2023-03-03,2385,485,1900
2023-03-04,2319,388,1931
2023-03-05,2497,385,2112
2023-03-06,2173,433,1740
2023-03-07,2109,498,1611
2023-03-08,2163,465,1698
2023-03-09,2196,546,1650
2023-03-10,2124,461,1663
2023-03-11,2283,378,1905
2023-03-12,2207,332,1875
2023-03-13,2127,433,1694
2023-03-14,2147,464,1683
2023-03-15,1968,459,1509
2023-03-16,2343,506,1837
2023-03-17,2829,547,2282
2023-03-18,2765,417,2348
2023-03-19,2523,395,2128
2023-03-20,2239,527,1712
2023-03-21,2188,509,1679
2023-03-22,2215,532,1683
2023-03-23,2097,490,1607
2023-03-24,2377,547,1830
2023-03-25,2502,394,2108
2023-03-26,2336,416,1920
2023-03-27,2202,512,1690
2023-03-28,2309,566,1743
2023-03-29,2210,571,1639
2023-03-30,2965,765,2200
2023-03-31,2733,588,2145
2023-04-01,2419,411,2008
2023-04-02,2346,364,1982
2023-04-03,2551,513,2038
2023-04-04,2495,490,2005
2023-04-05,2615,439,2176
2023-04-06,2562,563,1999
2023-04-07,3435,727,2708
2023-04-08,3618,555,3063
2023-04-09,3302,578,2724
2023-04-10,2690,667,2023
2023-04-11,2771,600,2171
2023-04-12,2560,572,1988
2023-04-13,2663,589,2074
2023-04-14,3719,698,3021
2023-04-15,3205,558,2647
2023-04-16,2971,501,2470
2023-04-17,2797,630,2167
2023-04-18,2779,703,2076
2023-04-19,2650,659,1991
2023-04-20,2800,709,2091
2023-04-21,2884,645,2239
2023-04-22,2980,533,2447
