Time,all,pc,wise
2022-10-01,3978,414,3564
2022-10-02,3885,408,3477
2022-10-03,4119,408,3711
2022-10-04,4127,397,3730
2022-10-05,3835,431,3404
2022-10-06,4113,468,3645
2022-10-07,3841,507,3334
2022-10-08,3233,490,2743
2022-10-09,3487,582,2905
2022-10-10,3149,554,2595
2022-10-11,3690,561,3129
2022-10-12,3973,847,3126
2022-10-13,3682,661,3021
2022-10-14,3852,682,3170
2022-10-15,4027,504,3523
2022-10-16,3848,493,3355
2022-10-17,3580,578,3002
2022-10-18,3621,602,3019
2022-10-19,3484,574,2910
2022-10-20,3363,552,2811
2022-10-21,3563,592,2971
2022-10-22,3989,502,3487
2022-10-23,3953,476,3477
2022-10-24,3336,518,2818
2022-10-25,3506,644,2862
2022-10-26,3461,603,2858
2022-10-27,3392,583,2809
2022-10-28,3494,572,2922
2022-10-29,5955,619,5336
2022-10-30,5550,202,5348
2022-10-31,4113,664,3449
2022-11-01,3521,538,2983
2022-11-02,3441,524,2917
2022-11-03,3564,569,2995
2022-11-04,3388,597,2791
2022-11-05,3697,475,3222
2022-11-06,3391,372,3019
2022-11-07,3053,453,2600
2022-11-08,3161,544,2617
2022-11-09,3201,526,2675
2022-11-10,5086,580,4506
2022-11-11,5963,710,5253
2022-11-12,7095,698,6397
2022-11-13,5496,552,4944
2022-11-14,4719,713,4006
2022-11-15,4099,597,3502
2022-11-16,4385,609,3776
2022-11-17,3894,588,3306
2022-11-18,4267,630,3637
2022-11-19,5505,595,4910
2022-11-20,5194,541,4653
2022-11-21,4121,560,3561
2022-11-22,3504,538,2966
2022-11-23,3334,468,2866
2022-11-24,3663,535,3128
2022-11-25,3968,656,3312
2022-11-26,4297,490,3807
2022-11-27,5090,527,4563
2022-11-28,4324,617,3707
2022-11-29,3935,566,3369
2022-11-30,3505,478,3027
2022-12-01,3605,564,3041
2022-12-02,3546,492,3054
2022-12-03,3836,434,3402
2022-12-04,3797,439,3358
2022-12-05,3542,490,3052
2022-12-06,4054,529,3525
