Time,all,pc,wise
2022-10-01,3562,546,3016
2022-10-02,3616,485,3131
2022-10-03,3598,544,3054
2022-10-04,3518,543,2975
2022-10-05,3425,507,2918
2022-10-06,3234,538,2696
2022-10-07,3102,583,2519
2022-10-08,2917,515,2402
2022-10-09,2905,547,2358
2022-10-10,2696,533,2163
2022-10-11,2831,605,2226
2022-10-12,3128,703,2425
2022-10-13,3066,690,2376
2022-10-14,3232,614,2618
2022-10-15,3542,600,2942
2022-10-16,3495,558,2937
2022-10-17,3191,734,2457
2022-10-18,3337,765,2572
2022-10-19,3276,738,2538
2022-10-20,3173,644,2529
2022-10-21,3375,675,2700
2022-10-22,3722,577,3145
2022-10-23,3514,561,2953
2022-10-24,3109,637,2472
2022-10-25,3260,693,2567
2022-10-26,3282,661,2621
2022-10-27,4159,699,3460
2022-10-28,3384,623,2761
2022-10-29,3715,622,3093
2022-10-30,3248,202,3046
2022-10-31,2904,622,2282
2022-11-01,2899,572,2327
2022-11-02,3426,837,2589
2022-11-03,3187,614,2573
2022-11-04,3367,654,2713
2022-11-05,3562,546,3016
2022-11-06,3477,524,2953
2022-11-07,2927,551,2376
2022-11-08,2826,595,2231
2022-11-09,2982,574,2408
2022-11-10,3063,599,2464
2022-11-11,3117,625,2492
2022-11-12,3671,681,2990
2022-11-13,3768,617,3151
2022-11-14,4408,701,3707
2022-11-15,4101,727,3374
2022-11-16,3866,744,3122
2022-11-17,3616,737,2879
2022-11-18,3490,636,2854
2022-11-19,3791,551,3240
2022-11-20,3701,546,3155
2022-11-21,3135,605,2530
2022-11-22,3217,625,2592
2022-11-23,3217,653,2564
2022-11-24,3027,589,2438
2022-11-25,3225,644,2581
2022-11-26,3375,461,2914
2022-11-27,3527,499,3028
2022-11-28,3459,698,2761
2022-11-29,3309,650,2659
2022-11-30,3079,547,2532
2022-12-01,3044,538,2506
2022-12-02,3094,518,2576
2022-12-03,3424,572,2852
2022-12-04,3427,490,2937
2022-12-05,3125,628,2497
2022-12-06,3394,642,2752
2022-12-07,3015,540,2475
2022-12-08,3167,620,2547
2022-12-09,3651,665,2986
2022-12-10,3607,535,3072
2022-12-11,3299,484,2815
2022-12-12,3100,662,2438
2022-12-13,3302,627,2675
2022-12-14,3364,628,2736
2022-12-15,3231,627,2604
2022-12-16,3217,619,2598
2022-12-17,3571,558,3013
2022-12-18,3272,448,2824
2022-12-19,2910,530,2380
2022-12-20,3174,527,2647
2022-12-21,3126,558,2568
2022-12-22,3431,575,2856
2022-12-23,3770,549,3221
2022-12-24,3837,533,3304
2022-12-25,3630,465,3165
2022-12-26,3523,631,2892
