Time,all,pc,wise
2022-10-01,2156,288,1868
2022-10-02,2142,251,1891
2022-10-03,2062,233,1829
2022-10-04,2522,270,2252
2022-10-05,2047,256,1791
2022-10-06,1734,228,1506
2022-10-07,1633,240,1393
2022-10-08,1624,274,1350
2022-10-09,1394,245,1149
2022-10-10,1256,222,1034
2022-10-11,1324,301,1023
2022-10-12,1331,242,1089
2022-10-13,1307,305,1002
2022-10-14,1342,282,1060
2022-10-15,1493,184,1309
2022-10-16,1323,184,1139
2022-10-17,1207,233,974
2022-10-18,1201,236,965
2022-10-19,1186,219,967
2022-10-20,1183,239,944
2022-10-21,1134,184,950
2022-10-22,1312,195,1117
2022-10-23,1196,177,1019
2022-10-24,1156,184,972
2022-10-25,1128,195,933
2022-10-26,1140,200,940
2022-10-27,1149,223,926
2022-10-28,1142,208,934
2022-10-29,1297,162,1135
2022-10-30,1081,91,990
2022-10-31,1128,198,930
2022-11-01,1136,179,957
2022-11-02,1150,195,955
2022-11-03,1108,172,936
2022-11-04,1089,168,921
2022-11-05,1119,150,969
2022-11-06,1109,158,951
2022-11-07,1108,184,924
2022-11-08,1126,216,910
2022-11-09,1146,226,920
2022-11-10,1149,239,910
2022-11-11,1166,247,919
2022-11-12,1393,201,1192
2022-11-13,1172,152,1020
2022-11-14,1065,163,902
2022-11-15,1095,188,907
2022-11-16,1138,200,938
2022-11-17,1245,240,1005
2022-11-18,1165,215,950
2022-11-19,1123,161,962
2022-11-20,1115,155,960
2022-11-21,1077,176,901
2022-11-22,1095,183,912
2022-11-23,1048,169,879
2022-11-24,1093,175,918
2022-11-25,1117,183,934
2022-11-26,1073,154,919
2022-11-27,1100,170,930
2022-11-28,1113,188,925
2022-11-29,1070,155,915
2022-11-30,1085,168,917
2022-12-01,1067,162,905
2022-12-02,1052,165,887
2022-12-03,1068,140,928
2022-12-04,1114,165,949
2022-12-05,1067,177,890
2022-12-06,1042,142,900
2022-12-07,1057,170,887
2022-12-08,1176,284,892
2022-12-09,1092,204,888
2022-12-10,1034,150,884
2022-12-11,1052,154,898
2022-12-12,1016,142,874
2022-12-13,998,137,861
2022-12-14,1026,152,874
2022-12-15,1017,148,869
2022-12-16,1080,159,921
2022-12-17,1073,166,907
2022-12-18,1160,146,1014
2022-12-19,1051,144,907
2022-12-20,1099,198,901
2022-12-21,1106,190,916
2022-12-22,1207,211,996
2022-12-23,4086,226,3860
2022-12-24,3345,285,3060
2022-12-25,2283,204,2079
