Time,all,pc,wise
2022-10-01,7869,841,7028
2022-10-02,8190,783,7407
2022-10-03,9127,856,8271
2022-10-04,9728,890,8838
2022-10-05,9368,878,8490
2022-10-06,8995,919,8076
2022-10-07,8240,879,7361
2022-10-08,6896,918,5978
2022-10-09,6831,900,5931
2022-10-10,6211,871,5340
2022-10-11,6258,873,5385
2022-10-12,5874,879,4995
2022-10-13,5961,873,5088
2022-10-14,6512,908,5604
2022-10-15,7043,845,6198
2022-10-16,7209,803,6406
2022-10-17,6156,916,5240
2022-10-18,5914,899,5015
2022-10-19,5767,883,4884
2022-10-20,6013,884,5129
2022-10-21,6577,894,5683
2022-10-22,7060,844,6216
2022-10-23,6982,848,6134
2022-10-24,6135,894,5241
2022-10-25,5836,885,4951
2022-10-26,6147,909,5238
2022-10-27,6772,892,5880
2022-10-28,6218,898,5320
2022-10-29,6944,851,6093
2022-10-30,6017,312,5705
2022-10-31,5792,880,4912
2022-11-01,5906,873,5033
2022-11-02,5850,871,4979
2022-11-03,5709,879,4830
2022-11-04,5803,888,4915
2022-11-05,6035,772,5263
2022-11-06,6130,811,5319
2022-11-07,5355,852,4503
2022-11-08,5699,886,4813
2022-11-09,6133,918,5215
2022-11-10,6064,890,5174
2022-11-11,12318,1249,11069
2022-11-12,8861,879,7982
2022-11-13,7199,842,6357
2022-11-14,6181,894,5287
2022-11-15,5599,875,4724
2022-11-16,5512,854,4658
2022-11-17,5886,868,5018
2022-11-18,6126,876,5250
2022-11-19,6767,830,5937
2022-11-20,7077,850,6227
2022-11-21,5832,865,4967
2022-11-22,5537,858,4679
2022-11-23,5442,857,4585
2022-11-24,6191,845,5346
2022-11-25,6171,853,5318
2022-11-26,7342,771,6571
2022-11-27,7318,792,6526
2022-11-28,6878,856,6022
2022-11-29,8165,885,7280
2022-11-30,8618,963,7655
2022-12-01,7200,947,6253
2022-12-02,6547,921,5626
2022-12-03,6942,851,6091
2022-12-04,6623,777,5846
2022-12-05,5912,871,5041
2022-12-06,6481,873,5608
2022-12-07,5653,854,4799
2022-12-08,5998,854,5144
2022-12-09,5884,871,5013
