Time,all,pc,wise
2022-10-01,2322,228,2094
2022-10-02,2358,260,2098
2022-10-03,2643,282,2361
2022-10-04,3209,295,2914
2022-10-05,2280,270,2010
2022-10-06,2495,285,2210
2022-10-07,2208,279,1929
2022-10-08,2113,336,1777
2022-10-09,2258,411,1847
2022-10-10,2225,360,1865
2022-10-11,2259,417,1842
2022-10-12,2209,352,1857
2022-10-13,2390,380,2010
2022-10-14,2609,392,2217
2022-10-15,3043,377,2666
2022-10-16,3011,301,2710
2022-10-17,2996,459,2537
2022-10-18,2717,434,2283
2022-10-19,2638,504,2134
2022-10-20,2396,395,2001
2022-10-21,2506,405,2101
2022-10-22,2568,250,2318
2022-10-23,2595,302,2293
2022-10-24,2522,475,2047
2022-10-25,2564,467,2097
2022-10-26,2438,439,1999
2022-10-27,2774,403,2371
2022-10-28,2709,551,2158
2022-10-29,2744,336,2408
2022-10-30,2541,155,2386
2022-10-31,2579,408,2171
2022-11-01,2468,394,2074
2022-11-02,2466,459,2007
2022-11-03,2289,361,1928
2022-11-04,2784,451,2333
2022-11-05,2657,336,2321
2022-11-06,2671,316,2355
2022-11-07,2446,386,2060
2022-11-08,2612,656,1956
2022-11-09,2562,502,2060
2022-11-10,2584,430,2154
2022-11-11,2330,388,1942
2022-11-12,2557,315,2242
2022-11-13,2524,296,2228
2022-11-14,2385,341,2044
2022-11-15,2410,425,1985
2022-11-16,2595,510,2085
2022-11-17,2550,428,2122
2022-11-18,2726,453,2273
2022-11-19,2518,273,2245
2022-11-20,2690,288,2402
2022-11-21,2310,357,1953
2022-11-22,2278,399,1879
2022-11-23,2222,357,1865
2022-11-24,2218,295,1923
2022-11-25,2629,428,2201
2022-11-26,2361,291,2070
2022-11-27,2402,273,2129
2022-11-28,2601,350,2251
2022-11-29,2377,299,2078
2022-11-30,2598,400,2198
2022-12-01,2577,372,2205
2022-12-02,2552,406,2146
2022-12-03,2455,296,2159
2022-12-04,2347,307,2040
2022-12-05,2537,324,2213
2022-12-06,2832,428,2404
2022-12-07,2256,347,1909
2022-12-08,2239,374,1865
2022-12-09,2621,354,2267
2022-12-10,2399,256,2143
2022-12-11,2749,381,2368
2022-12-12,2738,519,2219
2022-12-13,2492,392,2100
2022-12-14,2796,385,2411
2022-12-15,2517,326,2191
2022-12-16,2554,372,2182
2022-12-17,2741,333,2408
2022-12-18,2665,282,2383
2022-12-19,2187,264,1923
2022-12-20,2567,403,2164
2022-12-21,2539,352,2187
2022-12-22,2458,304,2154
2022-12-23,2489,262,2227
2022-12-24,2357,237,2120
2022-12-25,2478,290,2188
2022-12-26,2473,360,2113
2022-12-27,2417,346,2071
2022-12-28,2330,354,1976
2022-12-29,2515,330,2185
2022-12-30,2480,374,2106
2022-12-31,4048,433,3615
2023-01-01,3213,296,2917
2023-01-02,2995,361,2634
2023-01-03,2523,358,2165
2023-01-04,2575,352,2223
2023-01-05,2592,385,2207
2023-01-06,3379,363,3016
2023-01-07,3369,402,2967
2023-01-08,3322,366,2956
2023-01-09,3198,453,2745
2023-01-10,3049,481,2568
2023-01-11,3043,434,2609
2023-01-12,2838,381,2457
2023-01-13,3096,417,2679
2023-01-14,3570,305,3265
2023-01-15,3911,352,3559
2023-01-16,2876,381,2495
2023-01-17,3973,774,3199
2023-01-18,2700,437,2263
2023-01-19,2651,358,2293
2023-01-20,2706,295,2411
2023-01-21,3387,195,3192
2023-01-22,4709,236,4473
2023-01-23,4877,271,4606
2023-01-24,3101,248,2853
2023-01-25,2999,259,2740
2023-01-26,3022,262,2760
2023-01-27,3118,237,2881
2023-01-28,2987,313,2674
2023-01-29,3049,367,2682
2023-01-30,2980,399,2581
2023-01-31,2926,377,2549
2023-02-01,2677,369,2308
2023-02-02,2783,374,2409
2023-02-03,2943,490,2453
2023-02-04,2825,358,2467
2023-02-05,2582,262,2320
2023-02-06,2349,375,1974
2023-02-07,2299,355,1944
2023-02-08,2468,343,2125
2023-02-09,2687,400,2287
2023-02-10,2586,309,2277
2023-02-11,2502,296,2206
2023-02-12,2413,257,2156
2023-02-13,2684,366,2318
2023-02-14,2443,386,2057
2023-02-15,2510,443,2067
2023-02-16,2207,364,1843
2023-02-17,2408,392,2016
2023-02-18,2600,254,2346
2023-02-19,2563,254,2309
2023-02-20,2544,383,2161
2023-02-21,2407,354,2053
2023-02-22,2383,389,1994
2023-02-23,2443,397,2046
2023-02-24,2226,305,1921
2023-02-25,2242,250,1992
2023-02-26,2047,228,1819
2023-02-27,2007,271,1736
2023-02-28,2380,448,1932
2023-03-01,2421,340,2081
2023-03-02,2119,273,1846
2023-03-03,2143,316,1827
2023-03-04,2249,242,2007
2023-03-05,3257,310,2947
2023-03-06,2514,347,2167
2023-03-07,3568,488,3080
2023-03-08,3114,501,2613
2023-03-09,2550,367,2183
2023-03-10,2449,375,2074
2023-03-11,3134,302,2832
2023-03-12,2440,211,2229
2023-03-13,2528,350,2178
2023-03-14,2381,371,2010
2023-03-15,2309,330,1979
2023-03-16,2655,336,2319
2023-03-17,2604,326,2278
2023-03-18,2671,273,2398
2023-03-19,2523,248,2275
2023-03-20,2432,422,2010
2023-03-21,2345,327,2018
2023-03-22,2439,346,2093
2023-03-23,2506,309,2197
2023-03-24,2490,378,2112
2023-03-25,2417,301,2116
2023-03-26,2420,225,2195
2023-03-27,2946,417,2529
2023-03-28,2809,422,2387
2023-03-29,3635,468,3167
2023-03-30,3142,442,2700
2023-03-31,2552,344,2208
2023-04-01,2296,279,2017
2023-04-02,2232,248,1984
2023-04-03,2260,369,1891
2023-04-04,2406,378,2028
2023-04-05,2349,239,2110
2023-04-06,2342,305,2037
2023-04-07,2183,310,1873
2023-04-08,2177,301,1876
2023-04-09,2173,250,1923
2023-04-10,2185,323,1862
2023-04-11,2428,318,2110
2023-04-12,2641,371,2270
2023-04-13,3020,388,2632
2023-04-14,3614,377,3237
2023-04-15,2805,333,2472
2023-04-16,2540,243,2297
2023-04-17,2477,402,2075
2023-04-18,2204,347,1857
2023-04-19,2225,364,1861
2023-04-20,2461,377,2084
2023-04-21,2350,380,1970
2023-04-22,2405,284,2121
