Time,all,pc,wise
2022-10-01,8865,906,7959
2022-10-02,8478,887,7591
2022-10-03,9153,869,8284
2022-10-04,8979,934,8045
2022-10-05,8356,901,7455
2022-10-06,8413,904,7509
2022-10-07,8144,930,7214
2022-10-08,7351,948,6403
2022-10-09,6887,939,5948
2022-10-10,6449,988,5461
2022-10-11,6323,932,5391
2022-10-12,6478,927,5551
2022-10-13,7559,933,6626
2022-10-14,7170,933,6237
2022-10-15,7559,893,6666
2022-10-16,7217,877,6340
2022-10-17,6749,945,5804
2022-10-18,7308,1003,6305
2022-10-19,7887,1040,6847
2022-10-20,7217,946,6271
2022-10-21,7058,940,6118
2022-10-22,7554,891,6663
2022-10-23,7475,857,6618
2022-10-24,6309,933,5376
2022-10-25,6623,925,5698
2022-10-26,6315,994,5321
2022-10-27,6365,956,5409
2022-10-28,6752,945,5807
2022-10-29,6962,873,6089
2022-10-30,6257,307,5950
2022-10-31,5940,940,5000
2022-11-01,6760,910,5850
2022-11-02,6203,903,5300
2022-11-03,6300,920,5380
2022-11-04,7758,906,6852
2022-11-05,7645,872,6773
2022-11-06,7566,881,6685
2022-11-07,6315,928,5387
2022-11-08,7514,949,6565
2022-11-09,6952,885,6067
2022-11-10,6026,880,5146
2022-11-11,7195,883,6312
2022-11-12,8227,846,7381
2022-11-13,8382,816,7566
2022-11-14,7966,875,7091
2022-11-15,7110,915,6195
2022-11-16,7119,911,6208
2022-11-17,7778,890,6888
2022-11-18,7869,875,6994
2022-11-19,7690,779,6911
2022-11-20,6756,831,5925
2022-11-21,6649,874,5775
2022-11-22,7939,949,6990
2022-11-23,6896,916,5980
2022-11-24,7400,866,6534
2022-11-25,6321,846,5475
2022-11-26,7231,720,6511
2022-11-27,6427,763,5664
2022-11-28,5779,871,4908
2022-11-29,6211,863,5348
2022-11-30,6780,898,5882
2022-12-01,5653,855,4798
2022-12-02,5983,869,5114
2022-12-03,6297,789,5508
2022-12-04,6219,792,5427
2022-12-05,5564,846,4718
2022-12-06,6621,914,5707
2022-12-07,6769,972,5797
2022-12-08,6402,857,5545
2022-12-09,6479,931,5548
2022-12-10,6418,690,5728
2022-12-11,6187,648,5539
2022-12-12,5489,894,4595
2022-12-13,5636,862,4774
2022-12-14,6546,810,5736
2022-12-15,6632,855,5777
2022-12-16,6798,777,6021
2022-12-17,6923,780,6143
2022-12-18,6117,724,5393
2022-12-19,6025,775,5250
2022-12-20,5773,810,4963
2022-12-21,5785,827,4958
2022-12-22,5985,844,5141
2022-12-23,7090,863,6227
2022-12-24,7121,783,6338
2022-12-25,6937,622,6315
2022-12-26,7674,877,6797
2022-12-27,7778,871,6907
2022-12-28,7190,884,6306
2022-12-29,7261,865,6396
2022-12-30,6694,872,5822
2022-12-31,10028,852,9176
2023-01-01,9794,819,8975
2023-01-02,9498,836,8662
2023-01-03,7971,909,7062
2023-01-04,7748,924,6824
2023-01-05,8860,978,7882
2023-01-06,8474,891,7583
2023-01-07,8033,845,7188
2023-01-08,7157,841,6316
2023-01-09,7881,874,7007
2023-01-10,7459,887,6572
2023-01-11,6425,883,5542
2023-01-12,6456,886,5570
2023-01-13,6489,871,5618
2023-01-14,6747,789,5958
2023-01-15,8179,720,7459
2023-01-16,7727,867,6860
2023-01-17,7267,852,6415
2023-01-18,7001,837,6164
2023-01-19,6618,743,5875
2023-01-20,7267,551,6716
2023-01-21,6353,430,5923
2023-01-22,6389,431,5958
2023-01-23,7603,499,7104
2023-01-24,6962,507,6455
2023-01-25,6813,471,6342
2023-01-26,9264,633,8631
2023-01-27,7657,636,7021
2023-01-28,6812,796,6016
2023-01-29,5955,845,5110
2023-01-30,6067,847,5220
2023-01-31,6677,859,5818
2023-02-01,6583,857,5726
2023-02-02,5718,864,4854
2023-02-03,6265,853,5412
