Time,all,pc,wise
2022-10-01,1708,296,1412
2022-10-02,1797,307,1490
2022-10-03,1782,313,1469
2022-10-04,1772,347,1425
2022-10-05,1681,310,1371
2022-10-06,1996,349,1647
2022-10-07,1599,318,1281
2022-10-08,1537,385,1152
2022-10-09,1670,420,1250
2022-10-10,1574,434,1140
2022-10-11,1453,341,1112
2022-10-12,1529,366,1163
2022-10-13,1730,465,1265
2022-10-14,1713,391,1322
2022-10-15,1762,315,1447
2022-10-16,2162,490,1672
2022-10-17,1755,381,1374
2022-10-18,1748,473,1275
2022-10-19,1794,488,1306
2022-10-20,1847,380,1467
2022-10-21,1725,380,1345
2022-10-22,2029,352,1677
2022-10-23,3020,358,2662
2022-10-24,2429,461,1968
2022-10-25,2450,465,1985
2022-10-26,1850,409,1441
2022-10-27,1852,453,1399
2022-10-28,1845,395,1450
2022-10-29,1713,302,1411
2022-10-30,1456,118,1338
2022-10-31,1537,400,1137
2022-11-01,1641,412,1229
2022-11-02,1636,386,1250
2022-11-03,2244,547,1697
2022-11-04,1990,428,1562
2022-11-05,1818,375,1443
2022-11-06,1743,319,1424
2022-11-07,1680,380,1300
2022-11-08,1522,374,1148
2022-11-09,1533,366,1167
2022-11-10,1482,340,1142
2022-11-11,1657,375,1282
2022-11-12,1616,310,1306
2022-11-13,1645,293,1352
2022-11-14,1637,430,1207
2022-11-15,1463,381,1082
2022-11-16,1619,369,1250
2022-11-17,1581,352,1229
2022-11-18,1577,343,1234
2022-11-19,1755,333,1422
2022-11-20,1754,291,1463
2022-11-21,1651,381,1270
2022-11-22,1690,338,1352
2022-11-23,1625,371,1254
2022-11-24,1518,326,1192
2022-11-25,1525,338,1187
2022-11-26,1619,332,1287
2022-11-27,1491,254,1237
2022-11-28,1471,358,1113
2022-11-29,1419,329,1090
2022-11-30,1313,290,1023
2022-12-01,1313,316,997
2022-12-02,1349,323,1026
2022-12-03,1395,268,1127
2022-12-04,1462,262,1200
2022-12-05,1346,340,1006
2022-12-06,1547,369,1178
2022-12-07,1366,279,1087
2022-12-08,1480,329,1151
2022-12-09,1491,341,1150
2022-12-10,1526,319,1207
2022-12-11,1421,260,1161
2022-12-12,1338,341,997
2022-12-13,1336,301,1035
2022-12-14,1268,273,995
2022-12-15,1367,360,1007
2022-12-16,1362,305,1057
2022-12-17,1323,245,1078
2022-12-18,1364,271,1093
2022-12-19,1253,296,957
2022-12-20,1248,257,991
2022-12-21,1293,302,991
2022-12-22,1285,274,1011
2022-12-23,1370,279,1091
2022-12-24,1505,239,1266
2022-12-25,1471,301,1170
2022-12-26,1422,302,1120
2022-12-27,1350,298,1052
2022-12-28,1443,316,1127
2022-12-29,1478,343,1135
2022-12-30,1378,296,1082
2022-12-31,1964,485,1479
2023-01-01,1573,256,1317
2023-01-02,1669,326,1343
2023-01-03,1612,329,1283
2023-01-04,1542,338,1204
2023-01-05,1613,386,1227
2023-01-06,1662,440,1222
2023-01-07,1926,392,1534
2023-01-08,1674,290,1384
2023-01-09,1590,352,1238
2023-01-10,1638,357,1281
2023-01-11,1486,296,1190
2023-01-12,1541,367,1174
2023-01-13,1602,340,1262
2023-01-14,1639,281,1358
2023-01-15,1542,265,1277
2023-01-16,1361,250,1111
2023-01-17,1424,315,1109
2023-01-18,1404,264,1140
2023-01-19,1396,229,1167
2023-01-20,1278,188,1090
2023-01-21,1180,205,975
2023-01-22,1269,222,1047
2023-01-23,1256,195,1061
2023-01-24,1329,226,1103
2023-01-25,1374,223,1151
2023-01-26,1405,209,1196
2023-01-27,1370,212,1158
2023-01-28,1351,234,1117
2023-01-29,1410,267,1143
2023-01-30,1474,315,1159
2023-01-31,1479,307,1172
2023-02-01,1483,282,1201
2023-02-02,1502,323,1179
2023-02-03,1615,369,1246
2023-02-04,1903,319,1584
2023-02-05,1659,242,1417
2023-02-06,1565,332,1233
2023-02-07,1646,419,1227
2023-02-08,1582,360,1222
2023-02-09,1474,298,1176
2023-02-10,1510,335,1175
2023-02-11,1509,284,1225
2023-02-12,1518,257,1261
2023-02-13,1442,355,1087
2023-02-14,1431,312,1119
2023-02-15,1380,347,1033
2023-02-16,1389,352,1037
2023-02-17,1355,310,1045
2023-02-18,1433,273,1160
2023-02-19,1430,254,1176
2023-02-20,1360,318,1042
2023-02-21,1718,340,1378
2023-02-22,1501,364,1137
2023-02-23,1491,358,1133
2023-02-24,1591,354,1237
2023-02-25,1552,250,1302
2023-02-26,1483,248,1235
2023-02-27,1381,319,1062
2023-02-28,1439,323,1116
2023-03-01,1426,295,1131
2023-03-02,1317,295,1022
2023-03-03,1484,312,1172
2023-03-04,1733,285,1448
2023-03-05,1754,301,1453
2023-03-06,1768,395,1373
2023-03-07,1590,318,1272
2023-03-08,1596,347,1249
2023-03-09,2298,577,1721
2023-03-10,2060,479,1581
2023-03-11,1891,388,1503
2023-03-12,1906,336,1570
2023-03-13,4504,729,3775
2023-03-14,3121,639,2482
2023-03-15,2677,589,2088
2023-03-16,2112,437,1675
2023-03-17,2661,558,2103
2023-03-18,2793,431,2362
2023-03-19,3438,347,3091
2023-03-20,2540,577,1963
2023-03-21,2290,487,1803
2023-03-22,2033,420,1613
2023-03-23,1985,417,1568
2023-03-24,2074,457,1617
2023-03-25,1927,349,1578
2023-03-26,2052,336,1716
2023-03-27,2024,437,1587
2023-03-28,1973,405,1568
2023-03-29,2150,447,1703
2023-03-30,2684,530,2154
2023-03-31,2296,430,1866
2023-04-01,2001,324,1677
2023-04-02,1980,256,1724
2023-04-03,1876,412,1464
2023-04-04,1941,408,1533
2023-04-05,2102,301,1801
2023-04-06,1924,392,1532
2023-04-07,1897,412,1485
2023-04-08,1958,346,1612
2023-04-09,2266,295,1971
2023-04-10,2838,524,2314
2023-04-11,2848,512,2336
2023-04-12,2566,488,2078
2023-04-13,2602,450,2152
2023-04-14,2446,412,2034
2023-04-15,2562,399,2163
2023-04-16,2336,366,1970
2023-04-17,2600,492,2108
2023-04-18,2873,763,2110
2023-04-19,2405,560,1845
2023-04-20,2431,538,1893
2023-04-21,2378,499,1879
2023-04-22,2204,341,1863
