Time,all,pc,wise
2022-10-01,928,140,788
2022-10-02,992,150,842
2022-10-03,1003,159,844
2022-10-04,1057,161,896
2022-10-05,987,140,847
2022-10-06,970,152,818
2022-10-07,980,154,826
2022-10-08,909,194,715
2022-10-09,884,175,709
2022-10-10,857,163,694
2022-10-11,885,180,705
2022-10-12,902,176,726
2022-10-13,1011,195,816
2022-10-14,940,190,750
2022-10-15,1011,162,849
2022-10-16,1001,162,839
2022-10-17,1028,205,823
2022-10-18,1020,177,843
2022-10-19,985,205,780
2022-10-20,960,180,780
2022-10-21,1001,172,829
2022-10-22,1014,172,842
2022-10-23,1025,158,867
2022-10-24,1128,259,869
2022-10-25,1051,204,847
2022-10-26,1021,202,819
2022-10-27,1075,228,847
2022-10-28,1089,225,864
2022-10-29,1057,177,880
2022-10-30,1024,101,923
2022-10-31,1217,318,899
2022-11-01,1116,223,893
2022-11-02,1161,254,907
2022-11-03,1083,233,850
2022-11-04,1029,187,842
2022-11-05,1004,182,822
2022-11-06,992,148,844
2022-11-07,1041,186,855
2022-11-08,1046,204,842
2022-11-09,1098,202,896
2022-11-10,969,183,786
2022-11-11,986,163,823
2022-11-12,1031,179,852
2022-11-13,989,144,845
2022-11-14,1008,168,840
2022-11-15,1012,201,811
2022-11-16,982,180,802
2022-11-17,987,165,822
2022-11-18,1013,170,843
2022-11-19,982,137,845
2022-11-20,1013,155,858
2022-11-21,1062,188,874
2022-11-22,1168,265,903
2022-11-23,1201,260,941
2022-11-24,1163,223,940
2022-11-25,1155,231,924
2022-11-26,1059,159,900
2022-11-27,1029,129,900
2022-11-28,1065,177,888
2022-11-29,1058,180,878
2022-11-30,1030,158,872
2022-12-01,1056,195,861
2022-12-02,1079,205,874
2022-12-03,1022,150,872
2022-12-04,1089,186,903
2022-12-05,4720,775,3945
2022-12-06,2162,405,1757
2022-12-07,1389,215,1174
2022-12-08,1175,226,949
2022-12-09,1192,242,950
2022-12-10,1108,163,945
2022-12-11,1047,152,895
2022-12-12,1078,190,888
2022-12-13,1095,208,887
2022-12-14,1085,202,883
2022-12-15,1183,264,919
2022-12-16,1171,168,1003
2022-12-17,1111,182,929
2022-12-18,1059,144,915
2022-12-19,1041,173,868
2022-12-20,1048,175,873
2022-12-21,1071,191,880
2022-12-22,1061,175,886
2022-12-23,1039,159,880
2022-12-24,1050,176,874
2022-12-25,1015,155,860
2022-12-26,1015,172,843
2022-12-27,1048,170,878
2022-12-28,1097,170,927
2022-12-29,1022,165,857
2022-12-30,1020,179,841
2022-12-31,1054,125,929
2023-01-01,1016,137,879
2023-01-02,1009,139,870
2023-01-03,1138,177,961
2023-01-04,1173,200,973
2023-01-05,1035,183,852
2023-01-06,1063,163,900
2023-01-07,999,150,849
2023-01-08,996,135,861
2023-01-09,1067,208,859
2023-01-10,1050,191,859
2023-01-11,1018,176,842
2023-01-12,967,152,815
2023-01-13,1057,170,887
2023-01-14,1012,142,870
2023-01-15,983,121,862
2023-01-16,1069,205,864
2023-01-17,1002,161,841
2023-01-18,958,170,788
2023-01-19,970,137,833
2023-01-20,845,108,737
2023-01-21,693,89,604
2023-01-22,753,108,645
2023-01-23,786,112,674
2023-01-24,958,114,844
2023-01-25,957,112,845
2023-01-26,953,125,828
2023-01-27,978,135,843
2023-01-28,950,150,800
2023-01-29,955,161,794
2023-01-30,971,166,805
2023-01-31,1010,166,844
2023-02-01,964,152,812
2023-02-02,948,190,758
2023-02-03,994,146,848
2023-02-04,1008,155,853
2023-02-05,891,154,737
2023-02-06,865,175,690
2023-02-07,905,186,719
2023-02-08,848,163,685
2023-02-09,933,151,782
2023-02-10,933,161,772
2023-02-11,879,139,740
2023-02-12,897,135,762
2023-02-13,823,168,655
2023-02-14,839,182,657
2023-02-15,867,157,710
2023-02-16,879,166,713
2023-02-17,853,173,680
2023-02-18,850,140,710
2023-02-19,910,127,783
2023-02-20,784,157,627
2023-02-21,864,137,727
2023-02-22,832,166,666
2023-02-23,828,182,646
2023-02-24,878,152,726
2023-02-25,984,139,845
2023-02-26,972,127,845
2023-02-27,981,158,823
2023-02-28,902,158,744
2023-03-01,927,182,745
2023-03-02,875,173,702
2023-03-03,935,188,747
2023-03-04,989,142,847
2023-03-05,947,125,822
2023-03-06,850,155,695
2023-03-07,900,177,723
2023-03-08,903,144,759
2023-03-09,921,163,758
2023-03-10,899,184,715
2023-03-11,958,151,807
2023-03-12,921,148,773
2023-03-13,875,155,720
2023-03-14,926,165,761
2023-03-15,975,179,796
2023-03-16,879,176,703
2023-03-17,1055,215,840
2023-03-18,1108,180,928
2023-03-19,1039,151,888
2023-03-20,957,161,796
2023-03-21,910,165,745
2023-03-22,900,183,717
2023-03-23,971,216,755
2023-03-24,1103,282,821
2023-03-25,993,151,842
2023-03-26,968,157,811
2023-03-27,896,222,674
2023-03-28,849,166,683
2023-03-29,882,158,724
2023-03-30,1012,151,861
2023-03-31,1013,187,826
2023-04-01,1034,155,879
2023-04-02,1020,191,829
2023-04-03,964,254,710
2023-04-04,990,200,790
2023-04-05,940,114,826
2023-04-06,901,202,699
2023-04-07,881,154,727
2023-04-08,973,159,814
2023-04-09,856,121,735
2023-04-10,775,148,627
2023-04-11,884,168,716
2023-04-12,838,155,683
2023-04-13,949,173,776
2023-04-14,941,166,775
2023-04-15,947,129,818
2023-04-16,877,135,742
2023-04-17,803,148,655
2023-04-18,915,158,757
2023-04-19,782,157,625
2023-04-20,941,187,754
2023-04-21,1029,183,846
2023-04-22,947,158,789
