Time,all,pc,wise
2022-10-01,1203,188,1015
2022-10-02,1269,228,1041
2022-10-03,1238,207,1031
2022-10-04,1258,204,1054
2022-10-05,1251,204,1047
2022-10-06,1237,228,1009
2022-10-07,1225,234,991
2022-10-08,1218,279,939
2022-10-09,1184,236,948
2022-10-10,1214,282,932
2022-10-11,1221,285,936
2022-10-12,1242,273,969
2022-10-13,1260,285,975
2022-10-14,1344,366,978
2022-10-15,1314,236,1078
2022-10-16,1282,231,1051
2022-10-17,1329,347,982
2022-10-18,1384,369,1015
2022-10-19,1385,340,1045
2022-10-20,1403,358,1045
2022-10-21,1484,375,1109
2022-10-22,1674,291,1383
2022-10-23,1601,256,1345
2022-10-24,1513,392,1121
2022-10-25,1698,380,1318
2022-10-26,1833,439,1394
2022-10-27,1796,425,1371
2022-10-28,1755,340,1415
2022-10-29,1875,326,1549
2022-10-30,1499,129,1370
2022-10-31,1385,301,1084
2022-11-01,1373,329,1044
2022-11-02,1407,323,1084
2022-11-03,1324,321,1003
2022-11-04,1397,313,1084
2022-11-05,1508,243,1265
2022-11-06,1425,212,1213
2022-11-07,1371,371,1000
2022-11-08,1306,293,1013
2022-11-09,1349,304,1045
2022-11-10,1349,305,1044
2022-11-11,1435,316,1119
2022-11-12,1571,278,1293
2022-11-13,1605,309,1296
2022-11-14,1321,321,1000
2022-11-15,1306,307,999
2022-11-16,1339,270,1069
2022-11-17,1322,312,1010
2022-11-18,1457,335,1122
2022-11-19,1437,248,1189
2022-11-20,1549,278,1271
2022-11-21,1589,293,1296
2022-11-22,1336,288,1048
2022-11-23,1367,316,1051
2022-11-24,1301,281,1020
2022-11-25,1341,254,1087
2022-11-26,1504,267,1237
2022-11-27,1446,268,1178
2022-11-28,1448,293,1155
2022-11-29,1435,307,1128
2022-11-30,1436,321,1115
2022-12-01,1277,295,982
2022-12-02,1358,278,1080
2022-12-03,1435,281,1154
2022-12-04,1397,267,1130
2022-12-05,1271,251,1020
2022-12-06,1488,321,1167
2022-12-07,1418,287,1131
2022-12-08,1373,278,1095
2022-12-09,1578,321,1257
2022-12-10,1577,316,1261
2022-12-11,1400,215,1185
2022-12-12,1683,344,1339
2022-12-13,1547,357,1190
2022-12-14,1454,355,1099
2022-12-15,1424,298,1126
2022-12-16,1520,335,1185
2022-12-17,1450,243,1207
2022-12-18,1420,264,1156
2022-12-19,1263,270,993
2022-12-20,1345,285,1060
2022-12-21,1302,290,1012
2022-12-22,1425,284,1141
2022-12-23,1468,302,1166
2022-12-24,1655,248,1407
2022-12-25,1497,240,1257
2022-12-26,1491,295,1196
2022-12-27,1523,329,1194
2022-12-28,1565,330,1235
2022-12-29,1676,333,1343
2022-12-30,1566,302,1264
2022-12-31,1589,242,1347
2023-01-01,1538,237,1301
2023-01-02,1609,251,1358
2023-01-03,1474,344,1130
2023-01-04,1600,386,1214
2023-01-05,1568,343,1225
2023-01-06,1520,296,1224
2023-01-07,1633,287,1346
2023-01-08,1648,290,1358
2023-01-09,1577,335,1242
2023-01-10,1492,302,1190
2023-01-11,1535,295,1240
2023-01-12,1528,336,1192
2023-01-13,1627,323,1304
2023-01-14,1581,274,1307
2023-01-15,1584,231,1353
2023-01-16,1486,296,1190
2023-01-17,1299,276,1023
2023-01-18,1359,248,1111
2023-01-19,1351,251,1100
2023-01-20,1275,190,1085
2023-01-21,1124,144,980
2023-01-22,1104,152,952
2023-01-23,1170,179,991
2023-01-24,1212,161,1051
2023-01-25,1276,172,1104
2023-01-26,1263,177,1086
2023-01-27,1231,188,1043
2023-01-28,1514,253,1261
2023-01-29,1266,239,1027
2023-01-30,1297,270,1027
2023-01-31,1303,281,1022
2023-02-01,1224,259,965
2023-02-02,1263,273,990
2023-02-03,1275,279,996
2023-02-04,1295,228,1067
2023-02-05,1310,234,1076
2023-02-06,1257,313,944
2023-02-07,1183,239,944
2023-02-08,1242,309,933
2023-02-09,1220,262,958
2023-02-10,1190,240,950
2023-02-11,1192,202,990
2023-02-12,1193,204,989
2023-02-13,1232,299,933
2023-02-14,1210,287,923
2023-02-15,1225,288,937
2023-02-16,1249,327,922
2023-02-17,1244,302,942
2023-02-18,1200,218,982
2023-02-19,1245,253,992
2023-02-20,1159,254,905
2023-02-21,1222,285,937
2023-02-22,1215,291,924
2023-02-23,1234,291,943
2023-02-24,1254,287,967
2023-02-25,1236,213,1023
2023-02-26,1219,228,991
2023-02-27,1198,278,920
2023-02-28,1156,240,916
2023-03-01,1159,234,925
2023-03-02,1325,296,1029
2023-03-03,1261,287,974
2023-03-04,1193,216,977
2023-03-05,1190,213,977
2023-03-06,1213,268,945
2023-03-07,1176,254,922
2023-03-08,1199,265,934
2023-03-09,1233,287,946
2023-03-10,1221,276,945
2023-03-11,1201,215,986
2023-03-12,1193,223,970
2023-03-13,1178,260,918
2023-03-14,1220,274,946
2023-03-15,1165,256,909
2023-03-16,1207,260,947
2023-03-17,1272,282,990
2023-03-18,1188,191,997
2023-03-19,1203,213,990
2023-03-20,1201,265,936
2023-03-21,1174,250,924
2023-03-22,1207,274,933
2023-03-23,1241,309,932
2023-03-24,1311,333,978
2023-03-25,1211,220,991
2023-03-26,1185,186,999
2023-03-27,1198,256,942
2023-03-28,1193,248,945
2023-03-29,1215,285,930
2023-03-30,1267,285,982
2023-03-31,1678,295,1383
2023-04-01,1621,242,1379
2023-04-02,1532,251,1281
2023-04-03,1297,288,1009
2023-04-04,1353,302,1051
2023-04-05,1441,254,1187
2023-04-06,1265,299,966
2023-04-07,1297,310,987
2023-04-08,1323,243,1080
2023-04-09,1296,223,1073
2023-04-10,1259,302,957
2023-04-11,1219,271,948
2023-04-12,1247,296,951
2023-04-13,1241,293,948
2023-04-14,1264,279,985
2023-04-15,1258,197,1061
2023-04-16,1226,226,1000
2023-04-17,1196,257,939
2023-04-18,1253,284,969
2023-04-19,1519,282,1237
2023-04-20,1296,270,1026
2023-04-21,1322,304,1018
2023-04-22,1290,219,1071
