Time,all,pc,wise
2022-10-01,1037,148,889
2022-10-02,1006,129,877
2022-10-03,993,144,849
2022-10-04,986,140,846
2022-10-05,908,101,807
2022-10-06,951,137,814
2022-10-07,992,146,846
2022-10-08,875,144,731
2022-10-09,798,159,639
2022-10-10,745,163,582
2022-10-11,854,166,688
2022-10-12,826,146,680
2022-10-13,831,150,681
2022-10-14,854,144,710
2022-10-15,891,144,747
2022-10-16,958,133,825
2022-10-17,783,162,621
2022-10-18,844,157,687
2022-10-19,828,157,671
2022-10-20,807,170,637
2022-10-21,807,154,653
2022-10-22,851,127,724
2022-10-23,787,116,671
2022-10-24,755,137,618
2022-10-25,767,144,623
2022-10-26,910,161,749
2022-10-27,967,165,802
2022-10-28,945,157,788
2022-10-29,1008,150,858
2022-10-30,809,78,731
2022-10-31,848,158,690
2022-11-01,816,140,676
2022-11-02,786,144,642
2022-11-03,835,151,684
2022-11-04,891,157,734
2022-11-05,945,131,814
2022-11-06,945,129,816
2022-11-07,821,133,688
2022-11-08,899,169,730
2022-11-09,987,157,830
2022-11-10,997,150,847
2022-11-11,1048,168,880
2022-11-12,1053,169,884
2022-11-13,978,131,847
2022-11-14,864,140,724
2022-11-15,872,155,717
2022-11-16,906,168,738
2022-11-17,1023,173,850
2022-11-18,1121,219,902
2022-11-19,1185,191,994
2022-11-20,1066,157,909
2022-11-21,1090,223,867
2022-11-22,1073,194,879
2022-11-23,1010,165,845
2022-11-24,954,179,775
2022-11-25,943,170,773
2022-11-26,968,166,802
2022-11-27,1156,158,998
2022-11-28,1047,198,849
2022-11-29,1051,202,849
2022-11-30,1069,187,882
2022-12-01,932,170,762
2022-12-02,1009,166,843
2022-12-03,1021,162,859
2022-12-04,1000,150,850
2022-12-05,896,154,742
2022-12-06,973,155,818
2022-12-07,878,137,741
2022-12-08,893,150,743
2022-12-09,945,162,783
2022-12-10,807,116,691
2022-12-11,802,150,652
2022-12-12,998,157,841
2022-12-13,834,161,673
2022-12-14,805,162,643
2022-12-15,923,151,772
2022-12-16,970,140,830
2022-12-17,892,127,765
2022-12-18,910,140,770
2022-12-19,772,114,658
2022-12-20,891,140,751
2022-12-21,915,135,780
2022-12-22,950,173,777
2022-12-23,1038,169,869
2022-12-24,3822,749,3073
2022-12-25,11244,5046,6198
2022-12-26,2448,766,1682
2022-12-27,1404,475,929
2022-12-28,1201,256,945
2022-12-29,1133,186,947
2022-12-30,1112,220,892
2022-12-31,1478,310,1168
2023-01-01,1107,150,957
2023-01-02,1042,154,888
2023-01-03,1076,207,869
2023-01-04,1049,202,847
2023-01-05,1037,173,864
2023-01-06,1062,198,864
2023-01-07,1017,150,867
2023-01-08,1010,154,856
2023-01-09,1011,169,842
2023-01-10,967,158,809
2023-01-11,1009,168,841
2023-01-12,948,144,804
2023-01-13,878,142,736
2023-01-14,970,127,843
2023-01-15,1927,151,1776
2023-01-16,1043,169,874
2023-01-17,908,135,773
2023-01-18,876,108,768
2023-01-19,847,118,729
2023-01-20,895,106,789
2023-01-21,1091,101,990
2023-01-22,1067,95,972
2023-01-23,1011,123,888
2023-01-24,985,127,858
2023-01-25,950,101,849
2023-01-26,923,123,800
2023-01-27,873,116,757
2023-01-28,798,118,680
2023-01-29,727,125,602
2023-01-30,752,118,634
2023-01-31,799,139,660
2023-02-01,888,169,719
2023-02-02,892,157,735
2023-02-03,833,137,696
2023-02-04,868,131,737
2023-02-05,770,121,649
2023-02-06,752,131,621
2023-02-07,770,146,624
2023-02-08,832,148,684
2023-02-09,753,133,620
2023-02-10,793,150,643
2023-02-11,815,112,703
2023-02-12,999,142,857
2023-02-13,880,163,717
2023-02-14,816,161,655
2023-02-15,808,176,632
2023-02-16,690,154,536
2023-02-17,676,150,526
2023-02-18,777,127,650
2023-02-19,709,114,595
2023-02-20,782,154,628
2023-02-21,763,129,634
2023-02-22,695,127,568
2023-02-23,661,142,519
2023-02-24,722,168,554
2023-02-25,727,110,617
2023-02-26,874,108,766
2023-02-27,811,168,643
2023-02-28,783,155,628
2023-03-01,814,177,637
2023-03-02,837,186,651
2023-03-03,878,169,709
2023-03-04,1038,150,888
2023-03-05,1038,148,890
2023-03-06,1218,273,945
2023-03-07,1783,194,1589
2023-03-08,1052,159,893
2023-03-09,999,155,844
2023-03-10,861,157,704
2023-03-11,858,131,727
2023-03-12,757,129,628
2023-03-13,781,161,620
2023-03-14,763,159,604
2023-03-15,702,144,558
2023-03-16,682,158,524
2023-03-17,782,169,613
2023-03-18,811,127,684
2023-03-19,830,135,695
2023-03-20,748,157,591
2023-03-21,897,139,758
2023-03-22,1119,273,846
2023-03-23,1159,296,863
2023-03-24,1106,260,846
2023-03-25,996,118,878
2023-03-26,897,148,749
2023-03-27,828,175,653
2023-03-28,778,150,628
2023-03-29,782,165,617
2023-03-30,815,176,639
2023-03-31,838,144,694
2023-04-01,788,91,697
2023-04-02,950,127,823
2023-04-03,1001,148,853
2023-04-04,897,163,734
2023-04-05,994,148,846
2023-04-06,904,173,731
2023-04-07,931,204,727
2023-04-08,1078,152,926
2023-04-09,1042,168,874
2023-04-10,1266,369,897
2023-04-11,1042,172,870
2023-04-12,1032,182,850
2023-04-13,1040,236,804
2023-04-14,1049,193,856
2023-04-15,1018,139,879
2023-04-16,1864,207,1657
2023-04-17,1303,278,1025
2023-04-18,1101,202,899
2023-04-19,1060,180,880
2023-04-20,1027,187,840
2023-04-21,997,179,818
2023-04-22,892,152,740
