Time,all,pc,wise
2022-10-01,2332,343,1989
2022-10-02,2734,375,2359
2022-10-03,2640,340,2300
2022-10-04,2398,377,2021
2022-10-05,2190,383,1807
2022-10-06,2063,341,1722
2022-10-07,2212,374,1838
2022-10-08,2255,434,1821
2022-10-09,2123,448,1675
2022-10-10,1971,456,1515
2022-10-11,2039,448,1591
2022-10-12,2173,475,1698
2022-10-13,2197,501,1696
2022-10-14,2355,476,1879
2022-10-15,3169,464,2705
2022-10-16,2780,445,2335
2022-10-17,2361,540,1821
2022-10-18,2172,468,1704
2022-10-19,2206,439,1767
2022-10-20,2115,426,1689
2022-10-21,2183,451,1732
2022-10-22,2485,426,2059
2022-10-23,2634,451,2183
2022-10-24,2373,454,1919
2022-10-25,2381,532,1849
2022-10-26,2368,493,1875
2022-10-27,2289,537,1752
2022-10-28,2386,453,1933
2022-10-29,3084,395,2689
2022-10-30,2538,180,2358
2022-10-31,2403,481,1922
2022-11-01,2485,499,1986
2022-11-02,2497,519,1978
2022-11-03,2085,447,1638
2022-11-04,2271,547,1724
2022-11-05,2152,366,1786
2022-11-06,3098,422,2676
2022-11-07,2704,551,2153
2022-11-08,2812,574,2238
2022-11-09,2605,538,2067
2022-11-10,2271,437,1834
2022-11-11,2215,468,1747
2022-11-12,2657,425,2232
2022-11-13,2636,364,2272
2022-11-14,2452,451,2001
2022-11-15,2291,488,1803
2022-11-16,2275,502,1773
2022-11-17,2160,482,1678
2022-11-18,2225,437,1788
2022-11-19,2430,412,2018
2022-11-20,2591,408,2183
2022-11-21,2354,481,1873
2022-11-22,2164,442,1722
2022-11-23,2100,433,1667
2022-11-24,1887,330,1557
2022-11-25,2091,405,1686
2022-11-26,2204,341,1863
2022-11-27,3012,378,2634
2022-11-28,2295,400,1895
2022-11-29,2636,475,2161
2022-11-30,2802,487,2315
2022-12-01,2379,495,1884
2022-12-02,2525,488,2037
2022-12-03,2495,375,2120
2022-12-04,2618,403,2215
2022-12-05,2282,457,1825
2022-12-06,2458,529,1929
2022-12-07,2148,434,1714
2022-12-08,2255,462,1793
2022-12-09,2604,473,2131
2022-12-10,3046,433,2613
2022-12-11,2599,397,2202
2022-12-12,2319,430,1889
2022-12-13,2435,478,1957
2022-12-14,2214,461,1753
2022-12-15,2292,426,1866
