Time,all,pc,wise
2022-10-01,6502,564,5938
2022-10-02,22662,900,21762
2022-10-03,25433,996,24437
2022-10-04,12988,899,12089
2022-10-05,10113,836,9277
2022-10-06,7478,746,6732
2022-10-07,5776,670,5106
2022-10-08,5029,689,4340
2022-10-09,5270,730,4540
2022-10-10,5572,768,4804
2022-10-11,5134,720,4414
2022-10-12,4876,716,4160
2022-10-13,4583,645,3938
2022-10-14,5013,713,4300
2022-10-15,6480,668,5812
2022-10-16,5527,585,4942
2022-10-17,4517,730,3787
2022-10-18,4426,685,3741
2022-10-19,4146,600,3546
2022-10-20,4219,676,3543
2022-10-21,7654,681,6973
2022-10-22,8545,768,7777
2022-10-23,6755,616,6139
2022-10-24,5199,715,4484
2022-10-25,4864,740,4124
2022-10-26,4745,729,4016
2022-10-27,4276,710,3566
2022-10-28,4073,594,3479
2022-10-29,4292,599,3693
2022-10-30,4218,186,4032
2022-10-31,3949,585,3364
2022-11-01,3664,588,3076
2022-11-02,3438,578,2860
2022-11-03,3488,558,2930
2022-11-04,3598,571,3027
2022-11-05,3853,504,3349
2022-11-06,4406,496,3910
2022-11-07,3863,600,3263
2022-11-08,3748,636,3112
2022-11-09,3449,609,2840
2022-11-10,3174,547,2627
2022-11-11,5269,595,4674
2022-11-12,4254,504,3750
2022-11-13,3928,437,3491
2022-11-14,3590,555,3035
2022-11-15,3337,533,2804
2022-11-16,3544,488,3056
2022-11-17,3600,582,3018
2022-11-18,3843,510,3333
2022-11-19,3920,443,3477
2022-11-20,6833,498,6335
2022-11-21,5242,642,4600
2022-11-22,4211,628,3583
2022-11-23,3677,482,3195
2022-11-24,3968,521,3447
2022-11-25,3791,540,3251
2022-11-26,4330,493,3837
2022-11-27,8732,600,8132
2022-11-28,7110,746,6364
2022-11-29,5018,670,4348
2022-11-30,4517,577,3940
2022-12-01,4300,588,3712
2022-12-02,4171,532,3639
2022-12-03,4943,512,4431
2022-12-04,4716,492,4224
2022-12-05,3379,476,2903
2022-12-06,3777,560,3217
2022-12-07,3465,512,2953
2022-12-08,3543,532,3011
2022-12-09,3557,513,3044
2022-12-10,3463,411,3052
2022-12-11,6887,538,6349
2022-12-12,4573,662,3911
2022-12-13,4065,569,3496
2022-12-14,3772,541,3231
2022-12-15,3955,516,3439
2022-12-16,3947,535,3412
2022-12-17,5268,448,4820
2022-12-18,8149,451,7698
2022-12-19,4180,530,3650
2022-12-20,3954,541,3413
2022-12-21,3806,519,3287
2022-12-22,3909,498,3411
2022-12-23,3773,473,3300
2022-12-24,5176,431,4745
2022-12-25,5708,433,5275
2022-12-26,3661,516,3145
2022-12-27,3572,575,2997
2022-12-28,3313,513,2800
2022-12-29,3385,498,2887
2022-12-30,3245,470,2775
2022-12-31,3670,425,3245
2023-01-01,3265,451,2814
2023-01-02,3186,499,2687
2023-01-03,2640,492,2148
2023-01-04,2659,513,2146
2023-01-05,2685,437,2248
2023-01-06,2709,436,2273
2023-01-07,2902,381,2521
2023-01-08,2758,403,2355
2023-01-09,2582,442,2140
2023-01-10,2697,442,2255
2023-01-11,2594,437,2157
2023-01-12,2447,428,2019
2023-01-13,2856,450,2406
2023-01-14,2923,389,2534
2023-01-15,4549,397,4152
2023-01-16,2585,397,2188
2023-01-17,2237,399,1838
2023-01-18,2293,391,1902
2023-01-19,2574,367,2207
2023-01-20,2352,281,2071
2023-01-21,2336,242,2094
2023-01-22,2529,290,2239
2023-01-23,2456,293,2163
2023-01-24,2286,257,2029
2023-01-25,2570,310,2260
2023-01-26,2245,264,1981
2023-01-27,2132,257,1875
2023-01-28,1958,310,1648
2023-01-29,1970,301,1669
2023-01-30,1828,366,1462
2023-01-31,1812,319,1493
2023-02-01,2089,360,1729
2023-02-02,1967,389,1578
2023-02-03,2026,394,1632
2023-02-04,2037,304,1733
2023-02-05,2071,312,1759
2023-02-06,1977,369,1608
2023-02-07,2278,375,1903
2023-02-08,2320,425,1895
2023-02-09,2170,426,1744
2023-02-10,2158,394,1764
2023-02-11,2351,397,1954
2023-02-12,2206,350,1856
2023-02-13,1925,391,1534
2023-02-14,2267,440,1827
2023-02-15,2256,451,1805
2023-02-16,2047,406,1641
2023-02-17,2017,377,1640
2023-02-18,2177,340,1837
2023-02-19,2096,312,1784
2023-02-20,2055,397,1658
2023-02-21,2120,440,1680
2023-02-22,2127,402,1725
2023-02-23,2027,436,1591
2023-02-24,2146,394,1752
2023-02-25,2250,363,1887
2023-02-26,2252,343,1909
2023-02-27,1979,372,1607
2023-02-28,1911,423,1488
2023-03-01,1939,377,1562
2023-03-02,1832,360,1472
2023-03-03,2310,409,1901
2023-03-04,2072,338,1734
2023-03-05,2060,273,1787
2023-03-06,1798,378,1420
2023-03-07,1841,383,1458
2023-03-08,1905,366,1539
2023-03-09,1816,330,1486
2023-03-10,1853,329,1524
2023-03-11,1883,274,1609
2023-03-12,2040,293,1747
2023-03-13,1820,358,1462
2023-03-14,2031,355,1676
2023-03-15,1993,412,1581
2023-03-16,1892,352,1540
2023-03-17,1871,347,1524
2023-03-18,2081,310,1771
2023-03-19,1950,256,1694
2023-03-20,1802,338,1464
2023-03-21,1895,355,1540
2023-03-22,1815,336,1479
2023-03-23,1917,417,1500
2023-03-24,1907,392,1515
2023-03-25,1964,313,1651
2023-03-26,1944,304,1640
2023-03-27,1788,381,1407
2023-03-28,1803,358,1445
2023-03-29,1964,439,1525
2023-03-30,2044,428,1616
2023-03-31,2081,425,1656
2023-04-01,2148,315,1833
2023-04-02,2083,288,1795
2023-04-03,2001,409,1592
2023-04-04,2257,450,1807
2023-04-05,2140,313,1827
2023-04-06,2281,588,1693
2023-04-07,2044,414,1630
2023-04-08,1919,324,1595
2023-04-09,1886,273,1613
2023-04-10,1781,381,1400
2023-04-11,1884,352,1532
2023-04-12,1783,344,1439
2023-04-13,1843,366,1477
2023-04-14,2213,366,1847
2023-04-15,2045,309,1736
2023-04-16,1971,336,1635
2023-04-17,1672,313,1359
2023-04-18,1781,357,1424
2023-04-19,1908,360,1548
2023-04-20,1880,364,1516
2023-04-21,1970,378,1592
2023-04-22,2442,324,2118
