Time,all,pc,wise
2022-10-01,9303,247,9056
2022-10-02,4402,265,4137
2022-10-03,3568,247,3321
2022-10-04,3056,233,2823
2022-10-05,2787,234,2553
2022-10-06,2818,254,2564
2022-10-07,2711,229,2482
2022-10-08,2313,278,2035
2022-10-09,2230,265,1965
2022-10-10,2246,247,1999
2022-10-11,2348,278,2070
2022-10-12,2378,262,2116
2022-10-13,2533,291,2242
2022-10-14,2700,290,2410
2022-10-15,3080,279,2801
2022-10-16,4034,290,3744
2022-10-17,3470,302,3168
2022-10-18,2891,298,2593
2022-10-19,3056,312,2744
2022-10-20,2838,315,2523
2022-10-21,2544,254,2290
2022-10-22,3576,251,3325
2022-10-23,3767,226,3541
2022-10-24,3140,287,2853
2022-10-25,2927,262,2665
2022-10-26,3541,326,3215
2022-10-27,3404,293,3111
2022-10-28,3042,309,2733
2022-10-29,3423,260,3163
2022-10-30,3562,137,3425
2022-10-31,2772,245,2527
2022-11-01,2519,247,2272
2022-11-02,2492,265,2227
2022-11-03,2625,270,2355
2022-11-04,2809,268,2541
2022-11-05,3362,248,3114
2022-11-06,2956,207,2749
2022-11-07,2700,251,2449
2022-11-08,2680,281,2399
2022-11-09,2622,268,2354
2022-11-10,2491,260,2231
2022-11-11,2557,307,2250
2022-11-12,2472,204,2268
2022-11-13,2442,223,2219
2022-11-14,2313,278,2035
2022-11-15,2339,242,2097
2022-11-16,2385,247,2138
2022-11-17,2470,247,2223
2022-11-18,2421,234,2187
2022-11-19,2605,195,2410
2022-11-20,2388,223,2165
2022-11-21,2540,278,2262
2022-11-22,2182,274,1908
2022-11-23,2130,233,1897
2022-11-24,2181,250,1931
2022-11-25,2516,282,2234
2022-11-26,3357,234,3123
2022-11-27,4007,240,3767
2022-11-28,2971,278,2693
2022-11-29,2890,273,2617
2022-11-30,3303,299,3004
2022-12-01,3088,279,2809
2022-12-02,3027,340,2687
2022-12-03,2779,207,2572
2022-12-04,2870,215,2655
2022-12-05,4148,276,3872
2022-12-06,4353,291,4062
2022-12-07,3415,248,3167
2022-12-08,3931,282,3649
2022-12-09,4379,290,4089
