Time,all,pc,wise
2022-10-01,979,137,842
2022-10-02,834,133,701
2022-10-03,808,127,681
2022-10-04,822,144,678
2022-10-05,783,155,628
2022-10-06,687,137,550
2022-10-07,719,133,586
2022-10-08,922,166,756
2022-10-09,703,144,559
2022-10-10,715,155,560
2022-10-11,653,142,511
2022-10-12,695,159,536
2022-10-13,716,139,577
2022-10-14,819,161,658
2022-10-15,829,163,666
2022-10-16,817,144,673
2022-10-17,771,169,602
2022-10-18,789,162,627
2022-10-19,728,125,603
2022-10-20,786,180,606
2022-10-21,762,137,625
2022-10-22,796,112,684
2022-10-23,754,97,657
2022-10-24,735,135,600
2022-10-25,1035,270,765
2022-10-26,996,220,776
2022-10-27,948,212,736
2022-10-28,767,165,602
2022-10-29,842,161,681
2022-10-30,728,76,652
2022-10-31,1134,183,951
2022-11-01,1001,151,850
2022-11-02,914,144,770
2022-11-03,814,161,653
2022-11-04,925,198,727
2022-11-05,896,155,741
2022-11-06,776,133,643
2022-11-07,883,150,733
2022-11-08,889,155,734
2022-11-09,901,152,749
2022-11-10,868,152,716
2022-11-11,791,142,649
2022-11-12,902,129,773
2022-11-13,979,135,844
2022-11-14,1020,162,858
2022-11-15,954,158,796
2022-11-16,921,163,758
2022-11-17,1137,222,915
2022-11-18,1584,213,1371
2022-11-19,1535,169,1366
2022-11-20,1126,163,963
2022-11-21,1077,168,909
2022-11-22,1012,161,851
2022-11-23,882,151,731
2022-11-24,912,139,773
2022-11-25,937,165,772
2022-11-26,974,125,849
2022-11-27,1097,157,940
2022-11-28,969,176,793
2022-11-29,836,173,663
2022-11-30,815,135,680
2022-12-01,882,139,743
2022-12-02,856,129,727
2022-12-03,823,114,709
2022-12-04,794,123,671
2022-12-05,723,137,586
2022-12-06,874,150,724
2022-12-07,759,150,609
2022-12-08,779,159,620
2022-12-09,734,121,613
2022-12-10,706,114,592
2022-12-11,887,129,758
2022-12-12,657,121,536
2022-12-13,709,131,578
2022-12-14,589,110,479
2022-12-15,662,110,552
2022-12-16,731,152,579
2022-12-17,723,131,592
2022-12-18,808,120,688
2022-12-19,858,121,737
2022-12-20,769,127,642
2022-12-21,674,129,545
2022-12-22,712,135,577
2022-12-23,664,142,522
2022-12-24,879,142,737
2022-12-25,1035,142,893
2022-12-26,988,144,844
2022-12-27,906,154,752
2022-12-28,857,168,689
2022-12-29,925,170,755
2022-12-30,902,161,741
2022-12-31,4151,589,3562
2023-01-01,2019,323,1696
2023-01-02,1370,226,1144
2023-01-03,1090,191,899
2023-01-04,1105,231,874
2023-01-05,1081,197,884
2023-01-06,1010,161,849
2023-01-07,1019,158,861
2023-01-08,1000,142,858
2023-01-09,854,155,699
2023-01-10,874,166,708
2023-01-11,891,179,712
2023-01-12,788,137,651
2023-01-13,956,162,794
2023-01-14,964,146,818
2023-01-15,927,140,787
2023-01-16,746,158,588
2023-01-17,812,152,660
2023-01-18,714,129,585
2023-01-19,838,140,698
2023-01-20,1663,197,1466
2023-01-21,1356,140,1216
2023-01-22,1835,127,1708
2023-01-23,1321,155,1166
2023-01-24,1004,106,898
2023-01-25,969,101,868
2023-01-26,973,112,861
2023-01-27,861,139,722
2023-01-28,850,140,710
2023-01-29,757,139,618
2023-01-30,757,148,609
2023-01-31,925,152,773
2023-02-01,955,155,800
2023-02-02,808,151,657
2023-02-03,915,163,752
2023-02-04,1052,137,915
2023-02-05,2077,154,1923
2023-02-06,1134,200,934
2023-02-07,1072,151,921
2023-02-08,1089,188,901
2023-02-09,1006,158,848
2023-02-10,1382,388,994
2023-02-11,1039,154,885
2023-02-12,1126,180,946
2023-02-13,843,183,660
2023-02-14,815,184,631
2023-02-15,747,155,592
2023-02-16,704,155,549
2023-02-17,979,190,789
2023-02-18,878,142,736
2023-02-19,855,140,715
2023-02-20,711,166,545
2023-02-21,707,150,557
2023-02-22,706,148,558
2023-02-23,688,146,542
2023-02-24,811,144,667
2023-02-25,762,110,652
2023-02-26,707,123,584
2023-02-27,627,129,498
2023-02-28,671,158,513
2023-03-01,643,154,489
2023-03-02,601,146,455
2023-03-03,628,150,478
2023-03-04,929,135,794
2023-03-05,887,161,726
2023-03-06,687,148,539
2023-03-07,648,158,490
2023-03-08,679,140,539
2023-03-09,602,154,448
2023-03-10,631,140,491
2023-03-11,700,125,575
2023-03-12,655,104,551
2023-03-13,558,118,440
2023-03-14,632,161,471
2023-03-15,642,131,511
2023-03-16,616,127,489
2023-03-17,716,157,559
2023-03-18,688,114,574
2023-03-19,766,102,664
2023-03-20,778,144,634
2023-03-21,724,118,606
2023-03-22,739,129,610
2023-03-23,693,169,524
2023-03-24,753,148,605
2023-03-25,855,139,716
2023-03-26,845,125,720
2023-03-27,764,146,618
2023-03-28,768,158,610
2023-03-29,1038,205,833
2023-03-30,1151,226,925
2023-03-31,1006,177,829
2023-04-01,824,137,687
2023-04-02,814,140,674
2023-04-03,1052,200,852
2023-04-04,1158,254,904
2023-04-05,1086,168,918
2023-04-06,1109,222,887
2023-04-07,910,177,733
2023-04-08,892,129,763
2023-04-09,892,137,755
2023-04-10,760,169,591
2023-04-11,813,176,637
2023-04-12,767,154,613
2023-04-13,793,172,621
2023-04-14,856,180,676
2023-04-15,771,120,651
2023-04-16,736,127,609
2023-04-17,713,152,561
2023-04-18,873,179,694
2023-04-19,842,165,677
2023-04-20,980,176,804
2023-04-21,888,172,716
2023-04-22,961,150,811
