index,by2
2023-01-23,26151
2023-01-24,3779
2023-01-25,79172
2023-01-26,8461
2023-01-27,1820
2023-01-28,4280
2023-01-29,32034
2023-01-30,3657
2023-01-31,3933
2023-02-01,57883
2023-02-02,17691
2023-02-03,18652
2023-02-04,27951
2023-02-05,42455
2023-02-06,11143
2023-02-07,14034
2023-02-08,39077
2023-02-09,33765
2023-02-10,14537
2023-02-11,8497
2023-02-12,42509
2023-02-13,5963
2023-02-14,9416
2023-02-15,59181
2023-02-16,30644
2023-02-17,24986
2023-02-18,7198
2023-02-19,12029
2023-02-20,6926
2023-02-21,71854
2023-02-22,92110
2023-02-23,106627
2023-02-24,150790
2023-02-25,193368
2023-02-26,90926
2023-02-27,131866
2023-02-28,51856
2023-03-01,40859
2023-03-02,7384
2023-03-03,34552
2023-03-04,14543
2023-03-05,25074
2023-03-06,5487
2023-03-07,6029
2023-03-08,21919
2023-03-09,37104
2023-03-10,7186
2023-03-11,8595
2023-03-12,38547
2023-03-13,33376
2023-03-14,22649
2023-03-15,4189
2023-03-16,15838
2023-03-17,27094
2023-03-18,30087
2023-03-19,36827
2023-03-20,3779
2023-03-21,104910
2023-03-22,21219
2023-03-23,103961
2023-03-24,42998
2023-03-25,123746
2023-03-26,5778
2023-03-27,4716
2023-03-28,12119
2023-03-29,22169
2023-03-30,3138
2023-03-31,24049
2023-04-01,7030
2023-04-02,2728
2023-04-03,2910
2023-04-04,2042
2023-04-05,2171
2023-04-06,27442
2023-04-07,16437
2023-04-08,2728
2023-04-09,1802
2023-04-10,1772
2023-04-11,21327
2023-04-12,4318
2023-04-13,1149
2023-04-14,4046
2023-04-15,3361
2023-04-16,6920
2023-04-17,1326
2023-04-18,27526
2023-04-19,3570
2023-04-20,36608
2023-04-21,3566
2023-04-22,2895
2023-04-23,4713
