index,刘若英
2023-01-23,68001
2023-01-24,835
2023-01-25,4979
2023-01-26,895
2023-01-27,1513
2023-01-28,790
2023-01-29,977
2023-01-30,667
2023-01-31,1244
2023-02-01,2004
2023-02-02,707
2023-02-03,3207
2023-02-04,2125
2023-02-05,709
2023-02-06,2873
2023-02-07,867
2023-02-08,4613
2023-02-09,7297
2023-02-10,682
2023-02-11,820
2023-02-12,11052
2023-02-13,2107
2023-02-14,4106
2023-02-15,959
2023-02-16,24659
2023-02-17,109782
2023-02-18,2640
2023-02-19,4950
2023-02-20,8150
2023-02-21,4435
2023-02-22,1311
2023-02-23,794
2023-02-24,3699
2023-02-25,2111
2023-02-26,551
2023-02-27,3210
2023-02-28,1103
2023-03-01,896
2023-03-02,662
2023-03-03,14733
2023-03-04,3334
2023-03-05,3136
2023-03-06,2242
2023-03-07,6561
2023-03-08,54920
2023-03-09,19550
2023-03-10,87452
2023-03-11,18583
2023-03-12,5160
2023-03-13,78792
2023-03-14,11734
2023-03-15,4795
2023-03-16,48605
2023-03-17,6790
2023-03-18,2394
2023-03-19,4899
2023-03-20,4025
2023-03-21,2774
2023-03-22,3045
2023-03-23,59850
2023-03-24,10537
2023-03-25,8341
2023-03-26,68707
2023-03-27,62838
2023-03-28,6984
2023-03-29,3276
2023-03-30,39737
2023-03-31,6766
2023-04-01,4198
2023-04-02,2870
2023-04-03,4321
2023-04-04,3511
2023-04-05,3965
2023-04-06,8632
2023-04-07,27513
2023-04-08,47031
2023-04-09,83322
2023-04-10,11633
2023-04-11,29010
2023-04-12,18991
2023-04-13,19272
2023-04-14,25102
2023-04-15,55848
2023-04-16,39799
2023-04-17,31732
2023-04-18,28692
2023-04-19,13679
2023-04-20,21562
2023-04-21,29037
2023-04-22,28073
2023-04-23,20716
