index,刘雨昕
2023-01-23,4442943
2023-01-24,2546003
2023-01-25,4767631
2023-01-26,3929896
2023-01-27,1578182
2023-01-28,4540330
2023-01-29,2259454
2023-01-30,2543209
2023-01-31,2598035
2023-02-01,2605424
2023-02-02,2561090
2023-02-03,2593285
2023-02-04,3366877
2023-02-05,3828663
2023-02-06,5783949
2023-02-07,3185841
2023-02-08,1770585
2023-02-09,2023642
2023-02-10,1889405
2023-02-11,2450812
2023-02-12,2179768
2023-02-13,4307002
2023-02-14,4430507
2023-02-15,5847981
2023-02-16,3046282
2023-02-17,2546349
2023-02-18,2432722
2023-02-19,2252221
2023-02-20,3380549
2023-02-21,3228068
2023-02-22,2406476
2023-02-23,3960710
2023-02-24,4586272
2023-02-25,6906536
2023-02-26,2956022
2023-02-27,3113918
2023-02-28,5049828
2023-03-01,5034983
2023-03-02,4805040
2023-03-03,3705364
2023-03-04,3292204
2023-03-05,3191341
2023-03-06,3428811
2023-03-07,5532351
2023-03-08,5314269
2023-03-09,4164063
2023-03-10,3306614
2023-03-11,2741208
2023-03-12,2618615
2023-03-13,2751445
2023-03-14,2773321
2023-03-15,3063734
2023-03-16,3338957
2023-03-17,5639704
2023-03-18,3024941
2023-03-19,2394496
2023-03-20,5176368
2023-03-21,2904526
2023-03-22,4556594
2023-03-23,3895229
2023-03-24,4538074
2023-03-25,6492450
2023-03-26,4528627
2023-03-27,3756608
2023-03-28,3224191
2023-03-29,3373265
2023-03-30,2593306
2023-03-31,2221386
2023-04-01,1661629
2023-04-02,3413502
2023-04-03,2697370
2023-04-04,2620458
2023-04-05,2276110
2023-04-06,2071728
2023-04-07,2501959
2023-04-08,3759439
2023-04-09,2919684
2023-04-10,8151820
2023-04-11,3352832
2023-04-12,1930837
2023-04-13,4519665
2023-04-14,4512860
2023-04-15,6030222
2023-04-16,3780400
2023-04-17,3416294
2023-04-18,3798079
2023-04-19,3798700
2023-04-20,11393718
2023-04-21,6279880
2023-04-22,5551604
2023-04-23,3305083
