index,周笔畅
2023-01-23,62557
2023-01-24,117011
2023-01-25,109679
2023-01-26,21503
2023-01-27,134432
2023-01-28,19145
2023-01-29,20973
2023-01-30,21875
2023-01-31,53293
2023-02-01,21450
2023-02-02,18513
2023-02-03,124456
2023-02-04,49680
2023-02-05,32026
2023-02-06,20065
2023-02-07,26966
2023-02-08,57461
2023-02-09,38761
2023-02-10,40550
2023-02-11,19520
2023-02-12,20605
2023-02-13,19550
2023-02-14,47669
2023-02-15,27309
2023-02-16,26068
2023-02-17,23518
2023-02-18,22179
2023-02-19,14876
2023-02-20,32948
2023-02-21,20268
2023-02-22,42981
2023-02-23,26908
2023-02-24,17756
2023-02-25,11539
2023-02-26,12268
2023-02-27,24011
2023-02-28,111408
2023-03-01,30432
2023-03-02,52447
2023-03-03,76447
2023-03-04,53449
2023-03-05,115041
2023-03-06,36436
2023-03-07,26713
2023-03-08,95531
2023-03-09,19898
2023-03-10,66871
2023-03-11,304364
2023-03-12,48521
2023-03-13,146012
2023-03-14,42663
2023-03-15,48652
2023-03-16,168768
2023-03-17,267218
2023-03-18,104438
2023-03-19,91548
2023-03-20,31037
2023-03-21,553207
2023-03-22,125236
2023-03-23,44152
2023-03-24,96996
2023-03-25,606709
2023-03-26,265091
2023-03-27,282099
2023-03-28,206623
2023-03-29,32054
2023-03-30,77432
2023-03-31,86936
2023-04-01,38984
2023-04-02,21017
2023-04-03,72212
2023-04-04,81222
2023-04-05,25626
2023-04-06,153281
2023-04-07,86450
2023-04-08,36877
2023-04-09,79913
2023-04-10,74992
2023-04-11,55051
2023-04-12,73055
2023-04-13,17419
2023-04-14,77681
2023-04-15,16074
2023-04-16,19545
2023-04-17,74449
2023-04-18,16185
2023-04-19,21704
2023-04-20,66371
2023-04-21,20125
2023-04-22,24518
2023-04-23,13640
