index,张惠妹
2023-01-23,2416
2023-01-24,574
2023-01-25,792
2023-01-26,2662
2023-01-27,2103
2023-01-28,2102
2023-01-29,1300
2023-01-30,516
2023-01-31,1587
2023-02-01,846
2023-02-02,1022
2023-02-03,2916
2023-02-04,1071
2023-02-05,909
2023-02-06,1509
2023-02-07,1408
2023-02-08,1451
2023-02-09,1343
2023-02-10,2672
2023-02-11,1354
2023-02-12,1335
2023-02-13,1034
2023-02-14,2468
2023-02-15,10341
2023-02-16,1282
2023-02-17,2593
2023-02-18,1899
2023-02-19,1901
2023-02-20,3284
2023-02-21,1289
2023-02-22,1082
2023-02-23,991
2023-02-24,1513
2023-02-25,6826
2023-02-26,20424
2023-02-27,1414
2023-02-28,1728
2023-03-01,2099
2023-03-02,2347
2023-03-03,1273
2023-03-04,1154
2023-03-05,1215
2023-03-06,1104
2023-03-07,2194
2023-03-08,3709
2023-03-09,3355
2023-03-10,2942
2023-03-11,973
2023-03-12,642
2023-03-13,2311
2023-03-14,8682
2023-03-15,4670
2023-03-16,20806
2023-03-17,49328
2023-03-18,6377
2023-03-19,5633
2023-03-20,1243
2023-03-21,1224
2023-03-22,18974
2023-03-23,8764
2023-03-24,8863
2023-03-25,2449
2023-03-26,2669
2023-03-27,1238
2023-03-28,3746
2023-03-29,2907
2023-03-30,1716
2023-03-31,23913
2023-04-01,14899
2023-04-02,11801
2023-04-03,11285
2023-04-04,10645
2023-04-05,6913
2023-04-06,10538
2023-04-07,6978
2023-04-08,4717
2023-04-09,15128
2023-04-10,32158
2023-04-11,6967
2023-04-12,1660
2023-04-13,1698
2023-04-14,4019
2023-04-15,3349
2023-04-16,7111
2023-04-17,11582
2023-04-18,4043
2023-04-19,1527
2023-04-20,3481
2023-04-21,19429
2023-04-22,10238
2023-04-23,12413
