index,李斯丹妮
2023-01-23,166338
2023-01-24,267304
2023-01-25,36507
2023-01-26,26316
2023-01-27,20751
2023-01-28,18976
2023-01-29,36010
2023-01-30,27036
2023-01-31,34032
2023-02-01,75184
2023-02-02,125996
2023-02-03,109879
2023-02-04,41545
2023-02-05,84020
2023-02-06,78798
2023-02-07,76613
2023-02-08,336290
2023-02-09,124856
2023-02-10,148272
2023-02-11,93904
2023-02-12,312129
2023-02-13,100086
2023-02-14,76742
2023-02-15,257438
2023-02-16,67352
2023-02-17,96146
2023-02-18,165664
2023-02-19,106649
2023-02-20,63036
2023-02-21,173089
2023-02-22,205310
2023-02-23,153228
2023-02-24,86100
2023-02-25,249201
2023-02-26,143752
2023-02-27,135664
2023-02-28,116700
2023-03-01,230517
2023-03-02,159239
2023-03-03,93531
2023-03-04,208489
2023-03-05,97781
2023-03-06,111364
2023-03-07,97260
2023-03-08,163285
2023-03-09,150728
2023-03-10,114051
2023-03-11,223820
2023-03-12,115703
2023-03-13,200039
2023-03-14,103288
2023-03-15,88467
2023-03-16,89627
2023-03-17,457442
2023-03-18,177212
2023-03-19,121406
2023-03-20,332697
2023-03-21,189613
2023-03-22,227054
2023-03-23,113902
2023-03-24,119177
2023-03-25,628491
2023-03-26,104867
2023-03-27,105172
2023-03-28,129280
2023-03-29,111459
2023-03-30,131334
2023-03-31,293487
2023-04-01,177277
2023-04-02,543265
2023-04-03,238440
2023-04-04,141862
2023-04-05,163774
2023-04-06,414601
2023-04-07,264124
2023-04-08,572313
2023-04-09,207186
2023-04-10,241115
2023-04-11,363322
2023-04-12,155746
2023-04-13,129264
2023-04-14,214920
2023-04-15,452604
2023-04-16,130881
2023-04-17,90078
2023-04-18,274804
2023-04-19,388584
2023-04-20,196843
2023-04-21,133990
2023-04-22,464070
2023-04-23,141012
