index,李玟
2023-01-23,3251
2023-01-24,9479
2023-01-25,8578
2023-01-26,16485
2023-01-27,9923
2023-01-28,6287
2023-01-29,10881
2023-01-30,8052
2023-01-31,7688
2023-02-01,30590
2023-02-02,12285
2023-02-03,5509
2023-02-04,12425
2023-02-05,9740
2023-02-06,7597
2023-02-07,8472
2023-02-08,6276
2023-02-09,3368
2023-02-10,11254
2023-02-11,5255
2023-02-12,7917
2023-02-13,26976
2023-02-14,69792
2023-02-15,11054
2023-02-16,3139
2023-02-17,22995
2023-02-18,9856
2023-02-19,32573
2023-02-20,7212
2023-02-21,3724
2023-02-22,68420
2023-02-23,112218
2023-02-24,12739
2023-02-25,5335
2023-02-26,6443
2023-02-27,2567
2023-02-28,5068
2023-03-01,6415
2023-03-02,4433
2023-03-03,2816
2023-03-04,4300
2023-03-05,2131
2023-03-06,2223
2023-03-07,5798
2023-03-08,44775
2023-03-09,13108
2023-03-10,6885
2023-03-11,21104
2023-03-12,6996
2023-03-13,27878
2023-03-14,12897
2023-03-15,11167
2023-03-16,10778
2023-03-17,6105
2023-03-18,2108
2023-03-19,3402
2023-03-20,9319
2023-03-21,4626
2023-03-22,11503
2023-03-23,8731
2023-03-24,10641
2023-03-25,3895
2023-03-26,2590
2023-03-27,2163
2023-03-28,3875
2023-03-29,4631
2023-03-30,3224
2023-03-31,7604
2023-04-01,13107
2023-04-02,4335
2023-04-03,26201
2023-04-04,29475
2023-04-05,8905
2023-04-06,117212
2023-04-07,32162
2023-04-08,5305
2023-04-09,5944
2023-04-10,3955
2023-04-11,4245
2023-04-12,3727
2023-04-13,2947
2023-04-14,3904
2023-04-15,2700
2023-04-16,2218
2023-04-17,3372
2023-04-18,3846
2023-04-19,5400
2023-04-20,4618
2023-04-21,3136
2023-04-22,1990
2023-04-23,1938
