index,杨超越
2023-01-23,84631
2023-01-24,185371
2023-01-25,116547
2023-01-26,213856
2023-01-27,930778
2023-01-28,85363
2023-01-29,182250
2023-01-30,78027
2023-01-31,112119
2023-02-01,128254
2023-02-02,243776
2023-02-03,118190
2023-02-04,172511
2023-02-05,829460
2023-02-06,313930
2023-02-07,213625
2023-02-08,188681
2023-02-09,487453
2023-02-10,1925404
2023-02-11,1084182
2023-02-12,414840
2023-02-13,662288
2023-02-14,545740
2023-02-15,2363958
2023-02-16,1928342
2023-02-17,2163390
2023-02-18,2589338
2023-02-19,1224360
2023-02-20,745395
2023-02-21,721469
2023-02-22,648016
2023-02-23,1242545
2023-02-24,889200
2023-02-25,822755
2023-02-26,1320168
2023-02-27,703968
2023-02-28,1016123
2023-03-01,1017771
2023-03-02,1081543
2023-03-03,365002
2023-03-04,660386
2023-03-05,509284
2023-03-06,621281
2023-03-07,746641
2023-03-08,1069843
2023-03-09,1355509
2023-03-10,431150
2023-03-11,212598
2023-03-12,661961
2023-03-13,492523
2023-03-14,347361
2023-03-15,647331
2023-03-16,150171
2023-03-17,95513
2023-03-18,574112
2023-03-19,338296
2023-03-20,150637
2023-03-21,212747
2023-03-22,104255
2023-03-23,170381
2023-03-24,143923
2023-03-25,124699
2023-03-26,407169
2023-03-27,436467
2023-03-28,774017
2023-03-29,234244
2023-03-30,893282
2023-03-31,316917
2023-04-01,156902
2023-04-02,105670
2023-04-03,206762
2023-04-04,197297
2023-04-05,124285
2023-04-06,208528
2023-04-07,211569
2023-04-08,445499
2023-04-09,232728
2023-04-10,187151
2023-04-11,155108
2023-04-12,129216
2023-04-13,157844
2023-04-14,285325
2023-04-15,149823
2023-04-16,150163
2023-04-17,154764
2023-04-18,162891
2023-04-19,142279
2023-04-20,108053
2023-04-21,134246
2023-04-22,124395
2023-04-23,92317
