index,梁静茹
2023-01-23,1626
2023-01-24,1869
2023-01-25,1433
2023-01-26,6576
2023-01-27,2753
2023-01-28,2783
2023-01-29,1379
2023-01-30,48782
2023-01-31,2032
2023-02-01,3750
2023-02-02,1575
2023-02-03,5573
2023-02-04,1566
2023-02-05,1454
2023-02-06,4370
2023-02-07,7085
2023-02-08,1977
2023-02-09,2629
2023-02-10,866
2023-02-11,1708
2023-02-12,83020
2023-02-13,44969
2023-02-14,22393
2023-02-15,2758
2023-02-16,5898
2023-02-17,4082
2023-02-18,2241
2023-02-19,1116
2023-02-20,1853
2023-02-21,2688
2023-02-22,2265
2023-02-23,4207
2023-02-24,19854
2023-02-25,2547
2023-02-26,2263
2023-02-27,3380
2023-02-28,3270
2023-03-01,2349
2023-03-02,4179
2023-03-03,4525
2023-03-04,147708
2023-03-05,8890
2023-03-06,2135
2023-03-07,5543
2023-03-08,7354
2023-03-09,1615
2023-03-10,5939
2023-03-11,1310
2023-03-12,1981
2023-03-13,4078
2023-03-14,18691
2023-03-15,5650
2023-03-16,5574
2023-03-17,11987
2023-03-18,1562
2023-03-19,3632
2023-03-20,12490
2023-03-21,8451
2023-03-22,9465
2023-03-23,4535
2023-03-24,5677
2023-03-25,3883
2023-03-26,2421
2023-03-27,1889
2023-03-28,2923
2023-03-29,2033
2023-03-30,10904
2023-03-31,6969
2023-04-01,3855
2023-04-02,1933
2023-04-03,2387
2023-04-04,13892
2023-04-05,5235
2023-04-06,221915
2023-04-07,7456
2023-04-08,3101
2023-04-09,3756
2023-04-10,4131
2023-04-11,41769
2023-04-12,19319
2023-04-13,10111
2023-04-14,13024
2023-04-15,6883
2023-04-16,3742
2023-04-17,2314
2023-04-18,7745
2023-04-19,11270
2023-04-20,7757
2023-04-21,5786
2023-04-22,6379
2023-04-23,84357
