index,王心凌
2023-01-23,195744
2023-01-24,282994
2023-01-25,40536
2023-01-26,36487
2023-01-27,32923
2023-01-28,34196
2023-01-29,73452
2023-01-30,27726
2023-01-31,53361
2023-02-01,234034
2023-02-02,51021
2023-02-03,60811
2023-02-04,85600
2023-02-05,131191
2023-02-06,29824
2023-02-07,38183
2023-02-08,57978
2023-02-09,34394
2023-02-10,40802
2023-02-11,37828
2023-02-12,35351
2023-02-13,25874
2023-02-14,90465
2023-02-15,26830
2023-02-16,46960
2023-02-17,36870
2023-02-18,46980
2023-02-19,36458
2023-02-20,71441
2023-02-21,33135
2023-02-22,245278
2023-02-23,190346
2023-02-24,361588
2023-02-25,75269
2023-02-26,85648
2023-02-27,32493
2023-02-28,175552
2023-03-01,61728
2023-03-02,42255
2023-03-03,190211
2023-03-04,498385
2023-03-05,343931
2023-03-06,35786
2023-03-07,44149
2023-03-08,101327
2023-03-09,163688
2023-03-10,773745
2023-03-11,129768
2023-03-12,28957
2023-03-13,38205
2023-03-14,76568
2023-03-15,55736
2023-03-16,33151
2023-03-17,50423
2023-03-18,39937
2023-03-19,206061
2023-03-20,60689
2023-03-21,48339
2023-03-22,93186
2023-03-23,49643
2023-03-24,118125
2023-03-25,315582
2023-03-26,121822
2023-03-27,164848
2023-03-28,34977
2023-03-29,28473
2023-03-30,28894
2023-03-31,32383
2023-04-01,70043
2023-04-02,101892
2023-04-03,189832
2023-04-04,225121
2023-04-05,114832
2023-04-06,96895
2023-04-07,35632
2023-04-08,32749
2023-04-09,35027
2023-04-10,139371
2023-04-11,108333
2023-04-12,56453
2023-04-13,31018
2023-04-14,100134
2023-04-15,26118
2023-04-16,25860
2023-04-17,30597
2023-04-18,100066
2023-04-19,110076
2023-04-20,44377
2023-04-21,28637
2023-04-22,73600
2023-04-23,22897
