index,田馥甄
2023-01-23,3650
2023-01-24,1772
2023-01-25,6708
2023-01-26,113776
2023-01-27,3006
2023-01-28,2223
2023-01-29,2233
2023-01-30,2532
2023-01-31,6916
2023-02-01,4849
2023-02-02,2079
2023-02-03,1854
2023-02-04,2205
2023-02-05,5932
2023-02-06,5458
2023-02-07,3501
2023-02-08,3929
2023-02-09,3127
2023-02-10,2600
2023-02-11,1599
2023-02-12,2734
2023-02-13,6345
2023-02-14,8898
2023-02-15,2425
2023-02-16,6157
2023-02-17,5209
2023-02-18,11461
2023-02-19,6813
2023-02-20,5886
2023-02-21,3504
2023-02-22,3232
2023-02-23,2719
2023-02-24,1621
2023-02-25,6443
2023-02-26,3250
2023-02-27,10462
2023-02-28,6127
2023-03-01,11212
2023-03-02,7365
2023-03-03,3326
2023-03-04,2889
2023-03-05,2457
2023-03-06,12121
2023-03-07,10481
2023-03-08,3536
2023-03-09,51756
2023-03-10,22379
2023-03-11,6218
2023-03-12,3271
2023-03-13,40038
2023-03-14,5599
2023-03-15,18552
2023-03-16,16641
2023-03-17,41580
2023-03-18,4757
2023-03-19,5700
2023-03-20,16459
2023-03-21,7535
2023-03-22,8505
2023-03-23,13368
2023-03-24,6553
2023-03-25,7076
2023-03-26,3538
2023-03-27,6533
2023-03-28,7677
2023-03-29,8971
2023-03-30,48759
2023-03-31,5912
2023-04-01,6520
2023-04-02,2972
2023-04-03,5510
2023-04-04,2869
2023-04-05,1420
2023-04-06,7762
2023-04-07,2716
2023-04-08,2012
2023-04-09,2085
2023-04-10,35778
2023-04-11,18128
2023-04-12,13603
2023-04-13,6562
2023-04-14,5808
2023-04-15,18071
2023-04-16,12094
2023-04-17,3285
2023-04-18,4856
2023-04-19,2019
2023-04-20,2252
2023-04-21,13521
2023-04-22,4878
2023-04-23,2618
