index,范玮琪
2023-01-23,75
2023-01-24,86
2023-01-25,315
2023-01-26,564
2023-01-27,473
2023-01-28,461
2023-01-29,209
2023-01-30,111
2023-01-31,131
2023-02-01,881
2023-02-02,156
2023-02-03,101
2023-02-04,100
2023-02-05,320
2023-02-06,275
2023-02-07,191
2023-02-08,168
2023-02-09,585
2023-02-10,471
2023-02-11,1118
2023-02-12,122
2023-02-13,213
2023-02-14,226
2023-02-15,109
2023-02-16,276
2023-02-17,255
2023-02-18,170
2023-02-19,125
2023-02-20,84
2023-02-21,107
2023-02-22,143
2023-02-23,174
2023-02-24,160
2023-02-25,94
2023-02-26,64
2023-02-27,250
2023-02-28,201
2023-03-01,830
2023-03-02,92
2023-03-03,98
2023-03-04,118
2023-03-05,264
2023-03-06,493
2023-03-07,374
2023-03-08,211
2023-03-09,409
2023-03-10,140
2023-03-11,381
2023-03-12,194
2023-03-13,437
2023-03-14,736
2023-03-15,681
2023-03-16,3616
2023-03-17,1518
2023-03-18,7907
2023-03-19,676
2023-03-20,166
2023-03-21,473
2023-03-22,805
2023-03-23,156
2023-03-24,144
2023-03-25,804
2023-03-26,275
2023-03-27,182
2023-03-28,617
2023-03-29,119
2023-03-30,219
2023-03-31,238
2023-04-01,130
2023-04-02,501
2023-04-03,152
2023-04-04,785
2023-04-05,94
2023-04-06,568
2023-04-07,128
2023-04-08,108
2023-04-09,76
2023-04-10,187
2023-04-11,209
2023-04-12,261
2023-04-13,94
2023-04-14,202
2023-04-15,89
2023-04-16,359
2023-04-17,83
2023-04-18,175
2023-04-19,109
2023-04-20,150
2023-04-21,140
2023-04-22,73
2023-04-23,1114
