index,蔡依林
2023-01-23,4881
2023-01-24,5972
2023-01-25,3356
2023-01-26,5599
2023-01-27,6169
2023-01-28,5425
2023-01-29,8007
2023-01-30,6806
2023-01-31,6726
2023-02-01,14391
2023-02-02,17285
2023-02-03,5687
2023-02-04,5921
2023-02-05,10395
2023-02-06,12283
2023-02-07,7386
2023-02-08,8076
2023-02-09,4219
2023-02-10,7908
2023-02-11,4521
2023-02-12,2496
2023-02-13,3848
2023-02-14,10864
2023-02-15,3304
2023-02-16,5071
2023-02-17,10150
2023-02-18,7895
2023-02-19,9746
2023-02-20,13760
2023-02-21,4382
2023-02-22,105721
2023-02-23,34610
2023-02-24,20828
2023-02-25,77223
2023-02-26,30677
2023-02-27,14587
2023-02-28,11710
2023-03-01,8978
2023-03-02,90019
2023-03-03,8761
2023-03-04,18208
2023-03-05,15651
2023-03-06,8631
2023-03-07,23391
2023-03-08,25716
2023-03-09,5545
2023-03-10,5257
2023-03-11,3288
2023-03-12,7774
2023-03-13,5992
2023-03-14,70737
2023-03-15,16346
2023-03-16,22998
2023-03-17,187252
2023-03-18,30480
2023-03-19,10183
2023-03-20,49893
2023-03-21,8471
2023-03-22,11317
2023-03-23,28620
2023-03-24,22639
2023-03-25,3827
2023-03-26,3210
2023-03-27,6434
2023-03-28,7228
2023-03-29,4514
2023-03-30,5501
2023-03-31,5088
2023-04-01,4749
2023-04-02,2007
2023-04-03,2991
2023-04-04,5861
2023-04-05,7066
2023-04-06,8750
2023-04-07,5636
2023-04-08,4789
2023-04-09,10747
2023-04-10,3645
2023-04-11,4553
2023-04-12,16899
2023-04-13,6036
2023-04-14,6813
2023-04-15,7283
2023-04-16,3088
2023-04-17,7706
2023-04-18,4826
2023-04-19,5447
2023-04-20,3636
2023-04-21,4670
2023-04-22,3286
2023-04-23,12824
