index,蔡健雅
2023-01-23,646
2023-01-24,816
2023-01-25,550
2023-01-26,443
2023-01-27,1718
2023-01-28,4259
2023-01-29,2102
2023-01-30,5828
2023-01-31,1600
2023-02-01,848
2023-02-02,712
2023-02-03,1572
2023-02-04,742
2023-02-05,892
2023-02-06,1238
2023-02-07,3720
2023-02-08,1085
2023-02-09,1624
2023-02-10,703
2023-02-11,1686
2023-02-12,1004
2023-02-13,846
2023-02-14,4379
2023-02-15,2315
2023-02-16,1339
2023-02-17,1996
2023-02-18,3057
2023-02-19,1381
2023-02-20,1058
2023-02-21,1153
2023-02-22,867
2023-02-23,1972
2023-02-24,976
2023-02-25,816
2023-02-26,656
2023-02-27,1501
2023-02-28,3306
2023-03-01,2341
2023-03-02,87183
2023-03-03,5031
2023-03-04,807
2023-03-05,1571
2023-03-06,162254
2023-03-07,8890
2023-03-08,1822
2023-03-09,2180
2023-03-10,753
2023-03-11,1190
2023-03-12,957
2023-03-13,2635
2023-03-14,760
2023-03-15,863
2023-03-16,4236
2023-03-17,12243
2023-03-18,1868
2023-03-19,3194
2023-03-20,12791
2023-03-21,4363
2023-03-22,2087
2023-03-23,14797
2023-03-24,3551
2023-03-25,1542
2023-03-26,1339
2023-03-27,982
2023-03-28,879
2023-03-29,577
2023-03-30,20371
2023-03-31,13043
2023-04-01,638
2023-04-02,1039
2023-04-03,863
2023-04-04,761
2023-04-05,1442
2023-04-06,724
2023-04-07,975
2023-04-08,856
2023-04-09,1742
2023-04-10,832
2023-04-11,873
2023-04-12,783
2023-04-13,1679
2023-04-14,3231
2023-04-15,1067
2023-04-16,692
2023-04-17,7487
2023-04-18,1506
2023-04-19,2269
2023-04-20,5945
2023-04-21,3031
2023-04-22,1186
2023-04-23,1099
