index,谭维维
2023-01-23,97932
2023-01-24,7422
2023-01-25,20761
2023-01-26,11727
2023-01-27,5534
2023-01-28,5040
2023-01-29,4020
2023-01-30,3564
2023-01-31,3060
2023-02-01,2477
2023-02-02,3297
2023-02-03,4781
2023-02-04,6484
2023-02-05,4089
2023-02-06,2468
2023-02-07,2309
2023-02-08,2428
2023-02-09,3550
2023-02-10,6387
2023-02-11,2762
2023-02-12,2697
2023-02-13,3184
2023-02-14,3912
2023-02-15,7907
2023-02-16,1969
2023-02-17,5529
2023-02-18,1713
2023-02-19,3051
2023-02-20,1847
2023-02-21,3461
2023-02-22,27719
2023-02-23,26464
2023-02-24,9956
2023-02-25,172918
2023-02-26,38731
2023-02-27,4654
2023-02-28,49146
2023-03-01,6757
2023-03-02,49824
2023-03-03,92968
2023-03-04,142195
2023-03-05,38735
2023-03-06,52906
2023-03-07,5884
2023-03-08,18397
2023-03-09,29703
2023-03-10,2472
2023-03-11,2273
2023-03-12,2419
2023-03-13,108112
2023-03-14,34630
2023-03-15,5477
2023-03-16,9380
2023-03-17,48094
2023-03-18,12101
2023-03-19,56501
2023-03-20,21916
2023-03-21,94659
2023-03-22,31940
2023-03-23,119284
2023-03-24,88476
2023-03-25,324039
2023-03-26,173977
2023-03-27,143289
2023-03-28,10049
2023-03-29,8679
2023-03-30,10753
2023-03-31,24661
2023-04-01,6707
2023-04-02,5208
2023-04-03,4761
2023-04-04,1946
2023-04-05,10109
2023-04-06,3920
2023-04-07,22623
2023-04-08,8746
2023-04-09,25284
2023-04-10,75294
2023-04-11,2322
2023-04-12,9837
2023-04-13,3007
2023-04-14,5663
2023-04-15,20318
2023-04-16,2598
2023-04-17,1593
2023-04-18,21240
2023-04-19,47978
2023-04-20,79481
2023-04-21,8980
2023-04-22,34064
2023-04-23,44764
