index,郁可唯
2023-01-23,38929
2023-01-24,42627
2023-01-25,13388
2023-01-26,91682
2023-01-27,18412
2023-01-28,6412
2023-01-29,15607
2023-01-30,14321
2023-01-31,68843
2023-02-01,337996
2023-02-02,24068
2023-02-03,16287
2023-02-04,8851
2023-02-05,126377
2023-02-06,13719
2023-02-07,14125
2023-02-08,13647
2023-02-09,22950
2023-02-10,10942
2023-02-11,5783
2023-02-12,6665
2023-02-13,28570
2023-02-14,74277
2023-02-15,7249
2023-02-16,6521
2023-02-17,5481
2023-02-18,2763
2023-02-19,11157
2023-02-20,7714
2023-02-21,14379
2023-02-22,8927
2023-02-23,11526
2023-02-24,5398
2023-02-25,4074
2023-02-26,3694
2023-02-27,3790
2023-02-28,11820
2023-03-01,6572
2023-03-02,12281
2023-03-03,4789
2023-03-04,3460
2023-03-05,3230
2023-03-06,3258
2023-03-07,36053
2023-03-08,22409
2023-03-09,4527
2023-03-10,7821
2023-03-11,3380
2023-03-12,4881
2023-03-13,15737
2023-03-14,17628
2023-03-15,57910
2023-03-16,13643
2023-03-17,41518
2023-03-18,9371
2023-03-19,4931
2023-03-20,5418
2023-03-21,14406
2023-03-22,3653
2023-03-23,3738
2023-03-24,23455
2023-03-25,45885
2023-03-26,22879
2023-03-27,5476
2023-03-28,29432
2023-03-29,9622
2023-03-30,9133
2023-03-31,381925
2023-04-01,12236
2023-04-02,50325
2023-04-03,6955
2023-04-04,13652
2023-04-05,7009
2023-04-06,6417
2023-04-07,24180
2023-04-08,13888
2023-04-09,14813
2023-04-10,3513
2023-04-11,6276
2023-04-12,5788
2023-04-13,4625
2023-04-14,80224
2023-04-15,29463
2023-04-16,19942
2023-04-17,5467
2023-04-18,12070
2023-04-19,41161
2023-04-20,3789
2023-04-21,8675
2023-04-22,5403
2023-04-23,4684
