index,韩红
2023-01-23,27814
2023-01-24,29919
2023-01-25,92967
2023-01-26,188482
2023-01-27,6431
2023-01-28,20198
2023-01-29,6924
2023-01-30,3638
2023-01-31,1670
2023-02-01,12248
2023-02-02,10541
2023-02-03,55154
2023-02-04,2573
2023-02-05,2546
2023-02-06,1214
2023-02-07,1369
2023-02-08,4658
2023-02-09,5898
2023-02-10,4812
2023-02-11,3001
2023-02-12,2419
2023-02-13,7869
2023-02-14,4391
2023-02-15,6063
2023-02-16,2969
2023-02-17,1886
2023-02-18,1790
2023-02-19,1692
2023-02-20,1303
2023-02-21,2440
2023-02-22,2690
2023-02-23,1467
2023-02-24,9076
2023-02-25,800
2023-02-26,2055
2023-02-27,12861
2023-02-28,907
2023-03-01,731
2023-03-02,995
2023-03-03,2019
2023-03-04,1527
2023-03-05,1318
2023-03-06,777
2023-03-07,2151
2023-03-08,1801
2023-03-09,926
2023-03-10,2718
2023-03-11,2703
2023-03-12,1998
2023-03-13,2084
2023-03-14,1219
2023-03-15,3593
2023-03-16,1737
2023-03-17,1675
2023-03-18,941
2023-03-19,4320
2023-03-20,1206
2023-03-21,1083
2023-03-22,1281
2023-03-23,2246
2023-03-24,48332
2023-03-25,1182
2023-03-26,50533
2023-03-27,93950
2023-03-28,13996
2023-03-29,2798
2023-03-30,206876
2023-03-31,5729
2023-04-01,2609
2023-04-02,9039
2023-04-03,6931
2023-04-04,3595
2023-04-05,2985
2023-04-06,54614
2023-04-07,2800
2023-04-08,1626
2023-04-09,1047
2023-04-10,1240
2023-04-11,3788
2023-04-12,4704
2023-04-13,2646
2023-04-14,2529
2023-04-15,1435
2023-04-16,1838
2023-04-17,2280
2023-04-18,1810
2023-04-19,8242
2023-04-20,4770
2023-04-21,8199
2023-04-22,2255
2023-04-23,5454
