index,齐豫
2023-01-23,75
2023-01-24,33
2023-01-25,103
2023-01-26,824
2023-01-27,65
2023-01-28,416
2023-01-29,228
2023-01-30,111
2023-01-31,143
2023-02-01,93
2023-02-02,147
2023-02-03,1404
2023-02-04,556
2023-02-05,271
2023-02-06,942
2023-02-07,115
2023-02-08,269
2023-02-09,297
2023-02-10,224
2023-02-11,533
2023-02-12,1279
2023-02-13,465
2023-02-14,125
2023-02-15,895
2023-02-16,243
2023-02-17,123
2023-02-18,947
2023-02-19,244
2023-02-20,126
2023-02-21,835
2023-02-22,693
2023-02-23,339
2023-02-24,129
2023-02-25,127
2023-02-26,161
2023-02-27,366
2023-02-28,500
2023-03-01,106
2023-03-02,274
2023-03-03,304
2023-03-04,244
2023-03-05,83
2023-03-06,147
2023-03-07,1417
2023-03-08,311
2023-03-09,1355
2023-03-10,855
2023-03-11,582
2023-03-12,1644
2023-03-13,203
2023-03-14,1438
2023-03-15,2046
2023-03-16,6434
2023-03-17,3031
2023-03-18,914
2023-03-19,592
2023-03-20,399
2023-03-21,195
2023-03-22,146
2023-03-23,184
2023-03-24,292
2023-03-25,239
2023-03-26,553
2023-03-27,178
2023-03-28,164
2023-03-29,96
2023-03-30,30076
2023-03-31,16315
2023-04-01,1720
2023-04-02,1072
2023-04-03,911
2023-04-04,2924
2023-04-05,15560
2023-04-06,91680
2023-04-07,5124
2023-04-08,1945
2023-04-09,1947
2023-04-10,1750
2023-04-11,1468
2023-04-12,2160
2023-04-13,7243
2023-04-14,6143
2023-04-15,390
2023-04-16,3218
2023-04-17,838
2023-04-18,432
2023-04-19,394
2023-04-20,258
2023-04-21,408
2023-04-22,280
2023-04-23,261
