Time,all,pc,wise
2022-10-01,14344,1220,13124
2022-10-02,13132,1179,11953
2022-10-03,12570,1135,11435
2022-10-04,11522,1131,10391
2022-10-05,11480,1063,10417
2022-10-06,11223,1104,10119
2022-10-07,9938,1132,8806
2022-10-08,8419,1205,7214
2022-10-09,8433,1227,7206
2022-10-10,8538,1285,7253
2022-10-11,8168,1280,6888
2022-10-12,8913,1607,7306
2022-10-13,8536,1382,7154
2022-10-14,9701,1421,8280
2022-10-15,11442,1157,10285
2022-10-16,10683,1147,9536
2022-10-17,8905,1378,7527
2022-10-18,8460,1219,7241
2022-10-19,9234,1396,7838
2022-10-20,9352,1410,7942
2022-10-21,9816,1366,8450
2022-10-22,11375,1223,10152
2022-10-23,11274,1174,10100
2022-10-24,9212,1365,7847
2022-10-25,9213,1406,7807
2022-10-26,9132,1433,7699
2022-10-27,9040,1418,7622
2022-10-28,9243,1381,7862
2022-10-29,11255,1280,9975
2022-10-30,10569,631,9938
2022-10-31,9602,1464,8138
2022-11-01,8782,1349,7433
2022-11-02,8915,1367,7548
2022-11-03,9667,1449,8218
2022-11-04,10562,1473,9089
2022-11-05,12386,1292,11094
2022-11-06,13939,1236,12703
2022-11-07,10539,1492,9047
2022-11-08,10176,1394,8782
2022-11-09,9649,1449,8200
2022-11-10,9364,1475,7889
2022-11-11,11725,1374,10351
2022-11-12,27004,1813,25191
2022-11-13,17982,1418,16564
2022-11-14,11857,1570,10287
2022-11-15,11431,1462,9969
2022-11-16,11211,1521,9690
2022-11-17,10777,1426,9351
2022-11-18,17236,1581,15655
2022-11-19,27913,1596,26317
2022-11-20,19529,1274,18255
2022-11-21,13170,1442,11728
2022-11-22,12915,1498,11417
2022-11-23,12124,1460,10664
2022-11-24,11193,1302,9891
2022-11-25,14080,1501,12579
2022-11-26,19807,1470,18337
2022-11-27,17588,1263,16325
2022-11-28,13060,1592,11468
2022-11-29,12315,1513,10802
2022-11-30,11781,1379,10402
2022-12-01,11189,1391,9798
2022-12-02,12500,1453,11047
2022-12-03,13648,1272,12376
2022-12-04,12655,1155,11500
2022-12-05,10610,1367,9243
2022-12-06,11568,1368,10200
2022-12-07,10291,1336,8955
2022-12-08,10249,1332,8917
2022-12-09,18894,1524,17370
2022-12-10,21720,1635,20085
2022-12-11,17421,1422,15999
2022-12-12,13691,1626,12065
2022-12-13,12920,1587,11333
2022-12-14,12375,1587,10788
2022-12-15,12472,1561,10911
