Time,all,pc,wise
2022-10-01,1868,279,1589
2022-10-02,2001,236,1765
2022-10-03,1793,226,1567
2022-10-04,1714,240,1474
2022-10-05,1709,240,1469
2022-10-06,1566,233,1333
2022-10-07,1585,236,1349
2022-10-08,1469,284,1185
2022-10-09,1523,313,1210
2022-10-10,1559,333,1226
2022-10-11,1564,316,1248
2022-10-12,1524,287,1237
2022-10-13,1566,310,1256
2022-10-14,1717,355,1362
2022-10-15,1793,285,1508
2022-10-16,1557,222,1335
2022-10-17,1680,347,1333
2022-10-18,1638,360,1278
2022-10-19,1730,332,1398
2022-10-20,1776,343,1433
2022-10-21,1838,329,1509
2022-10-22,1924,284,1640
2022-10-23,1804,271,1533
2022-10-24,1644,293,1351
2022-10-25,1675,354,1321
2022-10-26,1942,330,1612
2022-10-27,1905,352,1553
2022-10-28,1856,335,1521
2022-10-29,1842,271,1571
2022-10-30,1519,125,1394
2022-10-31,4046,608,3438
2022-11-01,4836,721,4115
2022-11-02,2782,580,2202
2022-11-03,2115,399,1716
2022-11-04,1931,357,1574
2022-11-05,1920,301,1619
2022-11-06,1901,268,1633
2022-11-07,1598,268,1330
2022-11-08,1709,355,1354
2022-11-09,1763,355,1408
2022-11-10,1685,355,1330
2022-11-11,1744,347,1397
2022-11-12,2079,349,1730
2022-11-13,1815,248,1567
2022-11-14,1608,278,1330
2022-11-15,1626,332,1294
2022-11-16,2060,336,1724
2022-11-17,1991,336,1655
2022-11-18,2050,329,1721
2022-11-19,3573,361,3212
2022-11-20,3295,327,2968
2022-11-21,2421,400,2021
2022-11-22,2162,341,1821
2022-11-23,2029,383,1646
2022-11-24,1925,309,1616
2022-11-25,2033,324,1709
2022-11-26,2343,327,2016
2022-11-27,2921,296,2625
2022-11-28,2460,357,2103
2022-11-29,2308,363,1945
2022-11-30,2039,357,1682
2022-12-01,1964,324,1640
2022-12-02,2173,340,1833
2022-12-03,2357,305,2052
2022-12-04,2183,274,1909
2022-12-05,1801,281,1520
2022-12-06,1897,338,1559
2022-12-07,1743,321,1422
2022-12-08,1749,307,1442
2022-12-09,1874,313,1561
2022-12-10,2479,346,2133
2022-12-11,3083,347,2736
2022-12-12,2688,377,2311
2022-12-13,2098,344,1754
2022-12-14,1946,341,1605
2022-12-15,1825,298,1527
2022-12-16,1796,243,1553
2022-12-17,2242,293,1949
2022-12-18,2778,302,2476
2022-12-19,2063,318,1745
2022-12-20,2185,333,1852
2022-12-21,2002,332,1670
2022-12-22,1904,274,1630
2022-12-23,1911,262,1649
2022-12-24,2142,265,1877
2022-12-25,2363,271,2092
2022-12-26,2081,347,1734
2022-12-27,2221,305,1916
2022-12-28,2392,346,2046
2022-12-29,2339,397,1942
2022-12-30,2212,332,1880
2022-12-31,3024,282,2742
2023-01-01,2603,290,2313
2023-01-02,2364,321,2043
2023-01-03,1957,336,1621
2023-01-04,1884,357,1527
2023-01-05,1899,333,1566
2023-01-06,1979,344,1635
2023-01-07,2194,313,1881
2023-01-08,1995,251,1744
2023-01-09,1808,312,1496
2023-01-10,1789,274,1515
2023-01-11,2149,319,1830
2023-01-12,2073,375,1698
2023-01-13,2046,319,1727
2023-01-14,2032,270,1762
2023-01-15,1999,309,1690
2023-01-16,1763,247,1516
2023-01-17,1957,310,1647
2023-01-18,1998,290,1708
2023-01-19,1876,270,1606
2023-01-20,1701,222,1479
2023-01-21,1791,175,1616
2023-01-22,1806,207,1599
2023-01-23,1746,207,1539
2023-01-24,1786,177,1609
2023-01-25,2090,195,1895
2023-01-26,1995,187,1808
2023-01-27,1820,211,1609
2023-01-28,1664,231,1433
2023-01-29,1643,229,1414
2023-01-30,1538,276,1262
2023-01-31,1661,290,1371
2023-02-01,2205,340,1865
2023-02-02,2133,298,1835
2023-02-03,1976,276,1700
2023-02-04,2767,274,2493
2023-02-05,1913,223,1690
2023-02-06,1583,335,1248
2023-02-07,1600,319,1281
2023-02-08,1607,278,1329
2023-02-09,1762,327,1435
2023-02-10,1915,332,1583
2023-02-11,1872,268,1604
2023-02-12,1754,265,1489
2023-02-13,1729,304,1425
2023-02-14,1876,338,1538
2023-02-15,1733,319,1414
2023-02-16,1779,357,1422
2023-02-17,1785,367,1418
2023-02-18,1927,313,1614
2023-02-19,1608,222,1386
2023-02-20,1575,307,1268
2023-02-21,1595,360,1235
2023-02-22,1593,326,1267
2023-02-23,1802,366,1436
2023-02-24,1891,358,1533
2023-02-25,1959,282,1677
2023-02-26,1928,242,1686
2023-02-27,1874,347,1527
2023-02-28,1837,381,1456
2023-03-01,1819,298,1521
2023-03-02,1762,330,1432
2023-03-03,1861,375,1486
2023-03-04,1895,253,1642
2023-03-05,1917,260,1657
2023-03-06,1949,367,1582
2023-03-07,1834,357,1477
2023-03-08,1791,278,1513
2023-03-09,2441,363,2078
2023-03-10,3236,464,2772
2023-03-11,2839,350,2489
2023-03-12,2677,301,2376
2023-03-13,2824,450,2374
2023-03-14,3608,549,3059
2023-03-15,3256,488,2768
2023-03-16,5077,676,4401
2023-03-17,11318,944,10374
2023-03-18,7602,499,7103
2023-03-19,6139,527,5612
2023-03-20,5393,864,4529
2023-03-21,5200,747,4453
2023-03-22,4131,665,3466
2023-03-23,4701,726,3975
2023-03-24,6961,796,6165
2023-03-25,5745,527,5218
2023-03-26,4889,428,4461
2023-03-27,3730,696,3034
2023-03-28,3154,557,2597
2023-03-29,3106,510,2596
2023-03-30,4168,743,3425
2023-03-31,5021,628,4393
2023-04-01,4557,386,4171
2023-04-02,5224,740,4484
2023-04-03,4051,768,3283
2023-04-04,3548,602,2946
2023-04-05,3692,399,3293
2023-04-06,3815,571,3244
2023-04-07,6585,639,5946
2023-04-08,5158,467,4691
2023-04-09,4751,416,4335
