Time,all,pc,wise
2022-10-01,3503,295,3208
2022-10-02,3661,265,3396
2022-10-03,2853,251,2602
2022-10-04,2991,242,2749
2022-10-05,2892,301,2591
2022-10-06,3241,457,2784
2022-10-07,3047,381,2666
2022-10-08,2708,361,2347
2022-10-09,2304,330,1974
2022-10-10,1785,304,1481
2022-10-11,1830,372,1458
2022-10-12,1666,276,1390
2022-10-13,2000,319,1681
2022-10-14,2924,589,2335
2022-10-15,2809,350,2459
2022-10-16,2651,358,2293
2022-10-17,2270,383,1887
2022-10-18,2652,457,2195
2022-10-19,2059,358,1701
2022-10-20,1796,338,1458
2022-10-21,2249,358,1891
2022-10-22,1979,276,1703
2022-10-23,2099,264,1835
2022-10-24,1993,323,1670
2022-10-25,1895,312,1583
2022-10-26,2189,341,1848
2022-10-27,2103,329,1774
2022-10-28,2860,319,2541
2022-10-29,2860,305,2555
2022-10-30,2112,123,1989
2022-10-31,2031,288,1743
2022-11-01,2316,340,1976
2022-11-02,3473,372,3101
2022-11-03,4361,487,3874
2022-11-04,3825,844,2981
2022-11-05,2445,256,2189
2022-11-06,3018,254,2764
2022-11-07,3297,358,2939
2022-11-08,2958,422,2536
2022-11-09,3047,408,2639
2022-11-10,3389,349,3040
2022-11-11,3546,476,3070
2022-11-12,4833,895,3938
2022-11-13,4387,518,3869
2022-11-14,4242,853,3389
2022-11-15,2514,409,2105
2022-11-16,2619,654,1965
2022-11-17,11141,913,10228
2022-11-18,6570,437,6133
2022-11-19,3691,260,3431
2022-11-20,3491,245,3246
2022-11-21,3579,332,3247
2022-11-22,3927,574,3353
2022-11-23,3428,482,2946
2022-11-24,3250,510,2740
2022-11-25,2683,318,2365
2022-11-26,2357,245,2112
2022-11-27,2123,208,1915
2022-11-28,2083,296,1787
2022-11-29,1938,257,1681
2022-11-30,1912,257,1655
2022-12-01,2172,346,1826
2022-12-02,2233,371,1862
2022-12-03,2389,254,2135
2022-12-04,2392,219,2173
2022-12-05,2295,329,1966
2022-12-06,1598,240,1358
2022-12-07,1441,212,1229
2022-12-08,1568,270,1298
2022-12-09,1652,225,1427
2022-12-10,1748,186,1562
2022-12-11,1743,209,1534
2022-12-12,2063,279,1784
2022-12-13,3041,377,2664
2022-12-14,2374,403,1971
2022-12-15,1872,335,1537
2022-12-16,1951,316,1635
2022-12-17,1916,251,1665
2022-12-18,1825,216,1609
2022-12-19,1610,273,1337
2022-12-20,1581,271,1310
2022-12-21,1915,248,1667
2022-12-22,2174,281,1893
2022-12-23,1960,250,1710
2022-12-24,1833,236,1597
2022-12-25,1660,248,1412
2022-12-26,1735,293,1442
2022-12-27,1603,264,1339
2022-12-28,1674,264,1410
2022-12-29,1748,253,1495
2022-12-30,1893,307,1586
2022-12-31,8676,892,7784
2023-01-01,4325,684,3641
2023-01-02,2791,423,2368
2023-01-03,2070,388,1682
2023-01-04,1946,350,1596
2023-01-05,1776,304,1472
2023-01-06,2005,295,1710
2023-01-07,1972,242,1730
2023-01-08,2034,245,1789
2023-01-09,2205,343,1862
2023-01-10,2095,319,1776
2023-01-11,1937,270,1667
2023-01-12,2054,281,1773
2023-01-13,2231,307,1924
2023-01-14,2058,247,1811
2023-01-15,2673,276,2397
2023-01-16,2067,282,1785
2023-01-17,2231,257,1974
2023-01-18,2362,231,2131
2023-01-19,3565,282,3283
2023-01-20,2480,254,2226
2023-01-21,3708,184,3524
2023-01-22,2786,188,2598
2023-01-23,3934,175,3759
2023-01-24,2512,208,2304
2023-01-25,3750,228,3522
2023-01-26,3915,257,3658
2023-01-27,3240,276,2964
2023-01-28,2370,284,2086
2023-01-29,2235,326,1909
2023-01-30,1924,265,1659
2023-01-31,2538,305,2233
2023-02-01,2357,264,2093
2023-02-02,2062,293,1769
2023-02-03,2568,281,2287
2023-02-04,2276,197,2079
2023-02-05,3303,257,3046
2023-02-06,2504,392,2112
2023-02-07,2843,383,2460
2023-02-08,2404,350,2054
2023-02-09,2577,338,2239
2023-02-10,3742,434,3308
2023-02-11,3743,288,3455
2023-02-12,2745,305,2440
2023-02-13,2847,364,2483
2023-02-14,2833,395,2438
2023-02-15,3745,377,3368
2023-02-16,3536,443,3093
2023-02-17,3611,456,3155
2023-02-18,3275,267,3008
2023-02-19,3943,291,3652
2023-02-20,3918,546,3372
2023-02-21,2683,372,2311
2023-02-22,2374,375,1999
2023-02-23,2502,352,2150
2023-02-24,1883,248,1635
2023-02-25,1926,236,1690
2023-02-26,2442,265,2177
2023-02-27,1935,310,1625
2023-02-28,1566,262,1304
2023-03-01,1450,262,1188
2023-03-02,1559,250,1309
2023-03-03,1555,226,1329
2023-03-04,1713,215,1498
2023-03-05,1764,208,1556
2023-03-06,1798,259,1539
2023-03-07,1619,220,1399
2023-03-08,1539,237,1302
2023-03-09,1766,260,1506
2023-03-10,1803,284,1519
2023-03-11,1743,205,1538
2023-03-12,1769,176,1593
2023-03-13,1391,237,1154
2023-03-14,2495,278,2217
2023-03-15,2428,318,2110
2023-03-16,2020,276,1744
2023-03-17,2038,259,1779
2023-03-18,1817,201,1616
2023-03-19,2587,236,2351
2023-03-20,1909,264,1645
2023-03-21,1793,276,1517
2023-03-22,1650,228,1422
2023-03-23,1677,282,1395
2023-03-24,1546,220,1326
2023-03-25,1898,254,1644
2023-03-26,1846,208,1638
2023-03-27,1841,319,1522
2023-03-28,1550,276,1274
2023-03-29,1449,213,1236
2023-03-30,2225,340,1885
2023-03-31,2446,408,2038
2023-04-01,1779,208,1571
2023-04-02,1537,226,1311
2023-04-03,1440,247,1193
2023-04-04,1568,257,1311
2023-04-05,1693,190,1503
2023-04-06,1431,226,1205
2023-04-07,1727,237,1490
2023-04-08,1894,240,1654
2023-04-09,1811,204,1607
2023-04-10,1548,270,1278
2023-04-11,1399,233,1166
2023-04-12,1798,276,1522
2023-04-13,1629,279,1350
2023-04-14,3040,558,2482
2023-04-15,3153,479,2674
2023-04-16,2328,251,2077
2023-04-17,2618,333,2285
2023-04-18,2740,577,2163
2023-04-19,2557,554,2003
2023-04-20,3174,369,2805
2023-04-21,2232,347,1885
2023-04-22,2148,293,1855
