Time,all,pc,wise
2022-10-01,6856,495,6361
2022-10-02,5831,485,5346
2022-10-03,6053,519,5534
2022-10-04,5336,457,4879
2022-10-05,5317,462,4855
2022-10-06,5640,490,5150
2022-10-07,7034,578,6456
2022-10-08,6447,836,5611
2022-10-09,6818,648,6170
2022-10-10,5594,653,4941
2022-10-11,4405,661,3744
2022-10-12,4125,591,3534
2022-10-13,4075,616,3459
2022-10-14,5836,709,5127
2022-10-15,6243,569,5674
2022-10-16,5363,515,4848
2022-10-17,4444,653,3791
2022-10-18,4067,633,3434
2022-10-19,3948,575,3373
2022-10-20,3633,533,3100
2022-10-21,3995,575,3420
2022-10-22,4638,459,4179
2022-10-23,4551,490,4061
2022-10-24,4533,847,3686
2022-10-25,3704,721,2983
2022-10-26,3367,549,2818
2022-10-27,3626,578,3048
2022-10-28,6167,656,5511
2022-10-29,8261,706,7555
2022-10-30,6396,215,6181
2022-10-31,5178,644,4534
2022-11-01,4396,614,3782
2022-11-02,4163,608,3555
2022-11-03,4427,625,3802
2022-11-04,4603,571,4032
2022-11-05,4860,527,4333
2022-11-06,5054,440,4614
2022-11-07,4151,549,3602
2022-11-08,3961,561,3400
2022-11-09,3915,540,3375
2022-11-10,3701,521,3180
2022-11-11,3845,535,3310
2022-11-12,4703,454,4249
2022-11-13,5024,423,4601
2022-11-14,4173,606,3567
2022-11-15,3755,568,3187
2022-11-16,3851,502,3349
2022-11-17,4074,611,3463
2022-11-18,4341,636,3705
2022-11-19,4808,420,4388
2022-11-20,4956,457,4499
2022-11-21,4555,701,3854
2022-11-22,3755,586,3169
2022-11-23,3568,560,3008
2022-11-24,3936,560,3376
2022-11-25,4549,846,3703
2022-11-26,4843,670,4173
2022-11-27,5243,608,4635
2022-11-28,4233,791,3442
2022-11-29,3931,704,3227
2022-11-30,3481,543,2938
2022-12-01,3630,597,3033
2022-12-02,3477,482,2995
2022-12-03,3980,405,3575
2022-12-04,3657,385,3272
2022-12-05,3251,450,2801
2022-12-06,3361,445,2916
2022-12-07,2999,468,2531
2022-12-08,2945,465,2480
2022-12-09,3028,459,2569
2022-12-10,3204,399,2805
2022-12-11,3287,411,2876
2022-12-12,2725,411,2314
2022-12-13,2850,482,2368
2022-12-14,2571,412,2159
2022-12-15,2590,408,2182
2022-12-16,2740,381,2359
2022-12-17,3059,375,2684
2022-12-18,2859,363,2496
2022-12-19,2917,426,2491
2022-12-20,2846,403,2443
2022-12-21,3550,628,2922
2022-12-22,3412,572,2840
2022-12-23,3195,459,2736
2022-12-24,4571,613,3958
2022-12-25,3598,371,3227
2022-12-26,3273,526,2747
2022-12-27,3371,501,2870
2022-12-28,3991,519,3472
2022-12-29,3846,569,3277
2022-12-30,3738,575,3163
2022-12-31,14345,783,13562
2023-01-01,10673,551,10122
2023-01-02,5875,487,5388
2023-01-03,4464,582,3882
2023-01-04,3973,575,3398
2023-01-05,3841,582,3259
2023-01-06,4262,616,3646
2023-01-07,5149,532,4617
2023-01-08,4287,419,3868
2023-01-09,3910,580,3330
2023-01-10,3807,602,3205
2023-01-11,3725,546,3179
2023-01-12,3408,507,2901
2023-01-13,3405,499,2906
2023-01-14,3773,414,3359
2023-01-15,3576,419,3157
2023-01-16,3032,417,2615
2023-01-17,3116,419,2697
2023-01-18,3156,405,2751
2023-01-19,3153,375,2778
2023-01-20,3835,371,3464
2023-01-21,3833,231,3602
2023-01-22,5725,332,5393
2023-01-23,3978,281,3697
