Time,all,pc,wise
2022-10-01,1676,169,1507
2022-10-02,1622,165,1457
2022-10-03,1557,172,1385
2022-10-04,1521,186,1335
2022-10-05,1500,163,1337
2022-10-06,1489,207,1282
2022-10-07,1430,180,1250
2022-10-08,1357,250,1107
2022-10-09,1378,248,1130
2022-10-10,1241,245,996
2022-10-11,1246,257,989
2022-10-12,1260,240,1020
2022-10-13,1275,248,1027
2022-10-14,1207,231,976
2022-10-15,1189,176,1013
2022-10-16,1183,152,1031
2022-10-17,1204,245,959
2022-10-18,1196,223,973
2022-10-19,1166,219,947
2022-10-20,1150,211,939
2022-10-21,1150,191,959
2022-10-22,1134,154,980
2022-10-23,1216,177,1039
2022-10-24,1159,211,948
2022-10-25,1139,213,926
2022-10-26,1141,202,939
2022-10-27,1150,204,946
2022-10-28,1341,357,984
2022-10-29,1179,205,974
2022-10-30,1046,93,953
2022-10-31,1163,197,966
2022-11-01,1179,229,950
2022-11-02,1145,213,932
2022-11-03,1163,209,954
2022-11-04,1157,215,942
2022-11-05,1130,179,951
2022-11-06,1319,191,1128
2022-11-07,1188,222,966
2022-11-08,1176,239,937
2022-11-09,1233,212,1021
2022-11-10,1163,197,966
2022-11-11,1389,226,1163
2022-11-12,1403,177,1226
2022-11-13,1192,165,1027
2022-11-14,1160,188,972
2022-11-15,1163,198,965
2022-11-16,1147,182,965
2022-11-17,1226,229,997
2022-11-18,1277,190,1087
2022-11-19,1320,161,1159
2022-11-20,1176,182,994
2022-11-21,1106,182,924
2022-11-22,1091,184,907
2022-11-23,1082,183,899
2022-11-24,1089,177,912
2022-11-25,1143,193,950
2022-11-26,1126,162,964
2022-11-27,1074,133,941
2022-11-28,1147,169,978
2022-11-29,1052,162,890
2022-11-30,1063,197,866
2022-12-01,1037,175,862
2022-12-02,1024,155,869
2022-12-03,1040,144,896
2022-12-04,1026,133,893
2022-12-05,1030,169,861
2022-12-06,1061,176,885
2022-12-07,1031,169,862
2022-12-08,1087,207,880
2022-12-09,1041,165,876
2022-12-10,1028,144,884
2022-12-11,1029,161,868
2022-12-12,1005,152,853
2022-12-13,1034,188,846
2022-12-14,1038,166,872
2022-12-15,1037,169,868
2022-12-16,1534,326,1208
2022-12-17,1139,157,982
2022-12-18,1102,165,937
2022-12-19,1036,161,875
2022-12-20,1066,179,887
2022-12-21,1041,175,866
2022-12-22,1032,168,864
2022-12-23,1041,180,861
2022-12-24,1011,150,861
2022-12-25,1031,139,892
2022-12-26,1121,183,938
2022-12-27,1154,205,949
2022-12-28,1112,198,914
2022-12-29,1274,290,984
2022-12-30,1121,223,898
2022-12-31,1184,190,994
2023-01-01,1065,148,917
2023-01-02,1099,162,937
2023-01-03,1710,313,1397
2023-01-04,1510,285,1225
2023-01-05,1151,222,929
2023-01-06,1121,211,910
