Time,all,pc,wise
2022-10-01,1640,220,1420
2022-10-02,1764,219,1545
2022-10-03,1608,229,1379
2022-10-04,1524,222,1302
2022-10-05,1635,204,1431
2022-10-06,1561,257,1304
2022-10-07,1780,237,1543
2022-10-08,1865,293,1572
2022-10-09,1410,273,1137
2022-10-10,1804,287,1517
2022-10-11,2248,330,1918
2022-10-12,2097,375,1722
2022-10-13,2021,349,1672
2022-10-14,1827,310,1517
2022-10-15,1853,262,1591
2022-10-16,1829,270,1559
2022-10-17,1653,341,1312
2022-10-18,1618,296,1322
2022-10-19,1521,299,1222
2022-10-20,1538,309,1229
2022-10-21,1552,282,1270
2022-10-22,1690,237,1453
2022-10-23,2904,253,2651
2022-10-24,2137,336,1801
2022-10-25,2213,354,1859
2022-10-26,2599,422,2177
2022-10-27,2478,363,2115
2022-10-28,2193,363,1830
2022-10-29,2095,304,1791
2022-10-30,1847,133,1714
2022-10-31,1898,354,1544
2022-11-01,2158,338,1820
2022-11-02,2002,346,1656
2022-11-03,1907,341,1566
2022-11-04,1996,327,1669
2022-11-05,1972,223,1749
2022-11-06,2144,226,1918
2022-11-07,1871,274,1597
2022-11-08,1729,268,1461
2022-11-09,1635,296,1339
2022-11-10,1507,296,1211
2022-11-11,1611,287,1324
2022-11-12,1865,281,1584
2022-11-13,1795,242,1553
2022-11-14,1761,305,1456
2022-11-15,1640,288,1352
2022-11-16,1607,312,1295
2022-11-17,1679,296,1383
2022-11-18,1726,290,1436
2022-11-19,1716,268,1448
2022-11-20,1716,231,1485
2022-11-21,1476,279,1197
2022-11-22,1239,231,1008
2022-11-23,1362,278,1084
2022-11-24,1338,313,1025
2022-11-25,1402,282,1120
2022-11-26,1382,212,1170
2022-11-27,1438,253,1185
2022-11-28,1307,284,1023
2022-11-29,1256,268,988
2022-11-30,1232,243,989
2022-12-01,1292,247,1045
2022-12-02,1273,262,1011
2022-12-03,1325,228,1097
2022-12-04,1328,229,1099
2022-12-05,1268,273,995
2022-12-06,1458,332,1126
2022-12-07,1270,293,977
2022-12-08,1261,268,993
2022-12-09,1355,257,1098
2022-12-10,1437,195,1242
2022-12-11,1390,209,1181
2022-12-12,1244,223,1021
2022-12-13,1268,259,1009
2022-12-14,1209,242,967
2022-12-15,1245,242,1003
2022-12-16,1396,257,1139
2022-12-17,1528,220,1308
2022-12-18,1386,201,1185
2022-12-19,1176,207,969
2022-12-20,1280,240,1040
2022-12-21,1468,253,1215
2022-12-22,1790,240,1550
2022-12-23,1725,273,1452
2022-12-24,1698,195,1503
2022-12-25,2015,529,1486
2022-12-26,1413,278,1135
2022-12-27,1273,242,1031
2022-12-28,1339,222,1117
2022-12-29,1496,293,1203
2022-12-30,1472,276,1196
2022-12-31,2284,264,2020
2023-01-01,2484,223,2261
2023-01-02,2338,231,2107
2023-01-03,1946,305,1641
2023-01-04,1793,326,1467
2023-01-05,1745,293,1452
2023-01-06,1683,324,1359
2023-01-07,2010,284,1726
2023-01-08,2012,231,1781
2023-01-09,1950,281,1669
2023-01-10,2023,358,1665
2023-01-11,1916,305,1611
2023-01-12,1840,361,1479
2023-01-13,1762,288,1474
2023-01-14,1767,242,1525
2023-01-15,1751,233,1518
2023-01-16,1599,260,1339
2023-01-17,1820,268,1552
2023-01-18,1968,313,1655
2023-01-19,1613,207,1406
2023-01-20,1670,190,1480
2023-01-21,1414,140,1274
2023-01-22,1535,165,1370
2023-01-23,1689,161,1528
2023-01-24,1718,172,1546
2023-01-25,1673,159,1514
2023-01-26,1817,193,1624
2023-01-27,1810,183,1627
2023-01-28,1652,213,1439
2023-01-29,1656,250,1406
2023-01-30,1607,253,1354
2023-01-31,1597,271,1326
2023-02-01,1531,270,1261
2023-02-02,1524,273,1251
2023-02-03,1529,250,1279
2023-02-04,1587,208,1379
2023-02-05,1583,239,1344
2023-02-06,1330,247,1083
2023-02-07,1311,281,1030
2023-02-08,1297,279,1018
2023-02-09,1375,291,1084
2023-02-10,1305,262,1043
2023-02-11,1461,211,1250
2023-02-12,1444,233,1211
2023-02-13,1266,276,990
2023-02-14,1398,265,1133
2023-02-15,1575,279,1296
2023-02-16,1380,284,1096
2023-02-17,1437,276,1161
2023-02-18,1661,245,1416
2023-02-19,1536,236,1300
2023-02-20,1376,265,1111
2023-02-21,1891,344,1547
2023-02-22,1643,321,1322
2023-02-23,1622,350,1272
