Time,all,pc,wise
2022-10-01,5500,532,4968
2022-10-02,4764,487,4277
2022-10-03,4740,533,4207
2022-10-04,4556,605,3951
2022-10-05,4328,603,3725
2022-10-06,4806,568,4238
2022-10-07,4837,701,4136
2022-10-08,4567,774,3793
2022-10-09,4346,799,3547
2022-10-10,4458,810,3648
2022-10-11,5002,855,4147
2022-10-12,5419,866,4553
2022-10-13,6515,876,5639
2022-10-14,7134,907,6227
2022-10-15,6728,844,5884
2022-10-16,5843,653,5190
2022-10-17,5632,860,4772
2022-10-18,5695,889,4806
2022-10-19,5635,882,4753
2022-10-20,5681,894,4787
2022-10-21,7185,897,6288
2022-10-22,7847,859,6988
2022-10-23,6810,808,6002
2022-10-24,6036,892,5144
2022-10-25,6241,883,5358
2022-10-26,6387,904,5483
2022-10-27,6057,876,5181
2022-10-28,5897,872,5025
2022-10-29,5841,779,5062
2022-10-30,4712,211,4501
2022-10-31,5460,869,4591
2022-11-01,5614,872,4742
2022-11-02,5800,867,4933
2022-11-03,5625,872,4753
2022-11-04,5638,844,4794
2022-11-05,5564,698,4866
2022-11-06,5299,699,4600
2022-11-07,5146,856,4290
2022-11-08,5766,864,4902
2022-11-09,5591,878,4713
2022-11-10,4891,868,4023
2022-11-11,4920,844,4076
2022-11-12,5443,763,4680
2022-11-13,5221,679,4542
2022-11-14,5235,851,4384
2022-11-15,5438,860,4578
2022-11-16,5215,810,4405
2022-11-17,5196,854,4342
2022-11-18,5631,825,4806
2022-11-19,6717,822,5895
2022-11-20,7016,712,6304
2022-11-21,5592,857,4735
2022-11-22,5386,850,4536
2022-11-23,4833,841,3992
2022-11-24,4552,785,3767
2022-11-25,4742,766,3976
2022-11-26,5075,682,4393
2022-11-27,5174,658,4516
2022-11-28,4953,785,4168
2022-11-29,4737,848,3889
2022-11-30,4364,771,3593
2022-12-01,4514,766,3748
2022-12-02,4578,720,3858
2022-12-03,5120,659,4461
2022-12-04,4946,560,4386
2022-12-05,4604,679,3925
2022-12-06,5189,843,4346
2022-12-07,4602,786,3816
2022-12-08,4393,707,3686
2022-12-09,4441,687,3754
2022-12-10,4143,158,3985
