Time,all,pc,wise
2022-10-01,2677,326,2351
2022-10-02,2571,295,2276
2022-10-03,2385,267,2118
2022-10-04,2215,312,1903
2022-10-05,2257,330,1927
2022-10-06,2194,288,1906
2022-10-07,2012,304,1708
2022-10-08,1960,344,1616
2022-10-09,1900,319,1581
2022-10-10,1852,324,1528
2022-10-11,1826,340,1486
2022-10-12,1849,371,1478
2022-10-13,3046,430,2616
2022-10-14,2162,361,1801
2022-10-15,2156,316,1840
2022-10-16,2084,271,1813
2022-10-17,2314,431,1883
2022-10-18,2159,372,1787
2022-10-19,2071,333,1738
2022-10-20,3276,470,2806
2022-10-21,2325,408,1917
2022-10-22,2374,284,2090
2022-10-23,2442,296,2146
2022-10-24,2163,343,1820
2022-10-25,2148,361,1787
2022-10-26,2766,374,2392
2022-10-27,2274,380,1894
2022-10-28,2218,335,1883
2022-10-29,2710,301,2409
2022-10-30,2425,139,2286
2022-10-31,2127,355,1772
2022-11-01,1990,326,1664
2022-11-02,2041,349,1692
2022-11-03,2030,326,1704
2022-11-04,2020,324,1696
2022-11-05,2520,265,2255
2022-11-06,2225,256,1969
2022-11-07,2140,380,1760
2022-11-08,2008,343,1665
2022-11-09,2120,343,1777
2022-11-10,2078,335,1743
2022-11-11,2109,329,1780
2022-11-12,2249,299,1950
2022-11-13,2256,256,2000
2022-11-14,2008,285,1723
2022-11-15,2004,327,1677
2022-11-16,2412,361,2051
2022-11-17,2220,380,1840
2022-11-18,2300,323,1977
2022-11-19,2509,284,2225
2022-11-20,2091,220,1871
2022-11-21,1988,343,1645
2022-11-22,2061,383,1678
2022-11-23,1908,313,1595
2022-11-24,1905,338,1567
2022-11-25,2897,504,2393
2022-11-26,2535,279,2256
2022-11-27,2402,288,2114
2022-11-28,2147,302,1845
2022-11-29,2277,295,1982
2022-11-30,2461,391,2070
2022-12-01,2167,336,1831
2022-12-02,2114,367,1747
2022-12-03,2048,271,1777
2022-12-04,2083,260,1823
2022-12-05,1662,268,1394
2022-12-06,1899,304,1595
2022-12-07,1803,327,1476
2022-12-08,1968,319,1649
2022-12-09,2293,321,1972
2022-12-10,1869,225,1644
2022-12-11,1972,219,1753
2022-12-12,1835,257,1578
2022-12-13,1874,259,1615
2022-12-14,1871,301,1570
2022-12-15,1912,245,1667
2022-12-16,1894,270,1624
2022-12-17,1915,220,1695
2022-12-18,1892,222,1670
2022-12-19,1641,250,1391
2022-12-20,1751,243,1508
2022-12-21,2117,298,1819
2022-12-22,2255,298,1957
