Time,all,pc,wise
2022-10-01,4119,428,3691
2022-10-02,4179,442,3737
2022-10-03,4397,433,3964
2022-10-04,4185,422,3763
2022-10-05,4365,430,3935
2022-10-06,4119,476,3643
2022-10-07,3940,451,3489
2022-10-08,3509,499,3010
2022-10-09,3507,509,2998
2022-10-10,3479,526,2953
2022-10-11,3490,645,2845
2022-10-12,3397,574,2823
2022-10-13,3481,555,2926
2022-10-14,3643,600,3043
2022-10-15,4035,501,3534
2022-10-16,4032,513,3519
2022-10-17,3479,611,2868
2022-10-18,3694,571,3123
2022-10-19,3750,608,3142
2022-10-20,3969,628,3341
2022-10-21,4248,620,3628
2022-10-22,4647,468,4179
2022-10-23,4442,462,3980
2022-10-24,3622,557,3065
2022-10-25,3749,586,3163
2022-10-26,3939,558,3381
2022-10-27,4065,637,3428
2022-10-28,4072,644,3428
2022-10-29,4058,481,3577
2022-10-30,3555,177,3378
2022-10-31,3389,504,2885
2022-11-01,5897,720,5177
2022-11-02,15098,1249,13849
2022-11-03,13531,1280,12251
2022-11-04,10074,946,9128
2022-11-05,9257,841,8416
2022-11-06,7663,682,6981
2022-11-07,5827,766,5061
2022-11-08,5881,823,5058
2022-11-09,5834,843,4991
2022-11-10,5012,735,4277
2022-11-11,5169,735,4434
2022-11-12,5624,532,5092
2022-11-13,5117,546,4571
2022-11-14,4170,640,3530
2022-11-15,3939,537,3402
2022-11-16,3985,557,3428
2022-11-17,4055,578,3477
2022-11-18,4414,535,3879
2022-11-19,5000,552,4448
2022-11-20,5530,461,5069
2022-11-21,4397,586,3811
2022-11-22,3836,507,3329
2022-11-23,3495,529,2966
2022-11-24,3939,614,3325
2022-11-25,4026,577,3449
2022-11-26,4244,468,3776
2022-11-27,4420,443,3977
2022-11-28,3799,538,3261
2022-11-29,3725,568,3157
2022-11-30,3605,509,3096
2022-12-01,3545,479,3066
2022-12-02,3882,502,3380
2022-12-03,4382,459,3923
2022-12-04,4154,457,3697
2022-12-05,3563,535,3028
2022-12-06,3950,501,3449
2022-12-07,3368,434,2934
2022-12-08,3343,492,2851
2022-12-09,3534,481,3053
2022-12-10,3582,456,3126
2022-12-11,3587,352,3235
2022-12-12,3247,462,2785
2022-12-13,3237,527,2710
2022-12-14,3272,470,2802
2022-12-15,3262,436,2826
2022-12-16,3542,492,3050
2022-12-17,3571,352,3219
2022-12-18,3905,426,3479
2022-12-19,3450,448,3002
2022-12-20,3485,443,3042
2022-12-21,3783,439,3344
2022-12-22,4036,417,3619
2022-12-23,4654,481,4173
2022-12-24,4590,431,4159
2022-12-25,5197,414,4783
2022-12-26,5869,634,5235
2022-12-27,5802,648,5154
2022-12-28,5219,568,4651
2022-12-29,5295,678,4617
2022-12-30,6049,647,5402
2022-12-31,25633,889,24744
2023-01-01,14235,834,13401
2023-01-02,9437,630,8807
2023-01-03,6628,816,5812
2023-01-04,5545,723,4822
2023-01-05,5459,732,4727
2023-01-06,5049,631,4418
2023-01-07,5210,613,4597
2023-01-08,5022,493,4529
2023-01-09,4560,586,3974
2023-01-10,4389,575,3814
2023-01-11,4263,609,3654
2023-01-12,4982,692,4290
2023-01-13,5668,876,4792
2023-01-14,5251,658,4593
2023-01-15,4767,575,4192
2023-01-16,4178,571,3607
2023-01-17,3980,551,3429
2023-01-18,3895,487,3408
2023-01-19,4142,453,3689
2023-01-20,11171,586,10585
2023-01-21,83132,1050,82082
2023-01-22,29261,863,28398
2023-01-23,11188,564,10624
2023-01-24,8561,475,8086
2023-01-25,7051,423,6628
2023-01-26,6763,420,6343
2023-01-27,5874,402,5472
2023-01-28,5122,546,4576
2023-01-29,4664,519,4145
2023-01-30,4441,595,3846
2023-01-31,4541,578,3963
2023-02-01,3967,527,3440
2023-02-02,4152,623,3529
2023-02-03,4256,636,3620
2023-02-04,4293,459,3834
2023-02-05,25998,806,25192
2023-02-06,7276,789,6487
2023-02-07,6029,757,5272
2023-02-08,5073,814,4259
2023-02-09,4623,685,3938
2023-02-10,4850,755,4095
2023-02-11,4913,557,4356
2023-02-12,4615,547,4068
2023-02-13,4055,659,3396
2023-02-14,3873,689,3184
2023-02-15,3597,616,2981
2023-02-16,3878,650,3228
2023-02-17,20218,1827,18391
2023-02-18,8978,850,8128
2023-02-19,6364,543,5821
2023-02-20,5442,850,4592
2023-02-21,4521,841,3680
2023-02-22,4345,724,3621
2023-02-23,4407,766,3641
2023-02-24,4345,746,3599
2023-02-25,4558,464,4094
2023-02-26,4144,462,3682
2023-02-27,3426,541,2885
2023-02-28,3426,585,2841
2023-03-01,3474,659,2815
2023-03-02,3681,799,2882
2023-03-03,3541,583,2958
2023-03-04,4103,512,3591
2023-03-05,3939,369,3570
2023-03-06,3114,578,2536
2023-03-07,3252,546,2706
2023-03-08,3102,475,2627
2023-03-09,2978,519,2459
2023-03-10,3923,585,3338
2023-03-11,4224,510,3714
2023-03-12,3930,465,3465
2023-03-13,3267,628,2639
2023-03-14,3183,547,2636
2023-03-15,3294,566,2728
2023-03-16,3363,488,2875
2023-03-17,3452,600,2852
2023-03-18,3540,454,3086
2023-03-19,3538,377,3161
2023-03-20,2920,439,2481
2023-03-21,3067,526,2541
2023-03-22,3080,563,2517
2023-03-23,3004,574,2430
2023-03-24,3181,571,2610
2023-03-25,3823,402,3421
2023-03-26,3817,395,3422
2023-03-27,3299,580,2719
2023-03-28,3091,532,2559
2023-03-29,3074,510,2564
2023-03-30,3127,523,2604
2023-03-31,3415,554,2861
2023-04-01,3666,395,3271
2023-04-02,3725,388,3337
2023-04-03,3391,547,2844
2023-04-04,3712,616,3096
2023-04-05,4012,403,3609
2023-04-06,3339,518,2821
2023-04-07,3829,575,3254
2023-04-08,5310,588,4722
2023-04-09,5673,482,5191
2023-04-10,4727,636,4091
2023-04-11,3708,575,3133
2023-04-12,3416,535,2881
2023-04-13,3348,519,2829
2023-04-14,5523,558,4965
2023-04-15,6564,558,6006
2023-04-16,5376,475,4901
2023-04-17,3972,620,3352
2023-04-18,4288,634,3654
2023-04-19,3849,640,3209
2023-04-20,3993,640,3353
2023-04-21,4108,651,3457
2023-04-22,4104,423,3681
