Time,all,pc,wise
2022-10-01,4386,566,3820
2022-10-02,4480,578,3902
2022-10-03,4509,552,3957
2022-10-04,4991,541,4450
2022-10-05,4757,518,4239
2022-10-06,4529,564,3965
2022-10-07,4162,571,3591
2022-10-08,3720,681,3039
2022-10-09,4187,830,3357
2022-10-10,3672,761,2911
2022-10-11,3554,656,2898
2022-10-12,7271,968,6303
2022-10-13,6302,916,5386
2022-10-14,6072,872,5200
2022-10-15,5950,782,5168
2022-10-16,5544,720,4824
2022-10-17,4808,788,4020
2022-10-18,4851,823,4028
2022-10-19,4963,852,4111
2022-10-20,5091,849,4242
2022-10-21,4995,800,4195
2022-10-22,5644,752,4892
2022-10-23,5315,647,4668
2022-10-24,4631,774,3857
2022-10-25,4874,842,4032
2022-10-26,4895,849,4046
2022-10-27,4868,843,4025
2022-10-28,5335,853,4482
2022-10-29,5508,727,4781
2022-10-30,4605,201,4404
2022-10-31,4455,726,3729
2022-11-01,4345,802,3543
2022-11-02,4645,794,3851
2022-11-03,4618,814,3804
2022-11-04,4826,808,4018
2022-11-05,5128,597,4531
2022-11-06,5054,540,4514
2022-11-07,4898,786,4112
2022-11-08,5004,860,4144
2022-11-09,4959,848,4111
2022-11-10,4879,830,4049
2022-11-11,4930,854,4076
2022-11-12,5194,699,4495
2022-11-13,5348,667,4681
2022-11-14,4961,830,4131
2022-11-15,4850,827,4023
2022-11-16,4851,810,4041
2022-11-17,5442,866,4576
2022-11-18,5851,935,4916
2022-11-19,6093,755,5338
2022-11-20,6134,752,5382
2022-11-21,5521,870,4651
2022-11-22,5611,879,4732
2022-11-23,5741,892,4849
2022-11-24,5455,862,4593
2022-11-25,10644,1523,9121
2022-11-26,7939,845,7094
2022-11-27,7538,814,6724
2022-11-28,5434,861,4573
2022-11-29,4681,850,3831
2022-11-30,4463,769,3694
2022-12-01,4458,810,3648
2022-12-02,4436,777,3659
2022-12-03,4708,678,4030
2022-12-04,4894,645,4249
2022-12-05,4446,777,3669
2022-12-06,5455,948,4507
2022-12-07,9330,1310,8020
2022-12-08,5893,918,4975
2022-12-09,4808,862,3946
2022-12-10,4425,633,3792
2022-12-11,4433,582,3851
2022-12-12,5056,896,4160
2022-12-13,4323,841,3482
2022-12-14,3965,772,3193
2022-12-15,3844,709,3135
2022-12-16,3967,650,3317
2022-12-17,4223,617,3606
2022-12-18,3731,516,3215
2022-12-19,3287,572,2715
2022-12-20,3422,560,2862
2022-12-21,3703,568,3135
2022-12-22,3860,668,3192
2022-12-23,3639,583,3056
2022-12-24,3874,552,3322
2022-12-25,4088,564,3524
2022-12-26,4415,703,3712
2022-12-27,4019,738,3281
2022-12-28,4065,765,3300
2022-12-29,4116,775,3341
2022-12-30,3948,761,3187
2022-12-31,4853,673,4180
2023-01-01,4356,552,3804
2023-01-02,4356,580,3776
2023-01-03,3875,782,3093
2023-01-04,3923,841,3082
2023-01-05,3968,816,3152
2023-01-06,4112,841,3271
2023-01-07,4516,737,3779
2023-01-08,4339,636,3703
2023-01-09,4325,840,3485
2023-01-10,4151,831,3320
2023-01-11,4145,755,3390
2023-01-12,4269,843,3426
2023-01-13,4585,792,3793
2023-01-14,4435,586,3849
2023-01-15,4200,569,3631
2023-01-16,3814,636,3178
2023-01-17,3726,633,3093
2023-01-18,3790,597,3193
2023-01-19,3591,537,3054
2023-01-20,3415,420,2995
2023-01-21,3803,358,3445
2023-01-22,3892,375,3517
2023-01-23,4033,412,3621
2023-01-24,5105,591,4514
2023-01-25,4242,492,3750
2023-01-26,4100,395,3705
2023-01-27,4043,450,3593
2023-01-28,4473,707,3766
2023-01-29,18032,4712,13320
2023-01-30,11802,1385,10417
2023-01-31,10451,1244,9207
2023-02-01,6837,957,5880
2023-02-02,5904,910,4994
2023-02-03,5315,881,4434
2023-02-04,5526,845,4681
2023-02-05,5297,653,4644
2023-02-06,4642,898,3744
2023-02-07,6418,1106,5312
2023-02-08,5773,968,4805
2023-02-09,4875,897,3978
2023-02-10,5150,913,4237
2023-02-11,5266,712,4554
2023-02-12,5093,699,4394
2023-02-13,5285,883,4402
2023-02-14,9464,1342,8122
2023-02-15,10728,3171,7557
2023-02-16,6641,998,5643
2023-02-17,6080,919,5161
2023-02-18,6025,822,5203
2023-02-19,5421,681,4740
2023-02-20,4614,854,3760
2023-02-21,5237,891,4346
2023-02-22,5373,883,4490
2023-02-23,5345,907,4438
2023-02-24,5415,892,4523
2023-02-25,5683,823,4860
2023-02-26,5146,724,4422
2023-02-27,4698,861,3837
2023-02-28,4530,865,3665
2023-03-01,4307,803,3504
2023-03-02,4220,854,3366
2023-03-03,4499,861,3638
2023-03-04,4801,675,4126
2023-03-05,5186,703,4483
2023-03-06,4385,806,3579
2023-03-07,4253,848,3405
2023-03-08,3997,792,3205
2023-03-09,4038,766,3272
2023-03-10,4103,831,3272
2023-03-11,4581,634,3947
2023-03-12,4297,546,3751
2023-03-13,3761,747,3014
2023-03-14,4354,848,3506
2023-03-15,4059,766,3293
2023-03-16,3975,842,3133
2023-03-17,4209,811,3398
2023-03-18,4371,600,3771
2023-03-19,4314,569,3745
2023-03-20,3846,749,3097
2023-03-21,3651,709,2942
2023-03-22,3715,782,2933
2023-03-23,3842,771,3071
2023-03-24,4033,851,3182
2023-03-25,4145,637,3508
2023-03-26,3992,554,3438
2023-03-27,3853,848,3005
2023-03-28,3911,858,3053
2023-03-29,3732,834,2898
2023-03-30,3724,846,2878
2023-03-31,3900,805,3095
2023-04-01,3968,602,3366
2023-04-02,4082,606,3476
2023-04-03,4278,873,3405
2023-04-04,4493,881,3612
2023-04-05,4478,630,3848
2023-04-06,3992,805,3187
2023-04-07,4099,785,3314
2023-04-08,4226,634,3592
2023-04-09,4500,656,3844
2023-04-10,4334,853,3481
2023-04-11,3869,783,3086
2023-04-12,3912,802,3110
2023-04-13,4059,863,3196
2023-04-14,4371,813,3558
2023-04-15,4283,608,3675
2023-04-16,4403,563,3840
2023-04-17,3861,802,3059
2023-04-18,3854,833,3021
2023-04-19,3905,769,3136
2023-04-20,3936,817,3119
