Time,all,pc,wise
2022-10-01,5865,482,5383
2022-10-02,5555,442,5113
2022-10-03,5493,451,5042
2022-10-04,5335,524,4811
2022-10-05,5724,564,5160
2022-10-06,7100,681,6419
2022-10-07,5090,552,4538
2022-10-08,4771,741,4030
2022-10-09,4737,735,4002
2022-10-10,4683,845,3838
2022-10-11,4445,763,3682
2022-10-12,4635,820,3815
2022-10-13,4467,732,3735
2022-10-14,4596,743,3853
2022-10-15,5123,547,4576
2022-10-16,4848,547,4301
2022-10-17,4575,819,3756
2022-10-18,4667,847,3820
2022-10-19,5113,862,4251
2022-10-20,5181,848,4333
2022-10-21,4988,752,4236
2022-10-22,4929,552,4377
2022-10-23,4817,488,4329
2022-10-24,4757,780,3977
2022-10-25,4628,769,3859
2022-10-26,6587,951,5636
2022-10-27,9566,1293,8273
2022-10-28,6396,907,5489
2022-10-29,5562,651,4911
2022-10-30,5651,264,5387
2022-10-31,4812,861,3951
2022-11-01,4386,775,3611
2022-11-02,4609,823,3786
2022-11-03,4784,855,3929
2022-11-04,5753,895,4858
2022-11-05,5531,744,4787
2022-11-06,13403,1561,11842
2022-11-07,6304,934,5370
2022-11-08,6430,888,5542
2022-11-09,6081,876,5205
2022-11-10,5545,861,4684
2022-11-11,5963,858,5105
2022-11-12,5631,630,5001
2022-11-13,5749,580,5169
2022-11-14,5300,846,4454
2022-11-15,5074,755,4319
2022-11-16,4670,727,3943
2022-11-17,4917,772,4145
2022-11-18,5222,744,4478
2022-11-19,5394,488,4906
2022-11-20,5834,568,5266
2022-11-21,5118,819,4299
2022-11-22,5193,765,4428
2022-11-23,4442,716,3726
2022-11-24,4630,668,3962
2022-11-25,5777,885,4892
2022-11-26,10578,823,9755
2022-11-27,9599,568,9031
2022-11-28,9555,896,8659
2022-11-29,8078,856,7222
2022-11-30,8608,857,7751
2022-12-01,7582,864,6718
2022-12-02,6114,765,5349
2022-12-03,5922,592,5330
2022-12-04,5621,560,5061
2022-12-05,5170,620,4550
2022-12-06,5522,709,4813
2022-12-07,4886,715,4171
2022-12-08,5667,772,4895
2022-12-09,5917,786,5131
2022-12-10,5509,566,4943
2022-12-11,4645,461,4184
2022-12-12,4769,661,4108
2022-12-13,5110,808,4302
2022-12-14,5464,713,4751
2022-12-15,6327,614,5713
2022-12-16,5077,606,4471
2022-12-17,5375,439,4936
2022-12-18,5716,451,5265
2022-12-19,5440,572,4868
2022-12-20,5796,636,5160
2022-12-21,5996,665,5331
2022-12-22,5836,647,5189
2022-12-23,6710,662,6048
2022-12-24,7535,551,6984
2022-12-25,7562,523,7039
2022-12-26,7131,689,6442
2022-12-27,7903,842,7061
2022-12-28,6735,692,6043
2022-12-29,6324,743,5581
2022-12-30,6269,732,5537
2022-12-31,15637,1371,14266
2023-01-01,9066,874,8192
2023-01-02,7544,743,6801
2023-01-03,7314,873,6441
2023-01-04,6367,859,5508
2023-01-05,6216,847,5369
2023-01-06,6187,775,5412
2023-01-07,5877,554,5323
