Time,all,pc,wise
2022-10-01,6414,654,5760
2022-10-02,6643,704,5939
2022-10-03,6282,769,5513
2022-10-04,5870,758,5112
2022-10-05,5665,730,4935
2022-10-06,5692,715,4977
2022-10-07,5045,693,4352
2022-10-08,4712,842,3870
2022-10-09,5149,852,4297
2022-10-10,4834,858,3976
2022-10-11,4744,866,3878
2022-10-12,4654,872,3782
2022-10-13,5087,878,4209
2022-10-14,5506,908,4598
2022-10-15,6054,823,5231
2022-10-16,5714,706,5008
2022-10-17,5164,875,4289
2022-10-18,5005,898,4107
2022-10-19,4964,892,4072
2022-10-20,5136,876,4260
2022-10-21,5438,885,4553
2022-10-22,5911,822,5089
2022-10-23,5497,690,4807
2022-10-24,4886,863,4023
2022-10-25,5048,884,4164
2022-10-26,6355,966,5389
2022-10-27,7784,999,6785
2022-10-28,6714,950,5764
2022-10-29,6705,870,5835
2022-10-30,5841,273,5568
2022-10-31,5385,882,4503
2022-11-01,5119,875,4244
2022-11-02,233141,13276,219865
2022-11-03,180048,11464,168584
2022-11-04,88030,6338,81692
2022-11-05,57435,2755,54680
2022-11-06,36438,1684,34754
2022-11-07,22009,1995,20014
2022-11-08,20309,1771,18538
2022-11-09,15917,1522,14395
2022-11-10,13264,1308,11956
2022-11-11,14064,1313,12751
2022-11-12,15888,981,14907
2022-11-13,12763,927,11836
2022-11-14,10353,996,9357
2022-11-15,9437,998,8439
2022-11-16,9490,957,8533
2022-11-17,8799,942,7857
2022-11-18,8491,1017,7474
2022-11-19,10043,903,9140
2022-11-20,9892,859,9033
2022-11-21,7291,909,6382
2022-11-22,6909,896,6013
2022-11-23,6142,907,5235
2022-11-24,6139,870,5269
2022-11-25,6832,890,5942
2022-11-26,7064,841,6223
2022-11-27,6872,846,6026
2022-11-28,6034,870,5164
2022-11-29,5729,892,4837
2022-11-30,5620,864,4756
2022-12-01,5470,881,4589
2022-12-02,6240,889,5351
2022-12-03,5945,805,5140
2022-12-04,5946,768,5178
2022-12-05,5336,841,4495
2022-12-06,5990,872,5118
2022-12-07,5116,852,4264
2022-12-08,5655,857,4798
2022-12-09,5504,856,4648
2022-12-10,6060,685,5375
2022-12-11,5822,676,5146
2022-12-12,4743,849,3894
2022-12-13,5510,861,4649
2022-12-14,4528,794,3734
2022-12-15,4924,836,4088
2022-12-16,5286,814,4472
2022-12-17,5935,617,5318
2022-12-18,6259,616,5643
2022-12-19,5709,760,4949
2022-12-20,5783,681,5102
2022-12-21,5753,709,5044
2022-12-22,5495,774,4721
2022-12-23,6341,810,5531
2022-12-24,6916,651,6265
2022-12-25,8963,675,8288
2022-12-26,10172,884,9288
2022-12-27,10177,899,9278
2022-12-28,8596,911,7685
2022-12-29,8646,914,7732
2022-12-30,8704,907,7797
2022-12-31,28226,1099,27127
2023-01-01,43897,1560,42337
2023-01-02,37014,1311,35703
2023-01-03,20076,1421,18655
2023-01-04,13720,1090,12630
2023-01-05,12334,1000,11334
2023-01-06,11087,965,10122
2023-01-07,11464,883,10581
2023-01-08,13306,882,12424
2023-01-09,10717,969,9748
2023-01-10,9473,958,8515
2023-01-11,9169,918,8251
2023-01-12,42105,2404,39701
2023-01-13,14609,1036,13573
2023-01-14,13121,878,12243
2023-01-15,11822,873,10949
2023-01-16,9562,888,8674
2023-01-17,8714,873,7841
2023-01-18,8910,862,8048
2023-01-19,9032,823,8209
2023-01-20,14010,944,13066
2023-01-21,26816,942,25874
2023-01-22,224613,3911,220702
2023-01-23,37781,1315,36466
2023-01-24,29066,932,28134
2023-01-25,22290,893,21397
2023-01-26,20885,871,20014
2023-01-27,16376,883,15493
2023-01-28,15337,975,14362
2023-01-29,11690,968,10722
2023-01-30,10653,978,9675
2023-01-31,11897,1240,10657
2023-02-01,9436,957,8479
2023-02-02,8719,921,7798
2023-02-03,9266,931,8335
2023-02-04,9348,866,8482
2023-02-05,9670,751,8919
2023-02-06,7049,892,6157
2023-02-07,7053,898,6155
2023-02-08,6299,916,5383
2023-02-09,7029,912,6117
2023-02-10,7836,918,6918
2023-02-11,8739,858,7881
2023-02-12,8014,833,7181
2023-02-13,6986,873,6113
2023-02-14,6761,894,5867
2023-02-15,6226,903,5323
2023-02-16,6033,899,5134
2023-02-17,7873,978,6895
2023-02-18,7179,865,6314
2023-02-19,6590,746,5844
2023-02-20,5821,888,4933
2023-02-21,5404,910,4494
2023-02-22,5739,920,4819
2023-02-23,5818,905,4913
2023-02-24,6116,908,5208
2023-02-25,6725,792,5933
2023-02-26,6260,715,5545
2023-02-27,5327,905,4422
2023-02-28,5140,905,4235
2023-03-01,5200,870,4330
2023-03-02,10851,3733,7118
2023-03-03,6417,908,5509
2023-03-04,6578,811,5767
2023-03-05,6196,716,5480
2023-03-06,5179,874,4305
2023-03-07,4955,879,4076
2023-03-08,4966,868,4098
2023-03-09,4787,876,3911
2023-03-10,4999,875,4124
2023-03-11,5622,727,4895
2023-03-12,5425,682,4743
2023-03-13,4522,853,3669
2023-03-14,4746,883,3863
2023-03-15,4659,860,3799
2023-03-16,4914,882,4032
2023-03-17,5250,888,4362
2023-03-18,5832,788,5044
2023-03-19,5727,746,4981
2023-03-20,4801,875,3926
2023-03-21,4925,876,4049
2023-03-22,4835,874,3961
2023-03-23,5218,902,4316
2023-03-24,5392,895,4497
2023-03-25,5685,757,4928
2023-03-26,5378,651,4727
2023-03-27,4567,892,3675
2023-03-28,4502,862,3640
2023-03-29,4696,869,3827
2023-03-30,4888,885,4003
2023-03-31,5022,881,4141
2023-04-01,5457,684,4773
2023-04-02,5739,653,5086
2023-04-03,5481,890,4591
2023-04-04,5807,894,4913
2023-04-05,6860,811,6049
2023-04-06,6555,900,5655
2023-04-07,7383,910,6473
2023-04-08,7380,862,6518
2023-04-09,7950,823,7127
2023-04-10,7727,945,6782
2023-04-11,6320,915,5405
2023-04-12,6237,931,5306
2023-04-13,5806,900,4906
2023-04-14,5928,895,5033
2023-04-15,7013,850,6163
2023-04-16,7540,761,6779
2023-04-17,5935,898,5037
2023-04-18,6534,908,5626
2023-04-19,5656,887,4769
2023-04-20,5967,904,5063
2023-04-21,5924,900,5024
2023-04-22,6285,849,5436
