Time,all,pc,wise
2022-10-01,1868,242,1626
2022-10-02,1911,291,1620
2022-10-03,1874,293,1581
2022-10-04,1875,371,1504
2022-10-05,1756,307,1449
2022-10-06,1848,332,1516
2022-10-07,1820,375,1445
2022-10-08,1775,428,1347
2022-10-09,1739,406,1333
2022-10-10,1677,403,1274
2022-10-11,1680,439,1241
2022-10-12,1765,411,1354
2022-10-13,2045,462,1583
2022-10-14,2079,447,1632
2022-10-15,2100,343,1757
2022-10-16,2010,335,1675
2022-10-17,2047,425,1622
2022-10-18,2024,412,1612
2022-10-19,1860,394,1466
2022-10-20,1879,457,1422
2022-10-21,1895,392,1503
2022-10-22,2011,354,1657
2022-10-23,2415,307,2108
2022-10-24,2206,403,1803
2022-10-25,2092,456,1636
2022-10-26,1844,408,1436
2022-10-27,1902,385,1517
2022-10-28,5559,744,4815
2022-10-29,5747,571,5176
2022-10-30,3705,188,3517
2022-10-31,3190,543,2647
2022-11-01,3214,588,2626
2022-11-02,3156,495,2661
2022-11-03,2921,543,2378
2022-11-04,3100,478,2622
2022-11-05,2925,377,2548
2022-11-06,2663,375,2288
2022-11-07,2319,437,1882
2022-11-08,2125,403,1722
2022-11-09,2130,428,1702
2022-11-10,2010,412,1598
2022-11-11,2029,391,1638
2022-11-12,2242,333,1909
2022-11-13,2752,295,2457
2022-11-14,2405,485,1920
2022-11-15,2195,454,1741
2022-11-16,2152,428,1724
2022-11-17,2289,523,1766
2022-11-18,2979,537,2442
2022-11-19,2961,397,2564
2022-11-20,2309,324,1985
2022-11-21,1968,372,1596
2022-11-22,1927,397,1530
2022-11-23,1778,347,1431
2022-11-24,1632,312,1320
2022-11-25,1734,327,1407
2022-11-26,1751,274,1477
2022-11-27,1957,315,1642
2022-11-28,1668,358,1310
2022-11-29,1654,367,1287
2022-11-30,1566,352,1214
2022-12-01,1648,350,1298
2022-12-02,2068,378,1690
2022-12-03,2186,347,1839
2022-12-04,1802,271,1531
2022-12-05,1697,378,1319
2022-12-06,1977,417,1560
2022-12-07,1727,363,1364
2022-12-08,1891,397,1494
2022-12-09,1761,318,1443
2022-12-10,1607,260,1347
2022-12-11,1668,254,1414
2022-12-12,1643,349,1294
2022-12-13,1597,332,1265
2022-12-14,1606,367,1239
2022-12-15,1485,313,1172
2022-12-16,1558,318,1240
2022-12-17,1813,279,1534
2022-12-18,1881,257,1624
2022-12-19,1621,327,1294
2022-12-20,1699,268,1431
2022-12-21,1809,367,1442
2022-12-22,1818,324,1494
2022-12-23,1832,336,1496
2022-12-24,1806,251,1555
2022-12-25,1824,310,1514
2022-12-26,1770,344,1426
2022-12-27,1761,375,1386
2022-12-28,1843,363,1480
2022-12-29,2107,450,1657
2022-12-30,2058,457,1601
2022-12-31,2437,324,2113
2023-01-01,2175,305,1870
2023-01-02,2055,295,1760
2023-01-03,1980,448,1532
2023-01-04,2280,566,1714
2023-01-05,2343,600,1743
2023-01-06,2151,450,1701
2023-01-07,2254,361,1893
2023-01-08,2315,324,1991
2023-01-09,2390,487,1903
2023-01-10,2260,457,1803
2023-01-11,2256,451,1805
2023-01-12,2494,540,1954
2023-01-13,2666,488,2178
2023-01-14,2686,397,2289
2023-01-15,2505,349,2156
2023-01-16,2373,423,1950
2023-01-17,2708,443,2265
2023-01-18,2706,443,2263
2023-01-19,2577,343,2234
2023-01-20,2554,240,2314
2023-01-21,1966,170,1796
2023-01-22,1913,193,1720
2023-01-23,2080,183,1897
2023-01-24,2221,194,2027
2023-01-25,2319,251,2068
2023-01-26,2372,245,2127
2023-01-27,2697,288,2409
2023-01-28,2899,478,2421
2023-01-29,3172,537,2635
2023-01-30,2858,554,2304
2023-01-31,2826,575,2251
2023-02-01,2814,555,2259
2023-02-02,3210,640,2570
2023-02-03,3587,681,2906
2023-02-04,3833,470,3363
2023-02-05,3158,369,2789
2023-02-06,3211,699,2512
2023-02-07,3404,690,2714
2023-02-08,3492,729,2763
2023-02-09,3483,730,2753
2023-02-10,4567,856,3711
2023-02-11,6247,777,5470
2023-02-12,4743,647,4096
2023-02-13,3839,860,2979
2023-02-14,3358,842,2516
2023-02-15,3492,788,2704
2023-02-16,3304,783,2521
2023-02-17,3491,810,2681
2023-02-18,3481,546,2935
2023-02-19,3274,465,2809
2023-02-20,3343,814,2529
2023-02-21,3383,796,2587
2023-02-22,3337,761,2576
2023-02-23,3536,789,2747
2023-02-24,3701,786,2915
2023-02-25,3583,546,3037
2023-02-26,3525,479,3046
2023-02-27,3451,768,2683
2023-02-28,3309,749,2560
2023-03-01,3000,602,2398
2023-03-02,3104,737,2367
2023-03-03,3017,682,2335
2023-03-04,3044,417,2627
2023-03-05,2986,416,2570
2023-03-06,3007,667,2340
2023-03-07,2968,662,2306
2023-03-08,3253,706,2547
2023-03-09,3278,730,2548
2023-03-10,3682,747,2935
2023-03-11,3919,552,3367
2023-03-12,3807,527,3280
2023-03-13,3725,792,2933
2023-03-14,4165,876,3289
2023-03-15,3897,836,3061
2023-03-16,3890,846,3044
2023-03-17,4429,848,3581
2023-03-18,5100,530,4570
2023-03-19,5774,552,5222
2023-03-20,4721,862,3859
2023-03-21,4020,825,3195
2023-03-22,3887,791,3096
2023-03-23,3865,734,3131
2023-03-24,4140,820,3320
2023-03-25,4627,651,3976
2023-03-26,4993,541,4452
2023-03-27,4211,774,3437
2023-03-28,3782,842,2940
2023-03-29,3576,819,2757
2023-03-30,3321,726,2595
2023-03-31,3352,701,2651
2023-04-01,3818,580,3238
2023-04-02,4140,501,3639
2023-04-03,3690,766,2924
2023-04-04,3398,710,2688
2023-04-05,3298,450,2848
