Time,all,pc,wise
2022-10-01,963,120,843
2022-10-02,981,137,844
2022-10-03,986,140,846
2022-10-04,957,131,826
2022-10-05,969,127,842
2022-10-06,922,121,801
2022-10-07,917,152,765
2022-10-08,892,161,731
2022-10-09,1001,183,818
2022-10-10,814,186,628
2022-10-11,804,179,625
2022-10-12,867,193,674
2022-10-13,1065,225,840
2022-10-14,954,179,775
2022-10-15,985,148,837
2022-10-16,958,158,800
2022-10-17,1022,219,803
2022-10-18,970,223,747
2022-10-19,843,183,660
2022-10-20,894,182,712
2022-10-21,907,202,705
2022-10-22,922,133,789
2022-10-23,924,151,773
2022-10-24,800,170,630
2022-10-25,966,193,773
2022-10-26,975,186,789
2022-10-27,862,168,694
2022-10-28,999,188,811
2022-10-29,1034,137,897
2022-10-30,985,83,902
2022-10-31,1077,195,882
2022-11-01,1052,191,861
2022-11-02,1046,198,848
2022-11-03,1093,213,880
2022-11-04,1109,220,889
2022-11-05,1126,186,940
2022-11-06,2203,198,2005
2022-11-07,1161,211,950
2022-11-08,1145,225,920
2022-11-09,1251,324,927
2022-11-10,1161,243,918
2022-11-11,1061,187,874
2022-11-12,1025,140,885
2022-11-13,1026,158,868
2022-11-14,1093,223,870
2022-11-15,1052,208,844
2022-11-16,1043,193,850
2022-11-17,1069,190,879
2022-11-18,1047,177,870
2022-11-19,1166,172,994
2022-11-20,1119,169,950
2022-11-21,1036,186,850
2022-11-22,926,176,750
2022-11-23,950,177,773
2022-11-24,946,187,759
2022-11-25,1015,197,818
2022-11-26,1090,169,921
2022-11-27,1133,177,956
2022-11-28,1131,234,897
2022-11-29,1071,191,880
2022-11-30,1041,188,853
2022-12-01,1053,197,856
2022-12-02,1029,184,845
2022-12-03,1007,148,859
2022-12-04,1022,155,867
2022-12-05,954,186,768
2022-12-06,1026,183,843
2022-12-07,943,173,770
2022-12-08,939,170,769
2022-12-09,978,169,809
2022-12-10,920,162,758
2022-12-11,953,135,818
2022-12-12,825,169,656
2022-12-13,856,172,684
2022-12-14,921,204,717
2022-12-15,893,197,696
2022-12-16,909,162,747
2022-12-17,881,148,733
2022-12-18,767,125,642
2022-12-19,726,165,561
2022-12-20,802,161,641
2022-12-21,887,161,726
2022-12-22,865,150,715
2022-12-23,948,161,787
2022-12-24,975,152,823
2022-12-25,970,169,801
2022-12-26,849,155,694
2022-12-27,782,162,620
2022-12-28,871,169,702
2022-12-29,1089,220,869
2022-12-30,994,183,811
2022-12-31,1047,184,863
2023-01-01,961,133,828
2023-01-02,922,133,789
2023-01-03,938,168,770
2023-01-04,888,172,716
2023-01-05,901,177,724
2023-01-06,878,190,688
2023-01-07,999,154,845
2023-01-08,935,135,800
2023-01-09,912,190,722
2023-01-10,999,176,823
2023-01-11,892,201,691
2023-01-12,993,190,803
2023-01-13,945,198,747
2023-01-14,988,159,829
2023-01-15,962,146,816
2023-01-16,927,154,773
2023-01-17,900,173,727
2023-01-18,821,133,688
2023-01-19,911,125,786
2023-01-20,900,139,761
2023-01-21,620,91,529
2023-01-22,717,78,639
2023-01-23,794,116,678
2023-01-24,788,125,663
2023-01-25,817,104,713
2023-01-26,772,110,662
2023-01-27,783,123,660
2023-01-28,809,140,669
2023-01-29,924,173,751
2023-01-30,897,163,734
2023-01-31,834,172,662
2023-02-01,841,168,673
2023-02-02,920,166,754
2023-02-03,987,186,801
2023-02-04,908,106,802
2023-02-05,884,121,763
2023-02-06,802,182,620
2023-02-07,821,194,627
2023-02-08,833,177,656
2023-02-09,958,204,754
2023-02-10,1023,201,822
2023-02-11,996,146,850
2023-02-12,950,118,832
2023-02-13,924,194,730
2023-02-14,1021,172,849
2023-02-15,940,191,749
2023-02-16,955,172,783
2023-02-17,1003,180,823
2023-02-18,987,151,836
2023-02-19,995,150,845
2023-02-20,965,188,777
2023-02-21,987,222,765
2023-02-22,1053,209,844
2023-02-23,1000,195,805
2023-02-24,975,186,789
2023-02-25,986,142,844
2023-02-26,945,131,814
2023-02-27,1025,184,841
2023-02-28,1023,204,819
2023-03-01,937,183,754
2023-03-02,906,175,731
2023-03-03,1017,175,842
2023-03-04,1017,165,852
2023-03-05,995,144,851
2023-03-06,1047,191,856
2023-03-07,1080,223,857
2023-03-08,953,177,776
2023-03-09,1082,204,878
2023-03-10,1092,231,861
2023-03-11,1014,144,870
2023-03-12,1030,158,872
2023-03-13,945,180,765
2023-03-14,1031,186,845
2023-03-15,1043,195,848
2023-03-16,1027,182,845
2023-03-17,1063,204,859
2023-03-18,1030,157,873
2023-03-19,1016,150,866
2023-03-20,1068,220,848
2023-03-21,1069,216,853
2023-03-22,1122,256,866
2023-03-23,1102,228,874
2023-03-24,1283,295,988
2023-03-25,1583,197,1386
2023-03-26,1327,163,1164
2023-03-27,1164,253,911
2023-03-28,1167,264,903
2023-03-29,1239,304,935
2023-03-30,1143,251,892
2023-03-31,1102,220,882
2023-04-01,1013,146,867
2023-04-02,1045,150,895
2023-04-03,1049,193,856
2023-04-04,1071,204,867
2023-04-05,1061,168,893
2023-04-06,1118,243,875
2023-04-07,1211,276,935
2023-04-08,1548,166,1382
2023-04-09,1570,170,1400
2023-04-10,1277,296,981
2023-04-11,1123,218,905
2023-04-12,1111,223,888
2023-04-13,1243,287,956
2023-04-14,1372,336,1036
2023-04-15,1943,239,1704
2023-04-16,2032,211,1821
2023-04-17,1239,279,960
2023-04-18,1263,271,992
2023-04-19,1276,323,953
2023-04-20,1179,248,931
2023-04-21,1579,301,1278
2023-04-22,1283,184,1099
