index,capper
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,27000
2023-02-10,205743
2023-02-11,62157
2023-02-12,34842
2023-02-13,211392
2023-02-14,817069
2023-02-15,344526
2023-02-16,29976
2023-02-17,41849
2023-02-18,40389
2023-02-19,22642
2023-02-20,46554
2023-02-21,13529
2023-02-22,11715
2023-02-23,7133
2023-02-24,11222
2023-02-25,31306
2023-02-26,29969
2023-02-27,73980
2023-02-28,39071
2023-03-01,180198
2023-03-02,34228
2023-03-03,21551
2023-03-04,57779
2023-03-05,87048
2023-03-06,37585
2023-03-07,17758
2023-03-08,12675
2023-03-09,15239
2023-03-10,25927
2023-03-11,65535
2023-03-12,48974
2023-03-13,41656
2023-03-14,26220
2023-03-15,132221
2023-03-16,35695
2023-03-17,27211
2023-03-18,39052
2023-03-19,57378
2023-03-20,49080
2023-03-21,30088
2023-03-22,19878
2023-03-23,30297
2023-03-24,25705
2023-03-25,45591
2023-03-26,38537
2023-03-27,21397
2023-03-28,28137
2023-03-29,57338
2023-03-30,50439
2023-03-31,30812
2023-04-01,67618
2023-04-02,68456
2023-04-03,50308
2023-04-04,20733
2023-04-05,17131
2023-04-06,18086
2023-04-07,31625
2023-04-08,41756
2023-04-09,39936
2023-04-10,46757
2023-04-11,23307
2023-04-12,14622
2023-04-13,23433
2023-04-14,21289
2023-04-15,24007
2023-04-16,40576
2023-04-17,206874
2023-04-18,29055
2023-04-19,17161
2023-04-20,16484
2023-04-21,71801
2023-04-22,43977
2023-04-23,67333
2023-04-24,33585
