index,gai
2023-01-24,219842
2023-01-25,125258
2023-01-26,111204
2023-01-27,144599
2023-01-28,65283
2023-01-29,286139
2023-01-30,69532
2023-01-31,77516
2023-02-01,83007
2023-02-02,83599
2023-02-03,94395
2023-02-04,116248
2023-02-05,101179
2023-02-06,97482
2023-02-07,79701
2023-02-08,84330
2023-02-09,76810
2023-02-10,146176
2023-02-11,81719
2023-02-12,106478
2023-02-13,81431
2023-02-14,120038
2023-02-15,75954
2023-02-16,107108
2023-02-17,85598
2023-02-18,83550
2023-02-19,96436
2023-02-20,128512
2023-02-21,69870
2023-02-22,90695
2023-02-23,94628
2023-02-24,70479
2023-02-25,122430
2023-02-26,162157
2023-02-27,87680
2023-02-28,93312
2023-03-01,55666
2023-03-02,95944
2023-03-03,112205
2023-03-04,99263
2023-03-05,102707
2023-03-06,108318
2023-03-07,1158011
2023-03-08,334937
2023-03-09,85403
2023-03-10,140659
2023-03-11,88665
2023-03-12,167072
2023-03-13,80187
2023-03-14,216062
2023-03-15,293259
2023-03-16,91958
2023-03-17,235960
2023-03-18,104339
2023-03-19,225739
2023-03-20,209123
2023-03-21,266680
2023-03-22,569107
2023-03-23,141300
2023-03-24,133824
2023-03-25,352218
2023-03-26,137224
2023-03-27,158165
2023-03-28,151720
2023-03-29,207227
2023-03-30,157231
2023-03-31,454289
2023-04-01,102420
2023-04-02,115289
2023-04-03,127517
2023-04-04,78770
2023-04-05,117818
2023-04-06,187771
2023-04-07,99563
2023-04-08,90936
2023-04-09,83781
2023-04-10,144414
2023-04-11,80730
2023-04-12,106775
2023-04-13,98497
2023-04-14,177648
2023-04-15,134110
2023-04-16,91020
2023-04-17,170198
2023-04-18,128536
2023-04-19,123639
2023-04-20,65883
2023-04-21,169599
2023-04-22,196842
2023-04-23,97660
2023-04-24,430698
