index,任贤齐
2023-01-24,132566
2023-01-25,7895
2023-01-26,1038
2023-01-27,12922
2023-01-28,130402
2023-01-29,13370
2023-01-30,9086
2023-01-31,4793
2023-02-01,4585
2023-02-02,3406
2023-02-03,269835
2023-02-04,165243
2023-02-05,72566
2023-02-06,6106
2023-02-07,8190
2023-02-08,7684
2023-02-09,7774
2023-02-10,12718
2023-02-11,14942
2023-02-12,127949
2023-02-13,33167
2023-02-14,37448
2023-02-15,5269
2023-02-16,22829
2023-02-17,111730
2023-02-18,18974
2023-02-19,2158
2023-02-20,7351
2023-02-21,3123
2023-02-22,59359
2023-02-23,12089
2023-02-24,6103
2023-02-25,16948
2023-02-26,9319
2023-02-27,3414
2023-02-28,8283
2023-03-01,16742
2023-03-02,12107
2023-03-03,19628
2023-03-04,8669
2023-03-05,11115
2023-03-06,13452
2023-03-07,11008
2023-03-08,5742
2023-03-09,21838
2023-03-10,9138
2023-03-11,1435
2023-03-12,4442
2023-03-13,3166
2023-03-14,2446
2023-03-15,6665
2023-03-16,2384
2023-03-17,3153
2023-03-18,59804
2023-03-19,8742
2023-03-20,54220
2023-03-21,16158
2023-03-22,2852
2023-03-23,37849
2023-03-24,50415
2023-03-25,6913
2023-03-26,2034
2023-03-27,3728
2023-03-28,2326
2023-03-29,12117
2023-03-30,44074
2023-03-31,16709
2023-04-01,4613
2023-04-02,2641
2023-04-03,3578
2023-04-04,3488
2023-04-05,2385
2023-04-06,32165
2023-04-07,3426
2023-04-08,1931
2023-04-09,5031
2023-04-10,2998
2023-04-11,6647
2023-04-12,1867
2023-04-13,7957
2023-04-14,2294
2023-04-15,2064
2023-04-16,2235
2023-04-17,5353
2023-04-18,2506
2023-04-19,3191
2023-04-20,8496
2023-04-21,1461
2023-04-22,3490
2023-04-23,1787
2023-04-24,12499
