index,刘德华
2023-01-24,276614
2023-01-25,319495
2023-01-26,464657
2023-01-27,677249
2023-01-28,385586
2023-01-29,553586
2023-01-30,394752
2023-01-31,400764
2023-02-01,410649
2023-02-02,460120
2023-02-03,124275
2023-02-04,148462
2023-02-05,321301
2023-02-06,86221
2023-02-07,79786
2023-02-08,95334
2023-02-09,46987
2023-02-10,175835
2023-02-11,50910
2023-02-12,33456
2023-02-13,75023
2023-02-14,40530
2023-02-15,46027
2023-02-16,19653
2023-02-17,192521
2023-02-18,74748
2023-02-19,23927
2023-02-20,23488
2023-02-21,194010
2023-02-22,46901
2023-02-23,21113
2023-02-24,19754
2023-02-25,23998
2023-02-26,60258
2023-02-27,26294
2023-02-28,103533
2023-03-01,25553
2023-03-02,11400
2023-03-03,46363
2023-03-04,10136
2023-03-05,11499
2023-03-06,12390
2023-03-07,18196
2023-03-08,18108
2023-03-09,15775
2023-03-10,14323
2023-03-11,11013
2023-03-12,12870
2023-03-13,76690
2023-03-14,460045
2023-03-15,65579
2023-03-16,84428
2023-03-17,18273
2023-03-18,19658
2023-03-19,48836
2023-03-20,73857
2023-03-21,17947
2023-03-22,16545
2023-03-23,14055
2023-03-24,8834
2023-03-25,5923
2023-03-26,5840
2023-03-27,5863
2023-03-28,16724
2023-03-29,11608
2023-03-30,7757
2023-03-31,10478
2023-04-01,15561
2023-04-02,10136
2023-04-03,11535
2023-04-04,11947
2023-04-05,35222
2023-04-06,10090
2023-04-07,96309
2023-04-08,19111
2023-04-09,9783
2023-04-10,13543
2023-04-11,14505
2023-04-12,8314
2023-04-13,23216
2023-04-14,65650
2023-04-15,45147
2023-04-16,178793
2023-04-17,277006
2023-04-18,49348
2023-04-19,45360
2023-04-20,32416
2023-04-21,14168
2023-04-22,13031
2023-04-23,21974
2023-04-24,14284
