index,周深
2023-01-24,4873731
2023-01-25,2553457
2023-01-26,5060807
2023-01-27,3892461
2023-01-28,3140434
2023-01-29,3109963
2023-01-30,2597838
2023-01-31,2323278
2023-02-01,2672922
2023-02-02,2519245
2023-02-03,4602180
2023-02-04,3708426
2023-02-05,4962190
2023-02-06,2784724
2023-02-07,2428679
2023-02-08,2694568
2023-02-09,3154618
2023-02-10,3650707
2023-02-11,2925567
2023-02-12,2012548
2023-02-13,2416693
2023-02-14,2169679
2023-02-15,2251680
2023-02-16,2972045
2023-02-17,3764186
2023-02-18,2330762
2023-02-19,2091810
2023-02-20,3005139
2023-02-21,4633309
2023-02-22,2171779
2023-02-23,4875052
2023-02-24,3748073
2023-02-25,2486820
2023-02-26,2489918
2023-02-27,3226358
2023-02-28,2596256
2023-03-01,2374571
2023-03-02,4305373
2023-03-03,4989246
2023-03-04,4872843
2023-03-05,5172507
2023-03-06,2764672
2023-03-07,2865826
2023-03-08,4177294
2023-03-09,3080907
2023-03-10,2253975
2023-03-11,2447776
2023-03-12,2504081
2023-03-13,3004504
2023-03-14,4970344
2023-03-15,2218848
2023-03-16,2896612
2023-03-17,5376285
2023-03-18,3456743
2023-03-19,3909130
2023-03-20,4349999
2023-03-21,5405297
2023-03-22,13253804
2023-03-23,3436150
2023-03-24,2512503
2023-03-25,4816571
2023-03-26,3693296
2023-03-27,3723889
2023-03-28,3146706
2023-03-29,3026112
2023-03-30,2551297
2023-03-31,2918678
2023-04-01,2553342
2023-04-02,2829475
2023-04-03,2856346
2023-04-04,2697013
2023-04-05,2520212
2023-04-06,2783331
2023-04-07,2734125
2023-04-08,2566994
2023-04-09,3788669
2023-04-10,4506196
2023-04-11,2492659
2023-04-12,4950611
2023-04-13,4194175
2023-04-14,2681479
2023-04-15,2273129
2023-04-16,3225521
2023-04-17,3590645
2023-04-18,3246115
2023-04-19,6535927
2023-04-20,2744331
2023-04-21,4388811
2023-04-22,3044891
2023-04-23,2575600
2023-04-24,3115397
