index,张学友
2023-01-24,4646
2023-01-25,15155
2023-01-26,71947
2023-01-27,2913
2023-01-28,5446
2023-01-29,8785
2023-01-30,3935
2023-01-31,5063
2023-02-01,5130
2023-02-02,4085
2023-02-03,31545
2023-02-04,9769
2023-02-05,6508
2023-02-06,16520
2023-02-07,5035
2023-02-08,4210
2023-02-09,3895
2023-02-10,59378
2023-02-11,10642
2023-02-12,13286
2023-02-13,6636
2023-02-14,3236
2023-02-15,7521
2023-02-16,3723
2023-02-17,9051
2023-02-18,3938
2023-02-19,3743
2023-02-20,6738
2023-02-21,5377
2023-02-22,7448
2023-02-23,117111
2023-02-24,20331
2023-02-25,15188
2023-02-26,4624
2023-02-27,9882
2023-02-28,4235
2023-03-01,5664
2023-03-02,5239
2023-03-03,16659
2023-03-04,21007
2023-03-05,5360
2023-03-06,5675
2023-03-07,5802
2023-03-08,5093
2023-03-09,4244
2023-03-10,2639
2023-03-11,12808
2023-03-12,5775
2023-03-13,9569
2023-03-14,597982
2023-03-15,51346
2023-03-16,11043
2023-03-17,96740
2023-03-18,43915
2023-03-19,8669
2023-03-20,5603
2023-03-21,21678
2023-03-22,4209
2023-03-23,2998
2023-03-24,2657
2023-03-25,3292
2023-03-26,3003
2023-03-27,43027
2023-03-28,4610
2023-03-29,8969
2023-03-30,144558
2023-03-31,42548
2023-04-01,11047
2023-04-02,4792
2023-04-03,6735
2023-04-04,14894
2023-04-05,4747
2023-04-06,4974
2023-04-07,13553
2023-04-08,4044
2023-04-09,4710
2023-04-10,4182
2023-04-11,4176
2023-04-12,10823
2023-04-13,9741
2023-04-14,12762
2023-04-15,6702
2023-04-16,4616
2023-04-17,9620
2023-04-18,9816
2023-04-19,27699
2023-04-20,152023
2023-04-21,10896
2023-04-22,10392
2023-04-23,22459
2023-04-24,17241
